wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,4,2,14,42,29,2,12,5,0.725,395,1.0,1,0.885057,0.232323,3,4,34.545455,3,1.2727,N
14,1,1,8,32,49,4,4,12,0.8351649999999999,257,1.0,0,0.0,0.307692,0,0,16.857143,6,1.6429,Y
3,2,0,1,9,0,0,1,1,0.0,58,1.0,1,0.714286,0.666667,1,1,17.333333,1,0.6667,N
12,3,0,12,37,32,0,12,12,0.8585860000000001,310,1.0,1,0.770833,0.458333,0,0,24.083333,3,1.4167,N
6,3,0,4,21,1,0,4,6,0.7,136,1.0,0,0.8809520000000001,0.416667,2,2,21.0,1,0.8333,N
5,1,0,3,15,0,2,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,N
4,4,0,6,32,6,0,6,1,2.0,325,0.0,0,0.9638549999999999,0.75,3,5,80.25,11,5.25,N
16,3,0,3,40,84,1,2,16,0.658333,604,1.0,2,0.580645,0.291667,2,7,36.25,1,0.8125,N
4,5,0,5,21,0,0,5,4,0.333333,87,1.0,0,0.980892,1.0,1,1,20.5,3,1.25,N
17,3,0,10,55,76,5,6,11,0.59375,461,1.0,0,0.652174,0.28571399999999997,1,1,25.882353,6,2.6471,Y
9,3,0,9,29,0,0,9,9,0.583333,168,1.0,1,0.8222219999999999,0.44444399999999995,0,0,17.333333,2,1.4444,N
3,3,0,3,14,1,0,3,3,0.5,84,1.0,0,0.9487180000000001,0.666667,1,1,26.666666999999997,1,0.6667,Y
10,3,0,5,41,21,1,5,7,0.793651,360,1.0,0,0.804348,0.45,0,0,34.3,2,1.1,N
17,2,0,9,64,76,7,2,9,0.879167,713,0.6,2,0.708333,0.33928600000000003,1,3,40.058824,9,1.4118,Y
5,1,5,12,11,8,11,1,5,0.75,59,1.0,0,0.0,0.7,0,0,10.6,5,1.6,N
10,1,0,9,49,1,0,9,8,0.920635,382,1.0,0,0.0,0.833333,0,0,35.1,4,1.9,N
