wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
11,2,0,9,30,17,4,5,8,0.84,1209,0.4,0,0.55,0.287879,1,4,108.454546,4,1.7273,Y
10,2,0,6,38,13,1,5,7,0.524691,1265,0.9444440000000001,2,0.333333,0.314286,0,0,123.7,1,0.8,N
10,1,0,10,46,9,4,8,7,0.951111,1441,0.48,1,0.0,0.314286,0,0,140.6,32,8.5,Y
16,2,2,6,31,102,3,3,11,0.933333,9886,0.75,1,0.17647100000000002,0.190476,0,0,616.375,5,1.1875,Y
16,2,2,6,31,102,3,3,11,0.933333,9857,0.75,1,0.17647100000000002,0.190476,0,0,614.5625,5,1.1875,Y
3,4,0,9,21,3,0,9,2,1.5,119,1.0,0,0.9642860000000001,0.666667,2,4,38.333333,2,1.0,N
3,4,0,8,23,3,0,8,3,1.5,130,1.0,0,0.9642860000000001,0.666667,2,4,40.666667,2,1.0,N
3,4,0,8,22,3,0,8,2,1.5,124,1.0,0,0.9642860000000001,0.666667,3,4,38.0,2,1.0,N
3,4,0,10,26,3,0,10,3,2.0,155,0.0,0,0.9642860000000001,0.666667,2,4,50.666667,2,1.0,N
3,3,0,5,12,0,1,5,1,0.75,59,0.5,0,0.9615379999999999,0.555556,2,3,18.0,1,0.6667,N
5,4,0,2,11,10,0,2,5,2.0,30,0.0,0,0.959184,0.45,0,0,5.0,1,0.8,N
5,4,0,2,11,10,0,2,5,2.0,30,0.0,0,0.959184,0.45,0,0,5.0,1,0.8,N
5,4,0,2,10,10,0,2,5,2.0,28,0.0,0,0.959184,0.45,0,0,4.6,1,0.8,N
5,4,0,2,10,10,0,2,5,2.0,28,0.0,0,0.959184,0.45,0,0,4.6,1,0.8,N
5,4,0,2,10,10,0,2,5,2.0,31,0.0,0,0.959184,0.45,1,2,5.2,1,0.8,N
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
6,1,0,1,6,15,1,0,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,Y
14,2,0,22,66,27,8,16,13,0.764423,998,1.0,1,0.7,0.25396799999999997,1,2,69.14285699999999,18,2.2143,Y
14,2,2,9,40,27,3,7,13,0.776224,594,0.909091,0,0.368421,0.27381,1,2,40.642857,7,2.4286,Y
11,1,0,23,48,33,5,18,5,0.76,849,0.6,1,0.0,0.2125,0,0,75.727273,4,1.0909,N
14,1,0,13,58,41,1,12,7,0.7792640000000001,1675,1.0,7,0.0,0.307692,0,0,117.0,3,1.0,N
13,2,0,7,52,58,1,6,8,0.769841,1337,1.0,3,0.266667,0.2,0,0,100.230769,4,1.0769,Y
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959184,0.6,0,0,4.6,1,0.8,N
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959184,0.6,0,0,4.6,1,0.8,N
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959184,0.6,0,0,4.6,1,0.8,N
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959184,0.6,0,0,4.6,1,0.8,N
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959184,0.6,0,0,4.6,1,0.8,N
9,1,0,4,17,0,1,3,7,0.5,234,1.0,1,0.0,0.511111,0,0,24.555556,2,1.1111,Y
9,1,0,4,17,0,1,3,7,0.5,234,1.0,1,0.0,0.511111,0,0,24.555556,2,1.1111,N
9,1,0,5,32,0,3,2,7,0.65625,431,1.0,1,0.0,0.25,0,0,46.444444,8,2.3333,N
8,1,0,8,19,0,7,1,8,0.642857,333,0.5,0,0.0,0.46875,0,0,40.375,6,2.125,Y
8,1,0,8,19,0,7,1,8,0.642857,333,0.5,0,0.0,0.46875,0,0,40.375,6,2.125,N
6,1,2,5,18,13,3,3,5,0.8,127,0.0,1,0.0,0.533333,0,0,20.0,14,3.3333,Y
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.833333000000003,14,2.8333,N
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.833333000000003,14,2.8333,N
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.85,0.5,1,1,28.833333000000003,14,2.8333,N
6,1,0,6,31,13,1,5,3,0.2,177,1.0,0,0.0,0.5,0,0,28.333333000000003,10,2.1667,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.9534879999999999,0.6,1,4,4.6,1,0.8,N
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.9534879999999999,0.6,1,4,4.6,1,0.8,N
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.9534879999999999,0.6,1,4,4.6,1,0.8,N
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.9534879999999999,0.6,1,4,4.6,1,0.8,N
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.9534879999999999,0.6,1,4,4.6,1,0.8,N
3,4,0,2,7,3,1,2,3,2.0,19,0.0,0,0.979167,0.666667,0,0,5.3333330000000005,1,0.6667,N
3,4,0,2,7,3,1,2,3,2.0,19,0.0,0,0.979167,0.666667,0,0,5.3333330000000005,1,0.6667,N
