wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.857143,0.35,2,2,18.5,1,0.75,N
3,3,0,2,8,3,1,1,3,1.5,60,0.0,0,1.0,0.555556,0,0,15.0,0,0.0,N
4,2,0,1,11,6,1,1,0,2.0,93,0.0,0,0.785714,0.571429,1,2,22.25,5,1.75,N
5,1,0,1,24,10,1,0,5,2.0,206,0.0,0,0.0,0.3,0,0,40.2,6,3.0,N
4,2,0,5,11,4,1,4,2,0.833333,108,1.0,1,0.5,0.4,1,1,25.5,3,1.25,Y
3,1,0,1,4,3,1,0,3,2.0,10,0.0,0,0.0,1.0,0,0,2.333333,1,0.6667,N
2,3,0,0,4,1,0,0,2,2.0,9,0.0,0,1.0,0.75,0,0,3.5,0,0.0,Y
2,3,0,0,4,1,0,0,2,2.0,9,0.0,0,1.0,0.75,0,0,3.5,0,0.0,N
3,1,0,0,5,1,0,0,2,0.5,14,0.0,0,0.0,0.5,0,0,3.333333,1,0.3333,Y
3,1,0,0,5,1,0,0,2,0.5,14,0.0,0,0.0,0.5,0,0,3.333333,1,0.3333,Y
8,1,0,5,15,0,4,2,6,0.428571,139,1.0,1,0.0,0.395833,0,0,16.0,5,1.375,N
8,2,0,6,19,0,2,4,6,0.28571399999999997,157,1.0,0,0.695652,0.40625,1,2,18.5,2,1.375,N
8,2,0,5,20,0,2,3,6,0.28571399999999997,174,1.0,0,0.695652,0.40625,1,2,20.625,2,1.375,N
8,1,0,7,29,0,4,3,4,0.357143,242,0.0,1,0.0,0.375,0,0,29.0,6,1.875,N
8,1,0,7,17,0,2,5,7,0.571429,134,1.0,2,0.0,0.458333,0,0,15.375,3,1.375,Y
8,2,0,8,34,12,2,6,5,0.714286,223,1.0,0,0.5,0.291667,0,0,26.375,8,2.0,N
7,1,0,8,17,9,3,5,5,0.5,139,1.0,0,0.0,0.566667,0,0,17.857143,5,1.8571,N
8,2,0,8,35,12,0,8,5,0.5,262,1.0,0,0.5882350000000001,0.375,0,0,31.5,6,2.0,Y
10,1,0,7,22,11,3,4,10,0.622222,169,1.0,2,0.0,0.31666700000000003,0,0,15.4,7,1.9,Y
9,1,0,11,43,28,0,11,6,0.6875,416,1.0,0,0.0,0.333333,0,0,45.0,13,3.2222,N
9,1,0,25,9,36,22,4,9,2.0,9,0.0,0,0.0,0.296296,0,0,0.0,1,1.0,Y
6,1,0,11,6,15,10,1,6,2.0,6,0.0,0,0.0,0.458333,0,0,0.0,1,1.0,N
5,1,0,9,5,10,7,2,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,N
21,1,2,74,28,208,72,2,17,0.0,145,1.0,1,0.0,0.409524,0,0,5.857143,2,0.9524,Y
