wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
7,1,0,2,13,0,1,1,7,0.694444,86,1.0,0,0.0,0.571429,0,0,10.428571,1,0.8571,N
10,2,0,0,19,0,0,0,10,0.0,86,1.0,0,0.5,0.32,1,2,7.5,1,0.9,N
10,2,0,0,19,0,0,0,10,0.0,86,1.0,0,0.5,0.32,1,2,7.5,1,0.9,N
6,2,0,2,17,0,0,2,6,0.1,90,1.0,1,0.5,0.583333,1,1,13.666667000000002,2,1.1667,Y
10,3,0,3,23,0,1,2,8,0.75,143,0.5,0,0.538462,0.288889,2,2,12.9,2,0.7,N
21,2,2,10,47,108,3,8,15,0.920833,817,0.333333,1,0.24,0.26875,0,0,37.333333,2,1.0,Y
23,1,0,9,34,93,6,3,22,0.704545,726,1.0,0,0.0,0.198068,0,0,30.043478000000004,17,1.8261,Y
25,1,0,19,77,170,3,17,0,0.810897,1041,0.8461540000000001,5,0.0,0.208333,0,0,40.12,5,1.2,Y
20,3,0,2,29,100,2,1,12,0.671053,569,1.0,0,0.538462,0.23333299999999998,2,11,27.25,6,2.7,Y
19,1,0,14,45,79,2,12,6,0.7094020000000001,629,1.0,7,0.0,0.25,0,0,31.421053000000004,4,1.1053,Y
1,4,0,2,2,0,2,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,4,0,2,2,0,2,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,4,0,2,3,0,1,1,0,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,N
1,5,0,3,2,0,2,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,4,0,3,2,0,3,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
25,1,0,6,26,276,5,1,25,0.958333,136,1.0,1,0.0,0.246667,0,0,3.96,1,0.96,N
129,1,0,67,376,6636,5,62,95,0.942356,3629,0.72973,19,0.0,0.067188,0,0,26.844960999999998,42,2.2171,Y
74,1,0,84,163,2213,44,46,70,0.9019469999999999,1119,0.8947370000000001,12,0.0,0.055223,0,0,13.864865,11,1.2297,N
35,1,0,13,36,493,13,0,35,0.941176,225,1.0,0,0.0,0.297143,0,0,4.942857,1,0.9714,Y
74,1,0,40,190,2181,13,30,72,0.882991,1443,1.0,8,0.0,0.06756799999999999,0,0,18.175676,6,1.4189,Y
25,1,0,7,53,28,5,2,21,0.895833,840,0.166667,0,0.0,0.48571400000000003,0,0,32.36,12,2.84,N
23,1,0,31,128,39,4,30,0,0.812937,1901,0.8846149999999999,10,0.0,0.16942100000000002,0,0,80.521739,6,1.087,Y
25,2,0,3,67,22,1,2,22,0.5,961,0.0,0,0.314286,0.244444,1,5,37.36,23,3.6,Y
