@relation trainIvy-1.1

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
2,1,0,9,2,1,8,1,2,2,2,0,0,0,0.75,0,0,0,1,1,N
2,1,0,10,2,1,8,2,2,2,2,0,0,0,0.75,0,0,0,1,1,N
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.75,0,0,0,1,1,Y
2,1,0,8,2,1,8,0,2,2,2,0,0,0,1,0,0,0,1,1,N
2,1,0,8,2,1,6,2,2,2,2,0,0,0,0.666667,0,0,0,1,1,N
25,2,0,6,44,164,1,5,23,0.828704,412,0.888889,2,0.333333,0.352,1,6,15.12,2,0.92,Y
20,2,0,7,40,142,3,4,18,0.798246,342,0.833333,0,0.392857,0.3,1,6,15.8,10,1.5,Y
20,2,0,7,40,142,3,4,18,0.798246,342,0.833333,0,0.392857,0.3,1,6,15.8,10,1.5,N
20,2,0,4,36,138,1,4,20,0.84689,336,0.909091,7,0.28,0.225,1,2,15.25,1,0.9,Y
19,2,0,7,33,119,3,5,17,0.809524,303,0.857143,0,0.392857,0.254386,1,4,14.578947,2,1,Y
4,1,0,8,4,6,8,0,4,2,4,0,0,0,1,0,0,0,1,1,N
5,1,0,17,5,10,17,0,5,2,5,0,0,0,0.6,0,0,0,1,1,Y
3,1,0,7,3,3,7,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,N
3,1,0,9,3,3,8,1,3,2,3,0,0,0,0.666667,0,0,0,1,1,Y
4,1,0,8,4,6,6,2,4,2,4,0,0,0,0.666667,0,0,0,1,1,N
11,2,1,15,51,25,2,13,11,0.6,305,1,0,0.64,0.227273,1,5,26.636364,2,0.9091,Y
11,2,0,7,35,11,1,6,10,0.85,242,0.5,0,0.678571,0.38,1,5,20.636364,2,0.9091,Y
10,3,0,13,41,7,1,12,9,0.638889,286,0.5,0,0.72,0.285714,2,6,27.2,6,1.4,Y
16,2,0,13,60,34,4,9,9,0.866667,483,0.375,0,0.464286,0.258929,0,0,28.6875,8,2.4375,N
14,3,3,10,41,17,3,7,11,0.717949,333,0.666667,1,0.806452,0.480769,1,2,22.571429,6,1.5714,Y
54,1,0,32,140,651,3,29,7,0.766926,1806,0.705882,1,0,0.174004,0,0,32.12963,14,3.0556,Y
35,2,0,16,103,317,3,16,28,0.813725,865,0.888889,0,0.688679,0.152381,1,10,23.457143,3,1.0571,Y
56,1,0,35,146,728,3,32,7,0.715584,2031,0.642857,1,0,0.173737,0,0,35.017857,14,3.2857,Y
25,2,0,7,63,208,2,7,11,0.894231,531,0.769231,2,0.08,0.178571,0,0,19.72,4,1.52,Y
54,1,0,33,141,651,3,30,7,0.766926,1861,0.705882,1,0,0.174004,0,0,33.148148,14,3.1667,Y
18,2,0,13,61,57,3,13,13,0.607843,316,1,2,0.346154,0.172222,1,1,16.388889,3,1.1667,Y
14,2,0,4,33,35,1,3,12,0.673077,183,0,0,0.458333,0.297619,1,5,11.785714,5,1.5714,Y
13,2,0,7,29,34,2,5,13,0.854167,179,0.5,0,0.612903,0.323077,1,5,12.461538,1,0.9231,N
11,2,0,5,22,25,1,4,9,0.75,124,0.5,0,0.55,0.257576,1,4,10.090909,2,0.9091,Y
13,2,0,8,29,34,3,5,13,0.854167,179,0.5,0,0.612903,0.323077,1,5,12.461538,1,0.9231,Y
6,1,0,11,6,15,10,1,6,2,6,0,0,0,0.458333,0,0,0,1,1,N
6,1,0,14,6,15,14,0,6,2,6,0,0,0,0.375,0,0,0,1,1,Y
9,1,0,25,9,36,22,4,9,2,9,0,0,0,0.296296,0,0,0,1,1,Y
5,1,0,12,5,10,8,4,5,2,5,0,0,0,0.68,0,0,0,1,1,N
5,1,0,12,5,10,8,4,5,2,5,0,0,0,0.68,0,0,0,1,1,Y
4,1,0,1,22,6,0,1,2,2,102,0,0,0,0.875,0,0,24.5,3,1.75,Y
4,1,0,2,24,4,1,1,2,0.333333,146,1,0,0,0.466667,0,0,35.25,3,1.25,N
4,1,0,2,24,4,1,1,2,0.333333,146,1,0,0,0.466667,0,0,35.25,3,1.25,N
4,1,0,2,24,4,1,1,2,0.333333,146,1,0,0,0.466667,0,0,35.25,3,1.25,N
4,1,0,2,24,4,1,1,2,0.333333,146,1,0,0,0.466667,0,0,35.25,3,1.25,N
10,1,0,7,18,0,6,2,10,0.333333,104,1,2,0,0.375,1,1,9.2,4,1.4,N
9,2,0,10,26,0,3,8,8,0.3125,143,0,2,0.6,0.222222,2,4,14.666667,5,1.3333,Y
14,2,0,12,39,1,8,4,12,0.692308,243,0.5,0,0.5,0.4,1,6,16.214286,2,1.2143,Y
13,2,0,18,42,0,12,6,11,0.666667,235,0.5,0,0.5,0.269231,1,4,16.923077,3,1.3846,Y
11,2,0,10,24,0,6,4,8,0.35,174,1,0,0.578947,0.363636,1,5,14.636364,3,1,Y
1,1,0,4,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,Y
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,Y
