wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,3,0,7,10,0,1,7,4,0.25,43,1.0,1,0.921053,0.36,1,2,7.4,1,0.6,N
4,1,0,3,5,4,1,2,3,0.666667,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,N
20,4,0,26,95,144,2,26,13,0.8421049999999999,433,1.0,0,0.727273,0.19736800000000002,4,5,20.3,3,1.0,N
3,2,0,8,22,3,2,6,2,2.0,165,0.0,0,0.75,0.666667,1,3,54.0,15,5.3333,Y
8,1,0,25,20,22,22,3,6,0.571429,176,1.0,0,0.0,0.25,0,0,20.875,1,0.75,Y
3,1,0,6,3,3,5,2,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,0,2,0,0,0,0,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,N
6,1,0,9,17,15,2,7,6,2.0,46,0.0,0,0.0,0.333333,0,0,6.6666669999999995,4,1.3333,Y
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,N
4,1,0,7,8,6,0,7,3,2.0,22,0.0,0,0.0,0.375,0,0,4.5,1,0.75,N
10,1,0,11,20,45,1,10,9,2.0,52,0.0,0,0.0,0.15,0,0,4.2,1,0.9,Y
10,3,0,10,33,25,3,10,7,0.22222199999999998,165,1.0,1,0.833333,0.3,2,3,15.4,3,0.9,N
23,2,0,13,49,201,2,13,21,0.9181819999999999,266,1.0,0,0.545455,0.176768,1,1,10.130435,1,0.8696,N
8,4,0,18,33,22,4,18,7,0.14285699999999998,141,1.0,0,0.87234,0.3125,0,0,16.5,1,0.75,N
9,3,0,3,15,6,0,3,8,0.4375,82,1.0,2,0.666667,0.416667,1,2,7.888889,3,0.8889,Y
3,1,2,8,16,3,2,6,2,2.0,96,0.0,0,0.0,0.533333,0,0,31.0,3,1.6667,N
10,4,0,6,27,5,1,5,8,0.527778,168,1.0,2,0.758621,0.25,2,2,15.4,3,1.1,Y
8,2,0,7,33,26,0,7,1,0.571429,415,1.0,0,0.5882350000000001,0.390625,1,1,50.75,8,3.625,N
4,1,0,17,8,6,11,6,4,2.0,53,0.0,0,0.0,0.45,0,0,12.25,5,2.0,N
2,1,0,3,5,1,3,2,2,2.0,17,0.0,0,0.0,0.666667,0,0,7.5,2,1.0,N
14,1,0,6,18,61,2,5,14,0.8307690000000001,81,1.0,5,0.0,0.297619,0,0,4.428571,1,0.9286,N
16,1,0,8,36,62,2,6,11,0.72,184,1.0,3,0.0,0.229167,0,0,10.1875,4,1.3125,N
4,4,17,66,8,6,66,0,4,1.333333,21,1.0,0,1.0,0.666667,0,0,4.0,0,0.0,N
6,1,0,4,10,1,2,2,6,0.6,50,1.0,1,0.0,0.5,0,0,7.0,2,1.1667,N
3,1,0,3,20,3,1,2,3,2.0,127,0.0,0,0.0,0.666667,0,0,41.333333,13,4.6667,N
11,2,0,11,17,25,3,11,8,0.766667,73,1.0,0,0.75,0.25,0,0,5.363636,1,0.7273,Y
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
3,3,0,2,4,1,1,1,3,0.5,15,1.0,0,0.818182,0.666667,0,0,3.666667,1,0.6667,Y
3,2,0,6,4,3,2,4,3,2.0,10,0.0,0,0.666667,0.555556,0,0,2.333333,1,0.6667,Y
5,1,0,6,15,10,3,4,4,2.0,60,0.0,0,0.0,0.45,0,0,11.0,2,1.6,N
33,1,0,17,33,528,11,6,33,2.0,33,0.0,0,0.0,0.387205,0,0,0.0,1,1.0,Y
3,1,0,5,3,3,2,4,3,2.0,3,0.0,0,0.0,0.777778,0,0,0.0,1,1.0,N
7,1,0,32,61,0,3,32,3,0.633333,204,1.0,2,0.0,0.416667,0,0,27.428571,1,0.7143,N
8,2,0,13,33,0,1,12,3,0.464286,294,1.0,2,0.7,0.371429,1,1,35.25,2,0.875,Y
3,1,0,5,7,3,0,5,3,2.0,19,0.0,0,0.0,0.533333,0,0,5.3333330000000005,1,0.6667,N
11,3,0,14,63,7,1,14,5,0.35,416,1.0,1,0.7,0.25,0,0,36.636364,11,1.8182,N
2,4,0,5,7,1,2,3,1,2.0,24,0.0,0,0.956522,0.666667,1,1,11.0,1,0.5,Y
1,1,0,9,1,0,4,5,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
4,1,0,4,10,0,1,3,4,0.0,39,1.0,0,0.0,0.583333,0,0,8.5,1,0.75,Y
12,3,13,22,24,30,15,8,10,0.5,114,1.0,1,0.956522,0.22619,1,3,8.333333,2,0.8333,N
14,3,0,21,43,59,9,13,13,0.641026,208,1.0,1,0.9361700000000001,0.261538,1,3,13.642857000000001,3,1.1429,N
4,4,8,13,10,0,11,2,3,0.833333,39,1.0,1,0.8947370000000001,0.625,0,0,8.25,1,0.5,Y
3,4,0,8,15,3,0,8,1,2.0,49,0.0,0,0.95,0.666667,2,2,15.333332999999998,1,0.6667,N
1,1,0,7,1,0,7,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
2,1,1,3,10,0,1,2,1,0.0,44,1.0,0,0.857143,0.75,1,1,20.0,2,1.0,N
6,0,0,21,54,9,2,19,3,0.4,309,1.0,0,0.0,0.457143,0,0,50.333333,4,1.6667,N
1,1,0,2,3,0,1,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,N
7,2,0,8,8,15,2,8,7,0.722222,45,1.0,3,0.8461540000000001,0.357143,1,20,5.0,1,0.8571,N
3,1,0,9,18,0,2,7,2,0.5,61,1.0,0,0.0,0.666667,0,0,18.666667,1,0.3333,N
15,1,1,15,29,45,4,11,12,0.714286,171,1.0,5,0.0,0.35,0,0,9.933333,3,1.2,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
5,3,0,9,9,4,2,9,2,0.75,36,1.0,1,0.875,0.3,0,0,5.6,1,0.6,N
4,1,0,7,17,6,1,6,4,2.0,39,0.0,0,0.0,0.625,0,0,8.75,1,0.75,N
5,3,0,10,18,8,0,10,3,0.25,62,1.0,1,0.897436,0.4,1,3,11.2,1,0.8,N
3,1,0,6,8,3,2,4,2,2.0,31,0.0,0,0.0,0.333333,0,0,9.333333,1,0.6667,N
14,4,0,11,37,73,3,9,13,0.6346149999999999,236,1.0,1,0.932292,0.257143,1,16,15.571429,6,1.5,N
27,2,6,26,61,105,12,14,22,0.666667,265,1.0,1,0.537037,0.113757,1,3,8.703704,4,1.0741,Y
7,2,2,7,10,15,2,5,4,0.333333,44,1.0,0,0.814815,0.28571399999999997,0,0,5.142857,3,1.0,N
3,3,0,8,9,0,2,8,2,0.5,44,1.0,3,0.913043,0.4,0,0,12.666667,2,1.0,N
4,3,0,1,6,0,0,1,3,0.0,21,1.0,0,0.921053,0.625,2,2,4.0,1,0.75,N
50,1,0,8,84,1011,5,4,48,0.947649,726,0.8695649999999999,0,0.0,0.1825,0,0,13.06,9,1.5,N
1,1,0,14,1,0,13,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
3,1,0,4,9,1,1,3,3,0.0,47,1.0,0,0.0,0.5,0,0,14.333332999999998,2,1.0,N
6,4,0,5,10,15,1,5,5,1.0,43,1.0,0,0.9508200000000001,0.44444399999999995,0,0,6.0,1,0.5,N
3,2,0,1,5,3,0,1,3,2.0,12,0.0,0,0.956522,0.666667,1,2,3.0,1,0.3333,N
1,1,0,7,1,0,5,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
20,1,0,20,98,178,15,5,12,0.631579,880,1.0,0,0.0,0.276316,0,0,42.95,15,2.85,N
2,1,0,6,7,1,2,4,1,2.0,21,0.0,0,0.0,0.5,0,0,9.5,1,0.5,N
2,5,0,4,7,0,2,2,2,0.0,25,1.0,1,0.9444440000000001,0.666667,0,0,11.0,1,0.5,Y
2,1,0,38,2,1,37,1,2,2.0,2,0.0,0,0.0,0.875,0,0,0.0,1,1.0,N
4,1,0,4,11,0,1,3,4,0.166667,67,1.0,0,0.0,0.5,0,0,15.25,2,1.0,N
4,1,0,6,4,6,5,2,4,1.333333,5,0.0,0,0.0,0.5625,0,0,0.0,1,1.0,N
2,1,0,4,4,1,2,2,2,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,N
2,5,1,9,9,1,2,8,1,2.0,26,0.0,0,0.9722219999999999,0.666667,1,1,12.0,1,0.5,N
21,2,1,15,52,142,1,14,12,0.828571,292,1.0,1,0.333333,0.2,1,2,12.571429,3,1.0,N
2,3,0,7,6,1,0,7,1,2.0,19,0.0,0,0.9722219999999999,0.666667,1,1,8.5,1,0.5,N
2,1,0,4,4,1,1,3,2,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,0.5,N
