wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
6,3,3,0,10,0,0,0,6,0.0,54,1.0,0,0.85,0.555556,1,2,7.8333330000000005,3,1.0,N
63,2,3,27,225,793,7,20,42,0.87208,5680,0.896552,6,0.6789470000000001,0.15207400000000001,2,11,88.698413,6,1.6984,N
1,5,0,1,2,0,1,0,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,Y
21,4,0,2,25,210,0,2,21,2.0,120,0.0,0,0.8245610000000001,0.52381,0,0,4.714286,1,0.9524,N
25,3,3,13,67,34,3,11,14,0.638889,1120,0.833333,3,0.684932,0.205,2,22,43.56,11,2.28,Y
3,1,0,26,3,3,25,1,3,1.5,17,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
3,4,0,2,14,3,1,2,3,2.0,60,0.0,0,0.979167,0.666667,0,0,19.0,3,1.6667,N
7,4,0,3,10,21,0,3,7,2.0,39,0.0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,N
12,4,0,3,22,66,0,3,12,2.0,97,0.0,0,0.8952379999999999,0.31666700000000003,1,1,7.0833330000000005,3,1.25,N
17,1,0,8,54,134,7,3,5,0.9375,867,0.0,1,0.0,0.2125,0,0,49.882353,19,4.7059,N
25,2,5,14,68,34,5,11,14,0.638889,1120,0.833333,3,0.656716,0.205,1,17,43.56,11,2.28,Y
8,1,1,0,16,14,0,0,6,0.785714,117,1.0,0,0.0,0.571429,0,0,13.125,1,0.75,Y
18,2,0,6,35,0,6,1,1,0.680672,2128,0.14285699999999998,1,0.734375,0.361111,1,7,116.83333300000001,17,8.0,N
2,3,0,11,3,0,11,0,2,1.0,13,0.5,0,0.9444440000000001,0.75,0,0,4.5,1,0.5,N
10,1,0,22,10,45,20,2,10,1.111111,51,0.0,0,0.0,0.3,0,0,0.0,1,1.0,N
22,1,1,9,48,41,6,3,9,0.8435370000000001,579,0.857143,1,0.0,0.227273,0,0,25.0,7,2.2727,Y
7,4,0,3,10,21,0,3,7,2.0,39,0.0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,N
7,1,0,1,9,13,1,0,6,1.083333,720,1.0,0,0.0,0.25,0,0,100.14285699999999,11,3.5714,N
12,1,0,0,12,66,0,0,12,2.0,12,0.0,0,0.0,0.638889,0,0,0.0,1,1.0,N
4,3,0,6,9,0,1,5,0,0.380952,583,1.0,0,0.9268290000000001,0.40625,1,3,143.0,1,0.75,N
18,1,0,6,18,153,4,2,18,2.0,18,0.0,0,0.0,0.4,0,0,0.0,1,1.0,N
35,4,0,3,43,595,0,3,35,2.0,200,0.0,0,0.734375,0.308571,0,0,4.714286,1,0.9714,N
14,1,0,2,14,91,1,1,14,2.0,14,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
9,1,0,11,26,16,1,10,9,0.875,191,1.0,0,0.0,0.333333,0,0,19.666667,2,1.0,N
8,1,0,0,8,28,0,0,8,2.0,8,0.0,0,0.0,0.46875,0,0,0.0,1,1.0,Y
6,1,0,8,12,3,6,2,6,0.763636,90,0.0,2,0.0,0.5,1,1,12.166667,1,0.6667,N
7,4,0,2,14,21,0,2,7,2.0,42,0.0,0,0.94,0.342857,0,0,5.0,1,0.8571,N
14,1,0,5,50,91,3,2,13,2.0,486,0.0,0,0.0,0.410714,0,0,33.714286,5,3.7143,N
2,2,0,9,18,0,2,9,1,0.0,239,1.0,0,0.75,0.571429,2,2,118.0,1,0.5,N
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.979167,0.666667,0,0,4.6666669999999995,1,0.6667,N
49,1,2,22,121,622,2,20,22,0.9157200000000001,1192,1.0,11,0.0,0.113889,0,0,22.877551,3,1.0408,N
12,1,0,0,12,66,0,0,12,2.0,12,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
0,1,0,8,0,0,8,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,N
10,2,0,7,29,35,1,6,6,0.708333,240,1.0,3,0.363636,0.263889,0,0,22.2,1,0.7,N
34,2,0,14,74,0,1,14,21,0.6727270000000001,2890,1.0,2,0.17948699999999998,0.160839,1,3,83.558824,2,1.0588,N
42,1,0,11,52,695,11,0,42,0.8991870000000001,498,1.0,0,0.0,0.25793699999999997,0,0,10.5,12,1.6429,Y
4,1,0,0,4,6,0,0,4,2.0,4,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
4,1,0,0,4,6,0,0,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
41,2,0,13,77,280,2,11,35,0.903947,1231,1.0,10,0.487179,0.30662,1,7,28.560976,3,1.1951,N
8,1,1,0,27,28,0,0,7,2.0,128,0.0,0,0.0,0.333333,0,0,15.0,1,0.875,Y
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
11,2,0,8,42,33,1,7,7,0.82,327,0.7,2,0.307692,0.232323,0,0,27.818182,6,1.2727,N
16,1,0,0,16,120,0,0,16,2.0,16,0.0,0,0.0,0.645833,0,0,0.0,1,1.0,Y
7,2,1,5,12,15,3,3,7,0.916667,80,0.75,0,0.88,0.52381,1,4,9.857142999999999,3,1.8571,Y
17,2,0,5,36,128,1,4,11,2.0,263,0.0,0,0.777778,0.19251300000000002,1,10,14.470588000000001,6,1.8824,N
4,1,0,6,6,0,5,1,4,0.0,73,0.0,1,0.0,0.55,0,0,16.5,2,0.5,N
7,4,0,3,10,21,0,3,7,2.0,39,0.0,0,0.931818,0.571429,1,6,4.571429,1,0.8571,N
6,1,0,0,6,15,0,0,6,2.0,6,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
5,4,0,3,10,10,0,3,5,2.0,52,0.0,0,0.959184,0.6,0,0,9.4,3,1.6,N
5,4,0,2,10,10,0,2,5,2.0,28,0.0,0,0.959184,0.45,0,0,4.6,1,0.8,N
18,2,0,7,58,141,1,6,10,0.847751,1937,1.0,2,0.2,0.189815,0,0,105.66666699999999,4,1.1667,N
42,1,0,3,66,375,2,1,29,0.780488,1992,1.0,0,0.0,0.226481,0,0,46.142857,33,3.1429,N
5,4,0,2,11,10,0,2,5,2.0,30,0.0,0,0.959184,0.45,0,0,5.0,1,0.8,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
11,1,0,23,48,33,5,18,5,0.76,849,0.6,1,0.0,0.2125,0,0,75.727273,4,1.0909,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
5,1,0,6,7,10,6,0,5,2.0,107,0.0,0,0.0,0.35,0,0,20.4,3,1.8,N
3,4,0,2,7,3,1,2,3,2.0,19,0.0,0,0.979167,0.666667,0,0,5.3333330000000005,1,0.6667,N
7,1,0,0,7,21,0,0,7,2.0,7,0.0,0,0.0,0.428571,0,0,0.0,1,1.0,Y
1,1,0,0,2,0,0,0,1,2.0,8,0.0,0,0.0,1.0,0,0,3.0,0,0.0,N
26,1,0,0,40,0,0,0,24,0.08,723,0.0,0,0.0,0.528846,0,0,26.730769,5,2.6538,N
30,1,0,0,88,177,0,0,24,0.882033,887,0.736842,9,0.0,0.126667,0,0,27.933333,4,1.2333,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
10,1,0,2,10,45,1,1,10,2.0,10,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
16,4,2,13,46,102,10,6,14,0.933333,288,0.5,0,0.849462,0.34375,3,18,16.875,11,2.375,Y
8,1,0,0,8,28,0,0,8,2.0,8,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,Y
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
38,1,2,28,77,569,9,19,13,0.9009010000000001,2197,1.0,9,0.0,0.152632,0,0,55.947368000000004,6,1.9737,N
10,1,0,0,10,45,0,0,10,1.111111,13,0.0,0,0.0,0.4,0,0,0.0,1,1.0,Y
5,3,2,2,7,10,2,0,5,2.0,20,0.0,0,0.9444440000000001,0.6,0,0,3.0,1,0.2,N
6,2,0,7,20,9,1,7,3,0.0,136,1.0,0,0.545455,0.43333299999999997,1,2,21.5,5,1.5,N
13,4,0,3,16,78,0,3,13,2.0,72,0.0,0,0.87234,0.538462,1,7,4.538462,1,0.9231,N
8,4,0,19,12,0,18,1,8,0.28571399999999997,64,1.0,0,0.818182,0.4375,0,0,6.75,1,0.5,N
0,1,0,2,0,0,1,1,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,N
4,1,0,0,4,6,0,0,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.979167,0.5,0,0,4.6666669999999995,1,0.6667,N
15,4,1,9,26,57,6,4,14,0.8214290000000001,200,0.875,3,0.8488370000000001,0.383333,2,6,11.8,2,1.5333,N
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,0.555556,0,0,0.0,1,1.0,N
20,1,0,1,29,58,1,0,14,0.5473680000000001,547,0.2,3,0.0,0.31,0,0,26.1,10,3.95,N
9,4,0,3,12,36,0,3,9,2.0,50,0.0,0,0.911111,0.555556,1,6,4.555556,1,0.8889,N
1,1,0,0,2,0,0,0,1,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,N
4,1,0,2,4,6,1,1,4,2.0,4,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
1,4,0,3,2,0,0,3,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,N
10,4,1,6,29,43,3,4,9,0.9444440000000001,115,0.5,0,0.890244,0.325,1,6,10.3,6,1.5,N
29,4,4,17,70,124,12,9,24,0.75,598,0.666667,1,0.73,0.337931,2,11,19.517241000000002,6,2.4828,Y
26,1,0,0,26,325,0,0,26,2.0,26,0.0,0,0.0,0.487179,0,0,0.0,1,1.0,N
6,3,2,9,21,15,6,4,6,1.2,90,0.0,0,0.9152540000000001,0.333333,1,4,13.833332999999998,2,1.1667,Y
45,2,0,13,63,862,3,10,16,0.8967799999999999,962,0.875,6,0.46341499999999997,0.119298,1,5,19.844444,5,1.5556,N
36,1,0,0,69,246,0,0,35,0.804762,436,1.0,6,0.0,0.125926,0,0,10.944444,2,1.1389,N
5,1,0,2,14,0,1,1,4,1.243808,1114,0.009288,0,0.0,0.5,0,0,157.2,9,2.2,N
9,4,0,3,12,36,0,3,9,2.0,50,0.0,0,0.911111,0.555556,1,5,4.555556,1,0.8889,N
18,1,0,0,19,153,0,0,18,2.0,40,0.0,0,0.0,0.28571399999999997,0,0,1.222222,1,0.9444,N
11,1,0,0,11,55,0,0,11,2.0,11,0.0,0,0.0,0.515152,0,0,0.0,1,1.0,N
8,2,2,9,14,18,9,2,5,0.9047620000000001,69,0.666667,2,0.88,0.416667,1,3,7.25,2,1.25,N
27,4,0,2,35,351,0,2,27,2.0,171,0.0,0,0.783333,0.37963,0,0,5.3333330000000005,3,1.1111,N
4,3,0,39,23,4,37,3,2,0.982906,580,0.05128200000000001,0,0.977778,0.555556,1,1,134.25,1,0.5,N
22,1,0,6,39,89,1,5,12,0.7032970000000001,1528,0.692308,4,0.0,0.232143,0,0,67.863636,24,4.6818,N
0,1,0,1,0,0,1,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,N
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.979167,0.5,0,0,4.6666669999999995,1,0.6667,N
1,4,1,0,2,0,0,0,1,2.0,11,0.0,0,1.0,1.0,0,0,7.0,0,0.0,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
1,4,1,0,2,0,0,0,1,2.0,24,0.0,0,1.0,1.0,0,0,7.0,0,0.0,Y
34,3,0,59,83,541,55,9,29,0.9696969999999999,1017,0.8,5,0.733333,0.284848,2,4,28.617646999999998,7,2.2059,N
2,1,0,22,2,1,22,0,2,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,N
1,1,0,0,2,0,0,0,1,2.0,121,0.0,0,0.0,1.0,0,0,3.0,0,0.0,N
6,1,0,0,6,15,0,0,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
3,1,0,0,3,3,0,0,3,2.0,3,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,Y
15,1,0,0,15,105,0,0,15,2.0,15,0.0,0,0.0,0.488889,0,0,0.0,1,1.0,N
5,1,0,3,14,0,2,1,4,1.185484,236,0.06451599999999999,0,0.0,0.5,0,0,40.0,9,2.2,N
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,Y
18,1,1,6,28,47,5,1,18,0.720588,357,1.0,1,0.0,0.17901199999999998,0,0,18.388889000000002,3,1.7778,N
3,3,0,0,4,1,0,0,2,0.5,247,0.0,0,0.974359,1.0,0,0,81.0,1,0.3333,N
4,1,0,3,9,2,3,0,2,0.666667,395,1.0,0,0.0,0.5,0,0,97.25,1,0.5,N
10,1,0,0,15,37,0,0,10,0.777778,64,1.0,0,0.0,0.375,0,0,5.0,1,0.8,N
8,1,0,0,8,28,0,0,8,2.0,8,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
3,4,0,2,6,3,0,2,3,2.0,17,0.0,0,0.979167,0.666667,0,0,4.6666669999999995,1,0.6667,N
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
2,3,0,0,4,1,0,0,2,2.0,9,0.0,0,1.0,0.75,0,0,3.5,0,0.0,Y
14,1,0,0,14,91,0,0,14,2.0,14,0.0,0,0.0,0.20634899999999998,0,0,0.0,1,1.0,N
3,1,0,0,14,3,0,0,2,2.0,102,0.0,0,0.0,0.333333,0,0,33.0,1,0.6667,N
11,1,0,38,16,25,38,0,11,0.05,191,0.0,0,0.0,0.409091,1,1,16.0,7,1.1818,N
53,1,0,29,143,1146,10,20,20,0.906177,6637,0.090909,6,0.0,0.19230799999999998,1,1,123.603774,147,13.3585,N
