wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4,2,0,5,9,6,1,5,4,2.0,25,0.0,0,0.931034,0.392857,0,0,5.25,1,0.5,Y
5,2,0,8,12,8,4,6,5,0.75,38,1.0,0,0.9,0.4,0,0,6.4,1,0.6,Y
4,1,0,6,10,6,1,5,4,2.0,34,0.0,0,0.0,0.5,0,0,7.5,1,0.75,Y
5,2,0,8,10,10,4,6,5,2.0,39,0.0,0,0.9,0.4,1,2,6.8,1,0.6,Y
4,2,0,10,10,6,4,8,4,2.0,37,0.0,0,0.931034,0.392857,1,1,8.25,1,0.5,Y
6,1,4,20,28,15,5,19,3,2.0,191,0.0,0,0.0,0.333333,0,0,30.833333000000003,6,2.3333,Y
7,2,0,15,31,9,4,13,5,0.666667,149,0.75,2,0.84375,0.326531,1,1,19.714285999999998,1,0.7143,Y
8,1,0,26,63,20,0,26,6,0.785714,281,1.0,1,0.0,0.333333,0,0,33.875,3,1.0,Y
8,1,0,17,38,20,1,17,3,0.642857,191,1.0,1,0.0,0.244898,0,0,22.625,6,1.625,Y
6,2,0,12,36,11,1,12,2,0.8,173,1.0,2,0.5,0.541667,1,1,27.5,3,1.1667,N
2,2,0,3,7,1,1,2,2,2.0,21,0.0,0,0.9871790000000001,0.666667,1,1,9.5,1,0.5,Y
2,1,0,3,8,1,0,3,2,2.0,27,0.0,0,0.0,0.5,0,0,12.5,1,0.5,N
2,1,0,5,14,1,1,4,2,2.0,55,0.0,0,0.0,0.5,0,0,26.5,1,0.5,Y
2,2,0,8,14,1,0,8,2,2.0,46,0.0,0,0.875,0.75,0,0,22.0,1,0.5,N
2,2,0,5,8,0,1,4,2,0.0,33,1.0,0,0.973684,0.625,0,0,15.0,2,1.0,Y
28,2,0,8,51,0,3,5,26,0.731481,237,0.75,3,0.297297,0.198413,1,6,7.321428999999999,3,1.1786,Y
28,2,0,8,51,0,3,5,26,0.731481,237,0.75,3,0.297297,0.198413,1,6,7.321428999999999,3,1.1786,N
37,1,0,17,92,0,3,14,34,0.5,438,1.0,1,0.0,0.177778,1,1,10.783783999999999,13,1.1622,Y
19,1,0,11,46,0,1,10,19,0.7,227,0.2,2,0.0,0.192982,0,0,10.684211,4,1.3158,Y
48,1,0,16,117,0,3,13,39,0.8324469999999999,617,0.875,3,0.0,0.165957,0,0,11.6875,5,1.2708,Y
4,2,0,1,12,4,0,1,4,0.666667,44,1.0,0,0.8888889999999999,0.5,1,1,9.75,2,1.25,N
4,2,0,1,12,4,0,1,4,0.666667,44,1.0,0,0.8888889999999999,0.5,1,1,9.75,2,1.25,N
4,1,0,6,15,4,4,2,2,0.333333,55,1.0,0,0.0,0.333333,0,0,12.5,2,0.75,N
4,2,0,7,19,2,0,7,3,0.666667,66,1.0,0,0.6,0.666667,0,0,14.75,3,1.0,N
3,1,0,3,11,3,1,2,2,2.0,41,0.0,0,0.0,0.666667,0,0,12.666667,2,1.0,Y
11,1,1,7,21,17,2,5,10,0.75,92,1.0,2,0.0,0.257576,0,0,7.0,2,1.0,Y
11,1,0,4,15,21,1,3,11,0.533333,90,1.0,0,0.0,0.454545,0,0,6.909091,1,0.6364,N
11,1,0,4,15,21,1,3,11,0.533333,90,1.0,0,0.0,0.454545,0,0,6.909091,1,0.6364,N
11,1,0,4,15,21,1,3,11,0.533333,90,1.0,0,0.0,0.454545,0,0,6.909091,1,0.6364,N
13,2,0,7,29,34,2,5,13,0.854167,179,0.5,0,0.612903,0.323077,1,5,12.461538000000001,1,0.9231,N
11,2,0,11,65,41,0,11,8,0.9,561,1.0,0,0.357143,0.38,2,3,49.818182,9,2.7273,N
16,2,0,13,60,34,4,9,9,0.866667,483,0.375,0,0.464286,0.258929,0,0,28.6875,8,2.4375,N
13,4,0,24,76,38,0,24,10,0.833333,683,1.0,1,0.866667,0.5,2,2,50.461538,5,1.4615,Y
10,1,0,3,40,39,0,3,4,0.9629629999999999,460,1.0,0,0.0,0.388889,0,0,44.7,4,2.1,Y
12,2,0,6,47,28,1,5,11,0.636364,353,1.0,0,0.655172,0.24675300000000003,1,6,28.166666999999997,3,1.3333,N
9,1,0,25,9,36,22,4,9,2.0,9,0.0,0,0.0,0.296296,0,0,0.0,1,1.0,Y
6,1,0,11,6,15,10,1,6,2.0,6,0.0,0,0.0,0.458333,0,0,0.0,1,1.0,N
7,1,0,46,7,21,46,1,7,2.0,7,0.0,0,0.0,0.428571,0,0,0.0,1,1.0,N
5,1,0,12,5,10,8,4,5,2.0,5,0.0,0,0.0,0.68,0,0,0.0,1,1.0,Y
4,1,0,7,4,6,6,1,4,2.0,4,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
2,1,0,3,4,0,1,3,2,0.0,14,0.0,1,0.0,0.666667,0,0,5.5,1,0.5,N
2,1,0,3,4,0,1,3,2,0.0,14,0.0,1,0.0,0.666667,0,0,5.5,1,0.5,N
2,1,0,3,4,0,1,3,2,0.0,14,0.0,1,0.0,0.666667,0,0,5.5,1,0.5,N
5,1,0,12,10,0,3,9,4,0.583333,46,1.0,2,0.0,0.25,0,0,7.6,1,0.6,N
4,1,0,5,5,0,3,2,3,0.666667,28,1.0,2,0.0,0.4375,0,0,5.25,1,0.75,N
7,1,0,9,17,13,1,8,3,0.666667,69,1.0,1,0.0,0.25,0,0,8.571429,2,0.8571,Y
6,2,0,9,14,11,3,8,5,0.8,70,1.0,0,0.9,0.4,0,0,10.333333,1,0.5,Y
5,2,0,10,12,10,4,8,5,2.0,62,0.0,0,0.9,0.4,1,2,11.4,1,0.6,Y
5,2,0,6,13,10,0,6,5,2.0,51,0.0,0,0.714286,0.45,0,0,9.2,1,0.8,Y
5,2,0,8,11,10,4,6,5,2.0,52,0.0,0,0.9,0.4,1,1,9.4,1,0.6,Y
25,1,0,29,64,300,14,15,25,2.0,332,0.0,0,0.0,0.149091,0,0,12.28,8,1.28,Y
45,1,0,27,112,730,3,24,35,0.836777,844,1.0,6,0.0,0.209877,0,0,17.511111,4,1.2667,Y
21,2,0,7,30,198,2,5,19,0.921429,234,0.857143,0,0.37931,0.36190500000000003,1,4,9.809524,6,1.5714,Y
38,2,0,6,52,479,2,4,35,0.898649,536,0.9375,6,0.244444,0.335135,1,6,12.684211,2,0.9211,Y
38,2,0,6,52,479,2,4,35,0.898649,536,0.9375,6,0.244444,0.335135,1,6,12.684211,2,0.9211,N
2,2,0,3,7,1,1,2,2,2.0,21,0.0,0,0.9871790000000001,0.666667,1,1,9.5,1,0.5,Y
2,2,0,1,14,0,1,0,2,1.0,55,1.0,0,0.9714290000000001,0.75,1,1,25.5,1,0.5,N
2,2,0,5,8,0,1,4,2,0.0,33,1.0,0,0.973684,0.625,0,0,15.0,2,1.0,Y
