wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
6,2,0,4,17,3,1,3,4,0.2,102,1.0,0,0.571429,0.611111,0,0,15.833332999999998,2,0.6667,Y
6,2,0,5,17,3,2,3,4,0.2,102,1.0,0,0.571429,0.611111,0,0,15.833332999999998,2,0.6667,Y
6,2,0,2,17,0,0,2,6,0.1,90,1.0,1,0.5,0.583333,1,1,13.666667000000002,2,1.1667,Y
7,1,0,4,17,5,1,4,5,0.666667,109,1.0,2,0.0,0.392857,0,0,14.142857000000001,2,1.2857,Y
8,1,0,3,19,2,1,2,6,0.178571,116,1.0,2,0.0,0.34375,0,0,13.0,2,1.0,Y
13,1,0,8,36,58,1,7,13,0.791667,191,1.0,2,0.0,0.201923,0,0,13.384615,1,0.9231,Y
13,1,0,8,36,58,1,7,13,0.791667,191,1.0,2,0.0,0.201923,0,0,13.384615,1,0.9231,N
15,2,0,8,34,87,3,5,12,0.8714290000000001,230,0.8,0,0.478261,0.516667,1,5,14.0,2,1.0,N
11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947,0.522727,1,6,9.454545,2,0.8182,Y
11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947,0.522727,1,6,9.454545,2,0.8182,Y
7,2,0,12,15,11,4,12,5,0.766667,84,0.4,5,0.705882,0.6,0,0,10.285714,1,0.7143,Y
4,3,0,8,12,4,1,7,3,0.666667,55,1.0,0,0.857143,0.5,1,1,12.5,2,1.0,N
4,3,0,8,12,4,1,7,3,0.666667,55,1.0,0,0.857143,0.5,1,1,12.5,2,1.0,Y
7,2,1,11,20,9,5,7,6,0.5,74,0.0,1,0.666667,0.265306,2,3,9.428571,4,1.2857,Y
7,2,1,11,20,9,5,7,6,0.5,74,0.0,1,0.666667,0.265306,2,3,9.428571,4,1.2857,Y
7,1,0,11,37,0,1,11,7,0.690476,348,1.0,2,0.0,0.30952399999999997,0,0,47.714286,1,0.8571,Y
6,3,0,16,33,3,1,16,6,0.4,297,1.0,1,0.8837209999999999,0.351852,2,3,48.166667,1,0.8333,Y
6,3,0,16,33,3,1,16,6,0.4,297,1.0,1,0.8809520000000001,0.351852,2,3,48.166667,1,0.8333,Y
6,3,0,16,33,3,1,16,6,0.4,297,1.0,1,0.878049,0.351852,2,3,48.166667,1,0.8333,N
7,1,1,13,46,0,2,12,7,0.690476,357,1.0,2,0.0,0.30952399999999997,0,0,49.0,1,0.8571,N
7,2,0,8,18,9,3,6,6,0.5,89,1.0,1,0.666667,0.265306,2,3,11.571429,5,1.5714,Y
8,2,0,8,19,8,3,6,7,0.428571,93,1.0,1,0.631579,0.25,2,3,10.5,5,1.5,Y
8,2,0,8,19,8,3,6,7,0.428571,93,1.0,1,0.631579,0.25,2,3,10.5,5,1.5,Y
10,1,0,8,33,25,1,7,10,0.722222,178,1.0,2,0.0,0.228571,0,0,16.4,1,0.9,Y
7,2,1,11,20,9,5,7,6,0.5,74,0.0,1,0.666667,0.265306,2,3,9.428571,4,1.2857,Y
6,2,0,10,20,0,3,9,6,0.0,84,1.0,1,0.28571399999999997,0.416667,2,2,12.833333,2,1.0,Y
