@relation trainVelocity-1.4

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
4,1,0,25,4,6,24,1,4,2,4,0,0,0,0.5,0,0,0,1,1,N
4,1,0,23,4,6,22,1,4,2,4,0,0,0,0.5,0,0,0,1,1,Y
7,1,0,54,7,21,54,0,7,2,7,0,0,0,0.571429,0,0,0,1,1,N
6,1,0,48,6,15,45,4,6,2,6,0,0,0,0.416667,0,0,0,1,1,Y
6,1,0,47,6,15,44,4,6,2,6,0,0,0,0.416667,0,0,0,1,1,N
1,1,0,3,2,0,1,2,0,2,38,0,2,0,1,0,0,33,0,0,N
1,1,0,4,2,0,1,3,0,2,54,0,3,0,1,0,0,48,0,0,Y
1,1,0,3,1,0,3,0,0,2,87,0,0,0,0,0,0,68,0,0,N
1,1,0,3,1,0,3,0,0,2,87,0,0,0,0,0,0,68,0,0,N
1,1,0,2,1,0,2,0,0,2,179,0,0,0,0,0,0,140,0,0,N
3,3,0,5,11,3,0,5,3,1,55,1,0,0.958333,0.666667,1,2,17,1,0.6667,Y
3,3,0,7,12,0,1,6,3,0.833333,64,0.666667,1,0.875,0.444444,0,0,19.333333,1,0.6667,N
3,3,0,7,18,0,1,6,3,0.833333,87,0.666667,2,0.875,0.466667,0,0,27,1,0.6667,N
3,1,0,11,22,3,0,11,3,2,101,0,0,0,0.416667,0,0,32.666667,2,1.3333,N
3,1,0,9,23,0,1,8,2,0,125,1,2,0,0.444444,0,0,39.666667,1,0.6667,N
27,1,0,1,43,13,1,0,13,0.600962,1174,1,0,0,0.253086,0,0,42.185185,26,5.7407,N
27,1,0,1,43,13,1,0,13,0.600962,1174,1,0,0,0.253086,0,0,42.185185,26,5.7407,Y
27,1,0,1,44,13,1,0,13,0.600962,1158,1,0,0,0.253086,0,0,41.592593,26,5.6667,N
55,2,1,12,69,0,9,4,54,0.240741,1531,1,0,0.018868,0.287879,1,1,26.8,8,1.9455,Y
20,2,0,23,47,0,10,16,7,0.785088,1605,0.291667,11,0.181818,0.157895,0,0,78.05,12,3.75,N
7,1,0,10,44,19,4,7,4,0.916667,348,0.5,0,0,0.354167,0,0,48.428571,1,0.7143,Y
8,1,0,7,42,14,0,7,2,0.75,308,0,2,0,0.238095,0,0,37,4,1.5,N
9,2,0,13,46,32,2,12,3,0.90625,409,0.5,1,0.416667,0.25,0,0,44,1,0.7778,N
9,1,0,9,51,14,3,6,5,0.703125,414,0.75,2,0,0.303571,0,0,44.111111,4,1,N
7,1,0,7,34,15,1,6,2,0.75,288,0.5,1,0,0.333333,0,0,39.857143,5,1.5714,N
3,2,0,5,6,3,1,4,3,2,18,0,0,0.5,0.666667,0,0,5,1,0.6667,N
3,2,0,3,5,3,1,2,3,2,12,0,0,0.666667,0.777778,0,0,3,1,0.6667,N
3,2,0,5,6,3,1,4,2,2,16,0,0,0.833333,0.5,1,1,4.333333,1,0.6667,N
3,3,0,6,7,3,1,5,2,2,23,0,0,0.9,0.5,1,1,6.666667,2,1,Y
6,2,0,5,12,3,1,4,5,2,36,0,0,0.666667,0.305556,1,1,5,1,0.8333,N
4,1,0,7,38,0,2,5,0,0.888889,224,0.5,3,0,0.375,0,0,53.5,2,1,Y
4,1,0,8,39,0,2,6,0,0.888889,235,0.5,3,0,0.375,0,0,56.25,2,1,Y
4,1,0,16,79,0,1,15,3,0,435,1,1,0,0.5,0,0,107.5,1,0.75,N
5,1,0,5,56,0,1,4,5,0.75,334,1,0,0,0.342857,0,0,65,11,3,N
5,1,0,7,41,2,1,7,5,0.375,250,0,3,0,0.4,0,0,47.8,3,1.6,N
7,2,0,12,15,11,4,12,5,0.766667,84,0.4,5,0.705882,0.6,0,0,10.285714,1,0.7143,Y
9,2,0,17,28,22,9,8,7,0.5,127,1,1,0.3,0.25,1,1,12.888889,2,1,N
9,2,0,19,39,34,8,13,5,0.9375,178,0.5,1,0.3,0.328125,1,1,18.555556,1,0.7778,Y
4,3,0,8,12,4,1,7,3,0.666667,55,1,0,0.857143,0.5,1,1,12.5,2,1,N
4,3,0,8,12,4,1,7,3,0.666667,55,1,0,0.857143,0.5,1,1,12.5,2,1,Y
9,1,0,13,16,0,13,0,9,0.6,152,0.2,0,0,0.518519,1,1,15.333333,3,1.1111,Y
13,1,0,22,30,0,15,8,11,0.416667,267,0.333333,0,0,0.285714,0,0,19.307692,7,2.3077,N
14,1,0,23,35,0,22,1,14,0.5,341,0.5,0,0,0.428571,0,0,23.214286,5,2.5714,Y
18,1,0,30,39,0,28,3,17,0.813725,432,0.833333,2,0,0.426471,0,0,22.666667,5,2.4444,N
6,2,1,7,13,0,2,5,4,0.6,117,1,2,0.25,0.5,0,0,18,4,1.3333,Y
1,1,2,12,2,0,12,0,0,2,8,0,0,0,1,0,0,3,0,0,N
3,1,6,28,5,3,25,3,3,2,15,0,0,0,0.833333,0,0,4,1,0.6667,Y
4,1,0,16,6,6,15,3,3,1,15,0,2,0,0.833333,0,0,2.25,1,0.75,N
1,1,1,19,2,0,19,0,1,2,12,0,0,0,1,0,0,9,0,0,N
1,1,1,19,2,0,19,0,1,2,12,0,0,0,1,0,0,9,0,0,N
9,2,0,13,46,32,2,12,3,0.90625,409,0.5,1,0.416667,0.25,0,0,44,1,0.7778,N
10,2,0,6,33,33,0,6,9,0.933333,321,0.6,0,0.470588,0.325,1,1,30.6,5,1.7,Y
13,2,0,24,64,72,1,24,2,0.866667,856,0.2,2,0.388889,0.155556,1,1,64.461538,4,1.1538,Y
10,2,0,5,35,25,0,5,7,0.761905,272,0,0,0.692308,0.361111,2,3,25.5,5,1.8,N
13,1,0,28,104,76,2,26,8,0.916667,691,1,1,0,0.227273,0,0,52.076923,8,1.6154,N
14,1,0,12,51,67,1,12,8,0.641026,764,0.666667,2,0,0.401709,0,0,53.357143,2,1.1429,Y
12,2,0,9,33,34,0,9,5,0.590909,453,1,0,0.885057,0.283333,1,5,36.583333,3,1,N
12,1,0,7,63,64,2,0,5,1.049587,939,1,0,0,0.345238,0,0,76.333333,1,0.9167,N
14,3,0,5,29,53,1,4,6,0.692308,514,1,1,0.541667,0.333333,1,4,34.928571,14,2.2857,N
14,3,0,5,29,53,1,4,6,0.692308,514,1,1,0.541667,0.333333,1,4,34.928571,14,2.2857,N
20,1,0,18,51,164,12,6,16,0.940789,482,0.25,0,0,0.261111,0,0,22.7,8,1.5,Y
19,1,0,18,51,145,12,6,15,0.920635,437,0.285714,0,0,0.25731,0,0,21.631579,7,1.4737,Y
23,5,1,10,74,189,1,9,14,0.806818,608,1,0,0.889474,0.233766,3,4,25.086957,8,1.5652,N
30,3,1,26,132,369,1,25,13,0.724138,1096,1,0,0.804054,0.171111,1,2,35.433333,18,2.6333,N
25,4,0,18,73,200,1,0,18,0.854167,666,1,0,0.736264,0.38,0,0,25.32,13,1.92,Y
6,2,0,6,12,13,3,3,6,0.8,54,0,0,0.615385,0.444444,0,0,7.833333,1,0.8333,N
5,3,0,3,15,10,1,2,4,2,50,0,0,0.785714,0.5,0,0,9,1,0.6,N
6,2,0,6,14,15,2,5,5,2,57,0,0,0.705882,0.333333,2,3,8.5,3,1.1667,Y
6,2,0,7,14,15,3,5,5,2,57,0,0,0.705882,0.333333,2,3,8.5,3,1.1667,Y
6,2,0,7,14,15,3,5,5,2,57,0,0,0.705882,0.333333,2,3,8.5,3,1.1667,Y
18,1,0,30,39,0,28,3,17,0.813725,432,0.833333,2,0,0.426471,0,0,22.666667,5,2.4444,N
12,1,10,13,13,0,13,0,8,0.454545,275,1,0,0,0.444444,0,0,21.666667,7,2.0833,N
12,1,9,12,13,0,12,0,8,0.454545,275,1,0,0,0.444444,0,0,21.666667,7,2.0833,Y
20,2,0,23,47,0,10,16,7,0.785088,1605,0.291667,11,0.181818,0.157895,0,0,78.05,12,3.75,N
17,1,0,24,39,0,22,2,17,0.5,415,0.5,0,0,0.426471,0,0,23.294118,5,2.5882,Y
2,1,0,2,5,1,2,0,1,2,36,0,0,0,0.5,0,0,17,4,2,N
2,1,0,2,5,1,2,0,1,2,36,0,0,0,0.5,0,0,17,4,2,N
2,1,0,2,9,1,1,1,2,2,48,0,0,0,0.666667,0,0,23,6,3,N
2,1,0,6,21,1,3,3,1,2,144,0,0,0,0.5,0,0,71,10,5,N
2,1,0,2,8,1,2,0,1,2,49,0,0,0,0.5,0,0,23.5,4,2,N
17,1,0,7,53,38,3,6,9,0.767857,725,0.857143,3,0,0.197917,0,0,40.823529,6,1.5294,Y
16,1,0,27,123,120,5,23,2,2,1851,0,0,0,0.204545,0,0,114.6875,20,5.9375,N
20,1,0,12,77,64,3,10,5,0.712919,1021,0.818182,3,0,0.205263,0,0,49.5,2,1,Y
15,1,0,13,54,41,2,11,10,0.804762,675,0.533333,5,0,0.237037,0,0,43,3,1.2,N
15,1,0,13,54,41,2,11,10,0.804762,675,0.533333,5,0,0.237037,0,0,43,3,1.2,Y
4,3,0,5,15,4,1,4,2,0.75,133,0.5,0,0.777778,0.416667,1,2,31.25,1,0.5,N
5,2,0,10,23,6,1,10,2,0.8,185,0,3,0.4,0.333333,0,0,35,1,0.6,Y
4,1,0,24,104,0,2,22,3,0.333333,763,1,2,0,0.375,0,0,189.25,1,0.75,N
4,3,0,4,14,4,1,3,2,0.833333,74,0,0,0.777778,0.416667,1,2,17,1,0.5,N
4,1,0,15,36,4,0,15,2,0.333333,356,1,1,0,0.5,0,0,87.75,1,0.75,Y
13,1,0,28,104,76,2,26,8,0.916667,691,1,1,0,0.227273,0,0,52.076923,8,1.6154,N
13,2,0,9,62,52,0,9,8,0.939815,449,0,2,0.62069,0.346154,2,3,32.153846,10,2.3846,Y
9,2,0,12,21,24,2,12,5,0.916667,167,0,6,0.363636,0.270833,0,0,16.555556,6,2,N
8,2,0,6,32,20,0,6,4,0.5,221,1,0,0.461538,0.4,0,0,26.375,5,2,N
11,1,0,12,52,37,4,0,5,0.7,360,1,1,0,0.383333,0,0,31.363636,8,1.8182,Y
24,1,0,20,24,276,19,1,24,2,24,0,0,0,0.291667,0,0,0,1,1,Y
18,1,0,10,18,153,9,1,18,2,18,0,0,0,0.37037,0,0,0,1,1,Y
19,1,0,8,19,171,8,0,19,2,19,0,0,0,0.421053,0,0,0,1,1,N
31,1,0,97,31,465,84,16,31,1.033333,33,0,0,0,0.132258,0,0,0,1,1,N
25,1,0,62,25,300,55,8,25,2,25,0,0,0,0.296,0,0,0,1,1,N
4,1,0,24,104,0,2,22,3,0.333333,763,1,2,0,0.375,0,0,189.25,1,0.75,N
4,1,0,15,36,4,0,15,2,0.333333,356,1,1,0,0.5,0,0,87.75,1,0.75,Y
4,1,0,8,39,0,2,6,0,0.888889,235,0.5,3,0,0.375,0,0,56.25,2,1,Y
4,3,0,5,15,4,1,4,2,0.75,133,0.5,0,0.777778,0.416667,1,2,31.25,1,0.5,N
4,1,0,7,38,0,2,5,0,0.888889,224,0.5,3,0,0.375,0,0,53.5,2,1,Y
10,1,3,9,15,29,3,6,8,0.777778,67,1,1,0,0.65,0,0,5.3,2,1,N
6,2,0,4,10,15,1,3,6,2,31,0,0,0.615385,0.666667,1,3,4.166667,1,0.8333,N
6,2,0,4,10,15,1,3,6,2,31,0,0,0.615385,0.666667,1,3,4.166667,1,0.8333,N
