wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
14,3,0,8,41,33,1,8,10,0.760684,385,1.0,2,0.74,0.357143,1,1,25.857143,4,1.5714,N
5,3,0,9,43,0,0,9,5,0.666667,276,1.0,0,0.902439,0.533333,2,3,53.6,1,0.8,N
13,1,1,8,20,46,6,2,8,0.666667,111,1.0,0,0.0,0.6153850000000001,0,0,7.2307690000000004,1,0.7692,N
8,4,0,7,35,4,0,7,7,0.714286,265,1.0,0,0.9176469999999999,0.46875,3,3,31.375,5,1.375,N
31,1,0,6,65,243,4,2,30,0.726667,747,1.0,0,0.0,0.18279600000000001,1,1,22.612903,4,1.1613,N
15,3,0,3,37,41,1,2,14,0.696429,437,0.75,1,0.454545,0.311111,1,2,27.333333000000003,1,0.8,N
12,1,0,3,21,44,1,2,5,0.805195,147,1.0,1,0.0,0.261905,0,0,10.666667,4,1.25,N
2,2,0,6,9,1,1,5,2,2.0,33,0.0,0,0.958333,1.0,0,0,15.5,1,0.5,N
6,3,0,6,16,5,0,6,5,0.733333,95,1.0,0,0.8809520000000001,0.5,0,0,14.333332999999998,1,0.8333,N
15,4,2,18,55,37,2,16,9,0.728571,730,1.0,4,0.8461540000000001,0.193333,3,7,47.0,12,2.4667,Y
7,3,0,8,22,0,0,8,7,0.625,147,1.0,0,0.8604649999999999,0.342857,1,1,19.428570999999998,5,1.4286,N
26,3,0,15,108,233,1,15,22,0.902609,1156,1.0,2,0.596774,0.16025599999999998,3,3,42.576923,7,1.2692,Y
3,3,0,5,22,0,1,5,3,0.0,149,1.0,0,0.9487180000000001,0.666667,0,0,48.333333,1,0.6667,N
19,1,0,30,46,65,29,3,17,0.416667,448,1.0,0,0.0,0.28947399999999995,0,0,22.473684,16,2.4211,N
6,4,0,8,34,0,0,8,6,0.6,493,1.0,0,0.939759,0.555556,1,1,80.5,1,0.8333,Y
2,2,0,10,9,1,6,4,2,2.0,31,0.0,0,0.923077,0.666667,0,0,14.5,1,0.5,N
26,3,0,33,80,201,26,8,20,0.573333,719,0.666667,2,0.566038,0.152727,2,11,26.538462,14,2.2692,N
3,3,0,3,10,0,0,3,3,0.0,32,1.0,0,0.9487180000000001,0.666667,0,0,9.333333,1,0.6667,N
3,2,0,9,22,3,1,8,2,2.0,128,0.0,0,0.92,1.0,1,1,41.666667,9,3.3333,N
9,3,0,9,29,0,0,9,9,0.583333,168,1.0,1,0.8222219999999999,0.44444399999999995,0,0,17.333333,2,1.4444,N
4,3,0,5,32,2,0,5,4,0.666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,N
2,1,0,1,6,0,1,0,2,1.0,39,1.0,0,0.0,0.666667,0,0,16.5,2,1.0,N
3,1,0,2,15,0,2,0,3,0.166667,100,1.0,0,0.0,0.666667,0,0,31.333333000000003,2,1.0,N
14,3,2,11,41,67,3,8,11,0.8461540000000001,366,1.0,1,0.74,0.223214,1,1,24.714285999999998,4,1.2857,N
19,1,0,24,81,147,17,8,7,0.8611110000000001,560,1.0,1,0.0,0.171296,0,0,28.157895,2,1.0,N
8,3,0,2,39,10,0,2,8,0.714286,265,1.0,0,0.840909,0.325,1,1,31.625,4,1.25,N
23,1,1,25,52,181,23,2,14,0.731405,1489,1.0,0,0.0,0.29090900000000003,0,0,63.26087,35,6.087000000000001,N
5,1,0,5,13,0,4,1,5,0.0,69,1.0,0,0.0,0.533333,0,0,12.6,3,1.2,N
14,3,0,7,33,65,0,7,14,0.910256,404,1.0,1,0.74,0.595238,2,3,27.0,2,1.0,Y
2,2,0,6,11,1,1,5,2,2.0,37,0.0,0,0.958333,1.0,0,0,17.5,1,0.5,N
1,5,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,N
5,1,0,2,15,0,1,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,N
4,1,0,4,5,0,3,1,4,0.333333,24,1.0,0,0.0,0.875,0,0,4.75,1,0.75,N
21,1,0,27,78,158,11,17,15,0.735714,659,0.9285709999999999,5,0.0,0.145,0,0,29.714285999999998,7,1.6667,Y
14,3,12,20,41,0,13,7,13,0.461538,174,1.0,1,0.74,0.392857,0,0,11.285714,6,1.5,N
4,1,0,2,5,6,1,1,4,2.0,16,0.0,0,0.0,0.875,0,0,3.0,1,0.75,N
6,1,0,7,28,1,1,6,6,0.6,173,1.0,3,0.0,0.305556,0,0,27.333333000000003,1,0.8333,N
20,2,40,100,28,158,96,6,16,0.877193,164,1.0,3,0.321429,0.258333,1,3,6.9,3,1.1,N
5,1,0,19,12,4,17,2,5,0.25,55,1.0,0,0.0,0.533333,0,0,9.8,1,0.6,N
27,1,0,3,63,297,1,2,10,0.778846,527,0.0,2,0.0,0.37963,0,0,18.222222,11,1.4444,N
14,1,1,9,34,47,4,5,12,0.824176,279,1.0,0,0.0,0.307692,0,0,18.428570999999998,6,1.8571,Y
1,1,0,9,1,0,8,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
7,1,0,11,7,21,10,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
7,6,0,8,31,13,0,8,4,0.75,151,1.0,0,0.9625,0.4,4,9,20.285714000000002,2,1.0,N
4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.875,0,0,0.0,1,1.0,N
