wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
15,4,0,9,44,63,0,9,15,0.833333,230,1.0,0,0.777778,0.366667,2,4,13.933333,1,0.9333,Y
17,4,0,12,52,90,2,12,14,0.8125,288,1.0,0,0.753846,0.470588,1,1,15.588235000000001,3,1.0588,Y
11,2,0,7,31,45,2,6,6,0.5,166,1.0,1,0.64,0.363636,0,0,13.909091,2,0.9091,Y
17,2,0,17,62,88,2,16,16,0.8888889999999999,329,0.8888889999999999,0,0.117647,0.205357,0,0,17.823529,12,1.5882,N
26,1,0,9,62,119,1,8,24,0.68,437,1.0,4,0.0,0.317308,0,0,15.538461999999999,6,1.6923,Y
13,1,0,7,33,26,5,2,12,0.604167,261,1.0,0,0.0,0.252747,0,0,18.769231,7,1.4615,N
13,1,0,7,33,26,5,2,12,0.604167,261,1.0,0,0.0,0.252747,0,0,18.769231,7,1.4615,N
11,2,0,6,39,21,2,4,10,0.92,256,1.0,0,0.6153850000000001,0.409091,1,2,21.818182,4,2.2727,N
12,2,0,5,36,24,3,2,7,0.818182,253,0.0,0,0.592593,0.395833,1,2,19.833333,6,2.0833,N
10,2,0,4,27,21,1,4,6,0.765432,220,1.0,2,0.653846,0.31666700000000003,1,2,20.1,5,1.6,N
9,2,0,7,50,14,2,5,8,0.5625,348,1.0,1,0.884058,0.48148100000000005,2,4,37.222221999999995,8,3.4444,N
9,1,0,11,45,22,0,11,6,0.75,351,1.0,0,0.0,0.4,0,0,37.777778000000005,1,0.7778,Y
8,1,0,6,64,22,2,0,6,0.714286,509,1.0,1,0.0,0.28571399999999997,0,0,62.375,12,2.625,N
8,2,0,8,34,12,2,6,5,0.714286,223,1.0,0,0.5,0.291667,0,0,26.375,8,2.0,N
8,3,0,7,46,10,0,7,7,0.771429,394,1.0,0,0.840909,0.375,1,1,47.625,2,1.0,N
6,2,0,4,13,0,2,2,5,0.4,62,1.0,0,0.583333,0.44444399999999995,0,0,8.833333,1,0.8333,N
6,2,0,1,12,0,1,0,6,0.0,62,1.0,0,0.5,0.458333,1,1,9.0,1,0.8333,N
6,1,0,3,15,0,1,2,6,0.5,60,1.0,1,0.0,0.458333,0,0,8.666667,1,0.6667,N
7,1,0,3,22,0,3,1,6,0.555556,112,1.0,0,0.0,0.47618999999999995,0,0,14.571429,4,1.4286,N
6,2,0,6,19,1,0,0,5,0.8,87,1.0,0,0.911111,0.7,0,0,13.333332999999998,1,0.6667,N
14,2,0,5,47,9,0,0,4,0.855769,583,0.5,0,0.7209300000000001,0.519231,2,4,40.071428999999995,7,2.0,N
12,4,0,5,60,16,0,5,8,0.902098,720,0.538462,1,0.8764040000000001,0.305556,1,2,57.916667000000004,3,1.0833,N
13,2,0,14,124,8,3,14,3,0.943333,1749,0.28,3,0.333333,0.171598,0,0,131.615385,22,4.2308,N
16,2,0,14,111,24,8,9,8,0.818182,1304,0.636364,1,0.831169,0.37333299999999997,1,7,79.8125,14,2.6875,Y
11,2,0,10,96,21,2,10,3,0.828571,1272,0.5,3,0.333333,0.236364,0,0,113.36363600000001,17,4.9091,Y
5,1,0,3,12,8,1,2,4,0.75,42,0.0,0,0.0,0.25,0,0,7.2,1,0.6,N
4,1,0,3,12,6,1,2,4,0.666667,37,1.0,1,0.0,0.5,0,0,8.0,2,1.0,N
6,2,0,1,25,15,0,0,5,2.0,101,0.0,0,0.6875,0.416667,1,1,15.833332999999998,6,1.6667,N
4,1,0,1,13,6,0,1,4,2.0,45,0.0,0,0.0,0.625,0,0,10.25,2,1.0,N
8,5,0,3,33,28,1,2,7,2.0,143,0.0,0,0.992974,0.5,1,1,16.875,3,1.125,Y
4,3,0,0,28,0,0,0,4,0.25,404,0.0,0,0.9285709999999999,0.3125,1,3,99.0,6,2.75,N
4,6,0,2,21,0,0,2,2,0.571429,264,1.0,0,0.9970190000000001,1.0,2,4,63.25,6,2.0,N
4,3,0,0,28,0,0,0,4,0.25,404,1.0,0,0.9285709999999999,0.3125,1,3,99.0,6,2.75,N
4,6,0,2,21,0,0,2,2,0.555556,242,1.0,0,0.9970190000000001,1.0,2,4,58.0,6,2.0,N
4,1,0,3,21,0,3,0,3,0.5,242,1.0,0,0.0,0.555556,0,0,59.0,4,1.25,N
5,1,1,3,6,10,1,2,5,2.0,12,0.0,0,0.0,0.733333,0,0,1.4,1,0.8,N
6,1,0,6,8,15,3,3,6,2.0,24,0.0,0,0.0,0.555556,0,0,3.0,2,1.0,N
5,1,0,2,6,10,0,2,5,2.0,12,0.0,0,0.0,0.8,0,0,1.4,1,0.8,N
5,1,0,2,6,10,0,2,5,2.0,12,0.0,0,0.0,0.8,0,0,1.4,1,0.8,Y
8,1,0,6,13,26,2,0,7,1.0,34,1.0,1,0.0,0.392857,0,0,3.0,1,0.75,N
3,1,1,7,9,0,5,2,3,0.0,47,1.0,0,0.0,0.666667,0,0,14.333332999999998,1,0.6667,Y
3,2,0,6,9,0,4,2,3,0.0,36,1.0,0,0.6,0.666667,1,1,10.666667,1,0.6667,N
3,2,0,6,9,0,4,2,3,0.0,36,1.0,0,0.6,0.666667,1,1,10.666667,1,0.6667,N
4,2,0,9,10,0,8,0,4,0.0,63,1.0,0,0.8,0.625,0,0,14.5,3,1.25,N
3,2,0,6,9,0,4,2,3,0.0,34,1.0,0,0.714286,0.666667,1,1,10.0,1,0.6667,N
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,4,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,4,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,3,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
2,1,0,2,5,1,0,0,2,2.0,11,0.0,0,0.0,0.75,0,0,4.5,1,0.5,N
2,1,0,2,5,1,0,0,2,2.0,11,0.0,0,0.0,0.75,0,0,4.5,1,0.5,N
2,2,0,2,4,1,1,1,2,2.0,10,0.0,0,0.923077,0.75,0,0,4.0,1,0.5,N
2,1,0,2,4,1,2,0,2,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,N
2,2,0,3,4,1,1,2,2,2.0,10,0.0,0,0.833333,0.666667,0,0,4.0,1,0.5,N
8,3,0,6,28,8,0,6,7,0.714286,221,1.0,1,0.840909,0.5,2,2,26.125,6,1.75,N
8,1,0,2,33,4,2,1,5,0.673469,269,0.714286,1,0.0,0.416667,0,0,31.75,4,1.75,N
8,3,0,2,39,10,0,2,8,0.714286,308,1.0,0,0.840909,0.325,1,1,37.0,4,1.25,N
9,2,0,9,49,8,1,0,6,0.484375,365,0.125,0,0.533333,0.3125,0,0,38.666667,10,1.7778,N
10,3,0,7,57,19,0,7,9,0.833333,518,0.875,0,0.804348,0.34,2,2,50.0,2,1.0,Y
4,1,0,3,13,6,3,0,4,2.0,86,0.0,0,0.0,0.333333,1,1,20.5,8,3.5,N
4,1,2,4,25,6,2,2,4,2.0,126,0.0,0,0.0,0.625,1,1,30.5,8,2.75,N
4,2,0,4,14,2,2,3,2,0.666667,89,0.5,0,0.714286,0.44444399999999995,0,0,20.75,7,2.0,Y
4,1,0,2,11,4,1,2,3,0.666667,58,1.0,0,0.0,0.333333,0,0,13.25,4,2.0,N
4,1,0,5,16,4,1,0,2,0.666667,96,0.0,0,0.0,0.44444399999999995,0,0,22.75,5,1.5,N
25,4,0,14,65,234,2,13,20,0.904167,402,1.0,0,0.671233,0.37,1,2,14.68,1,0.96,Y
23,2,1,3,51,195,3,1,13,0.809091,300,1.0,0,0.241379,0.166008,0,0,11.826087,7,1.5652,N
34,2,0,11,94,439,3,0,28,0.737374,696,1.0,1,0.684211,0.170996,1,15,19.382353,6,1.3529,N
35,1,0,12,79,333,2,11,31,0.751634,487,1.0,6,0.0,0.167857,0,0,12.657143,7,1.7143,Y
35,3,0,14,90,519,4,10,25,0.909091,815,1.0,3,0.5362319999999999,0.171429,0,0,21.971429,7,1.4,N
8,1,0,4,39,22,1,3,6,0.785714,377,0.5,0,0.0,0.166667,0,0,45.875,3,1.25,N
8,1,0,4,39,22,1,3,6,0.785714,377,0.5,0,0.0,0.166667,0,0,45.875,3,1.25,N
10,3,0,7,60,41,0,7,3,0.9,748,0.6,0,0.804348,0.28571399999999997,0,0,72.8,7,2.1,Y
8,1,0,4,36,26,4,0,7,1.0714290000000002,351,0.0,0,0.0,0.380952,0,0,42.375,8,3.625,N
9,3,0,7,61,28,0,7,3,0.925,749,0.6,0,0.8222219999999999,0.28571399999999997,0,0,81.111111,7,2.2222,Y
9,1,0,7,15,36,0,7,9,2.0,84,0.0,0,0.0,0.333333,0,0,8.333333,1,0.8889,N
10,1,0,3,13,31,1,2,10,0.703704,76,1.0,1,0.0,0.375,0,0,6.3,2,1.1,N
10,1,0,3,13,31,1,2,10,0.703704,76,1.0,1,0.0,0.375,0,0,6.3,2,1.1,N
10,1,0,7,17,27,3,4,10,0.75,69,1.0,2,0.0,0.28,1,1,5.5,2,1.0,Y
10,1,0,2,12,25,1,1,10,0.805556,53,1.0,0,0.0,0.7,0,0,3.9,1,0.9,N
8,5,0,3,33,28,1,2,7,2.0,143,0.0,0,0.992974,0.5,1,1,16.875,3,1.125,Y
8,5,0,4,33,28,2,2,7,2.0,143,0.0,0,0.992974,0.5,1,1,16.875,3,1.125,N
10,5,0,8,44,43,4,5,9,0.666667,218,1.0,0,0.990654,0.375,1,1,20.7,4,1.6,N
10,5,0,5,42,43,2,5,9,0.666667,219,1.0,0,0.990654,0.375,1,1,20.8,4,1.6,Y
12,7,0,7,59,52,1,7,10,0.709091,284,1.0,2,0.9835079999999999,0.277778,0,0,22.25,3,1.3333,N
8,1,0,4,39,22,1,3,6,0.785714,377,0.5,0,0.0,0.166667,0,0,45.875,3,1.25,N
8,1,0,4,39,22,1,3,6,0.785714,377,0.5,0,0.0,0.166667,0,0,45.875,3,1.25,N
7,3,0,6,26,15,2,5,6,0.833333,237,0.5,0,0.8604649999999999,0.28571399999999997,1,1,32.571428999999995,1,0.8571,N
9,1,0,11,45,22,0,11,6,0.75,351,1.0,0,0.0,0.4,0,0,37.777778000000005,1,0.7778,Y
10,3,0,6,44,21,1,6,7,0.740741,367,1.0,0,0.804348,0.45,0,0,35.1,2,1.1,N
1,4,0,1,3,0,1,0,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,N
1,6,0,2,7,0,2,0,1,2.0,17,0.0,0,1.0,1.0,0,0,16.0,0,0.0,N
1,2,0,2,2,0,1,1,1,2.0,6,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,2,0,2,2,0,1,1,1,2.0,6,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,4,0,1,2,0,0,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
22,1,0,29,94,139,10,21,17,0.785714,853,1.0,3,0.0,0.227273,0,0,37.5,14,2.0909,Y
14,3,2,11,41,67,3,8,11,0.8461540000000001,366,1.0,1,0.74,0.223214,1,1,24.714285999999998,4,1.2857,N
16,1,2,17,39,74,4,13,7,0.85,360,1.0,3,0.0,0.266667,0,0,21.25,3,1.0,N
20,3,0,11,71,124,7,6,15,0.782895,698,0.625,0,0.625,0.3,2,3,33.5,6,2.0,Y
22,3,0,12,68,133,7,6,16,0.571429,677,1.0,0,0.5882350000000001,0.266234,2,3,29.590909000000003,9,2.9545,Y
4,2,0,4,13,4,1,4,1,0.666667,51,1.0,1,0.818182,0.44444399999999995,1,1,11.5,3,1.0,N
4,1,0,4,16,4,1,4,3,0.666667,67,1.0,0,0.0,0.333333,0,0,15.5,4,2.5,N
5,1,0,1,22,8,0,1,5,0.5,97,1.0,0,0.0,0.4,0,0,18.2,1,0.6,N
4,1,0,1,13,6,0,1,4,2.0,45,0.0,0,0.0,0.625,0,0,10.25,2,1.0,N
4,6,0,5,34,6,2,5,2,2.0,150,0.0,0,0.9954129999999999,0.375,0,0,36.5,1,0.75,N
13,1,0,76,55,38,76,1,7,0.892857,446,0.5,0,0.0,0.178571,0,0,32.230769,7,2.3846,N
13,1,0,69,53,38,69,1,7,0.892857,437,0.571429,0,0.0,0.178571,0,0,31.538462,7,2.3077,N
13,1,0,64,55,36,64,1,7,0.8869049999999999,433,0.571429,0,0.0,0.178571,0,0,31.230769,7,2.3077,N
15,1,0,33,32,13,31,2,13,0.875,211,0.375,1,0.0,0.16071400000000002,0,0,12.533333,2,1.4667,Y
15,1,0,51,29,0,50,0,12,0.6298699999999999,401,0.545455,2,0.0,0.23333299999999998,0,0,25.0,7,1.4667,N
2,1,0,15,2,1,14,1,2,2.0,2,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
2,1,0,11,2,1,10,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,15,2,1,15,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
2,1,0,10,2,1,10,1,2,2.0,2,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
3,1,0,23,3,3,23,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
7,1,0,13,55,3,5,0,3,0.537037,724,1.0,2,0.0,0.371429,0,0,101.14285699999999,11,2.5714,N
6,1,0,14,29,0,11,0,2,0.828571,309,1.0,2,0.0,0.333333,0,0,49.333333,5,1.6667,N
6,5,0,12,45,5,6,7,2,0.828571,536,1.0,3,0.9930559999999999,0.3,0,0,87.166667,3,1.5,N
7,1,0,6,20,0,1,5,4,0.703704,347,1.0,1,0.0,0.371429,0,0,47.285714,8,3.0,Y
6,5,0,16,50,1,6,11,2,0.55,546,1.0,1,0.9930559999999999,0.3,0,0,89.333333,5,1.8333,N
12,1,0,2,21,0,2,0,12,0.836364,304,0.4,0,0.0,0.458333,0,0,23.916667,7,1.3333,N
9,1,0,2,17,2,1,1,6,0.678571,234,1.0,0,0.0,1.0,0,0,24.222222,5,2.8889,N
9,1,0,2,17,2,1,1,6,0.678571,236,1.0,0,0.0,1.0,0,0,24.444444,5,2.8889,N
9,1,0,2,17,2,1,1,6,0.678571,236,1.0,0,0.0,1.0,0,0,24.444444,5,2.8889,N
12,1,1,5,19,0,4,0,12,0.636364,268,0.5,1,0.0,0.638889,0,0,21.0,4,2.0833,N
10,1,0,28,37,45,26,2,9,2.0,218,0.0,0,0.0,0.17,0,0,20.8,9,2.5,N
10,1,3,20,22,43,14,9,10,0.8888889999999999,164,0.0,1,0.0,0.4,0,0,15.3,5,1.6,N
11,4,0,18,26,33,14,5,11,0.45,141,0.0,0,0.764706,0.363636,1,2,11.636364,2,1.0,N
11,4,0,18,26,33,14,5,11,0.45,141,0.0,0,0.764706,0.363636,1,2,11.636364,2,1.0,N
13,1,0,27,35,62,26,0,9,0.361111,315,1.0,0,0.0,0.388889,0,0,23.0,7,1.3846,N
4,1,0,3,25,4,1,2,1,0.333333,183,1.0,0,0.0,0.583333,0,0,44.25,3,1.25,N
4,1,0,1,25,2,0,0,3,0.416667,174,0.0,1,0.0,0.555556,0,0,41.5,3,1.25,N
4,2,0,3,20,6,3,0,4,1.333333,146,0.0,0,0.882353,0.75,0,0,34.5,3,1.25,N
4,1,0,5,29,4,2,0,3,0.333333,213,1.0,0,0.0,0.5,0,0,52.0,1,0.5,N
4,3,0,3,18,4,0,3,3,0.666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,N
11,2,0,5,34,41,1,5,4,0.91,321,0.6,0,0.795918,0.272727,1,1,27.272727000000003,7,1.6364,N
11,2,0,5,31,31,1,5,7,0.8,231,1.0,0,0.565217,0.4,1,3,19.272727,8,2.2727,Y
10,2,0,4,30,27,1,3,5,0.761905,252,1.0,1,0.357143,0.283333,1,1,23.5,2,1.0,N
11,2,0,5,28,31,1,5,7,0.8111109999999999,240,1.0,1,0.565217,0.333333,1,3,20.0,10,2.4545,N
11,2,0,6,28,31,1,5,7,0.8,223,1.0,1,0.565217,0.333333,1,3,18.545455,8,2.2727,N
4,1,0,3,30,0,0,0,2,0.611111,368,1.0,0,0.0,0.333333,0,0,89.5,15,4.0,N
4,1,0,3,21,0,3,0,3,0.5,242,1.0,0,0.0,0.555556,0,0,59.0,4,1.25,N
4,3,0,0,28,0,0,0,4,0.25,404,0.0,0,0.9285709999999999,0.3125,1,3,99.0,6,2.75,N
4,3,0,0,28,0,0,0,4,0.25,404,1.0,0,0.9285709999999999,0.3125,1,3,99.0,6,2.75,N
4,2,0,6,12,6,4,2,3,2.0,140,0.0,0,0.727273,0.75,0,0,34.0,6,4.0,N
9,1,0,3,19,8,2,1,9,0.53125,119,1.0,0,0.0,0.518519,0,0,11.777778,3,1.4444,N
9,1,0,6,23,10,2,0,8,0.791667,132,1.0,4,0.0,0.325,0,0,13.0,2,1.0,N
11,3,0,4,27,11,1,0,10,0.583333,169,1.0,3,0.4,0.174242,1,1,13.818182,3,1.0,N
11,2,0,6,39,21,2,4,10,0.92,256,1.0,0,0.6153850000000001,0.409091,1,2,21.818182,4,2.2727,N
11,1,0,2,23,15,1,0,11,0.7,167,0.0,1,0.0,0.318182,0,0,13.727273,2,1.0,N
2,1,0,6,5,1,1,5,1,2.0,12,0.0,0,0.0,0.75,0,0,5.0,1,0.5,N
2,1,0,4,4,1,0,4,2,2.0,11,0.0,0,0.0,0.75,0,0,4.5,1,0.5,N
2,1,0,4,4,1,0,4,2,2.0,12,0.0,0,0.0,0.75,0,0,5.0,1,0.5,Y
2,1,0,4,4,1,0,4,2,2.0,12,0.0,0,0.0,0.75,0,0,5.0,1,0.5,N
2,1,0,4,4,1,0,4,2,2.0,12,0.0,0,0.0,0.75,0,0,5.0,1,0.5,N
7,1,0,1,13,0,1,0,5,0.5,221,1.0,2,0.0,0.428571,0,0,29.857143,7,3.2857,N
7,2,0,3,18,0,1,2,4,0.6190479999999999,366,1.0,0,0.14285699999999998,0.428571,0,0,50.285714,11,4.2857,N
7,1,0,1,19,1,1,0,6,0.75,437,0.5,0,0.0,0.5,0,0,60.0,6,3.0,N
7,1,0,6,20,0,1,5,4,0.703704,347,1.0,1,0.0,0.371429,0,0,47.285714,8,3.0,Y
7,1,0,7,20,0,1,6,4,0.736111,392,1.0,2,0.0,0.404762,0,0,53.285714,11,4.2857,Y
2,3,0,6,5,1,2,4,2,2.0,14,0.0,0,0.8,0.5,0,0,6.0,1,0.5,N
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.75,0.75,0,0,4.0,1,0.5,N
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.75,0.75,0,0,4.0,1,0.5,N
2,2,0,3,4,1,1,2,2,2.0,10,0.0,0,0.833333,0.666667,0,0,4.0,1,0.5,N
2,1,0,6,6,1,2,4,1,2.0,21,0.0,0,0.0,0.5,0,0,9.5,2,1.0,N
12,2,0,10,55,36,0,0,10,0.727273,470,1.0,1,0.803922,0.772727,0,0,37.916667,3,1.5833,N
10,2,0,4,27,21,1,4,6,0.765432,220,1.0,2,0.653846,0.31666700000000003,1,2,20.1,5,1.6,N
12,1,0,2,41,20,1,0,9,0.87013,354,0.571429,0,0.0,0.375,0,0,27.916666999999997,4,1.75,N
10,1,0,6,34,27,2,0,6,0.796296,287,1.0,2,0.0,0.314815,0,0,27.1,4,1.2,N
11,2,0,0,46,39,0,0,8,0.55,401,1.0,1,0.4375,0.424242,1,2,35.272727,5,1.7273,N
22,2,0,14,90,73,2,13,18,0.720238,663,0.875,3,0.603774,0.204545,1,6,28.772727000000003,15,2.0,N
11,2,0,7,30,25,3,6,9,0.833333,198,1.0,0,0.6153850000000001,0.386364,1,2,16.727273,4,1.8182,N
20,1,0,14,60,48,6,10,20,0.815789,515,1.0,2,0.0,0.166667,0,0,24.35,4,1.8,N
11,2,0,8,29,25,3,7,9,0.75,185,1.0,0,0.6153850000000001,0.386364,1,2,15.636364000000002,3,1.6364,N
15,2,0,15,42,27,6,9,12,0.72619,326,0.833333,1,0.277778,0.4,1,1,20.333333,7,2.4667,N
4,3,0,3,17,4,0,3,3,1.0,99,1.0,0,0.925,0.75,1,1,23.25,2,1.0,N
4,2,0,4,17,6,2,3,4,2.0,86,0.0,0,0.9285709999999999,0.6,1,1,20.5,2,1.0,N
4,2,0,4,17,6,2,3,4,2.0,86,0.0,0,0.9285709999999999,0.6,1,1,20.5,2,1.0,N
4,2,0,3,17,6,1,3,4,2.0,86,0.0,0,0.9285709999999999,0.6,1,1,20.5,2,1.0,N
5,5,0,4,19,4,1,3,4,0.25,107,1.0,0,0.903226,0.7,2,5,20.2,1,0.6,N
4,2,0,8,29,4,0,8,3,0.666667,141,1.0,0,0.6,0.666667,0,0,34.0,6,1.75,N
4,1,0,6,22,4,0,6,3,0.833333,118,1.0,0,0.0,0.3,0,0,28.0,5,2.25,N
4,1,0,6,25,6,0,6,3,2.0,124,0.0,0,0.0,0.5,0,0,30.0,6,2.25,N
4,1,0,6,25,6,0,6,3,2.0,124,0.0,0,0.0,0.5,0,0,30.0,6,2.25,N
