wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,2,0,3,4,1,0,3,2,2.0,10,0.0,0,0.666667,0.666667,0,0,4.0,1,0.5,N
10,1,0,4,37,0,0,4,9,0.388889,278,1.0,0,0.0,0.34,0,0,26.6,5,1.6,N
27,1,0,1,43,13,1,0,13,0.600962,1174,1.0,0,0.0,0.25308600000000003,0,0,42.185185,26,5.7407,N
1,1,0,21,1,0,20,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
3,1,2,19,4,3,18,1,3,2.0,7,0.0,0,0.0,1.0,0,0,1.333333,1,0.6667,Y
2,3,0,8,8,1,2,6,0,2.0,61,0.0,0,0.9523809999999999,0.583333,1,1,29.5,1,0.5,Y
7,2,0,6,30,1,1,5,7,0.0,373,1.0,0,0.14285699999999998,0.314286,1,1,51.571428999999995,12,3.5714,N
1,1,0,5,2,0,4,1,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,Y
9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.6190479999999999,0.416667,1,4,21.111110999999998,2,1.0,Y
6,1,0,8,29,0,2,6,0,0.43636400000000003,383,0.727273,5,0.0,0.479167,0,0,61.0,1,0.6667,Y
15,2,1,19,50,0,2,18,13,0.47618999999999995,557,1.0,1,0.611111,0.251852,1,5,35.933333000000005,6,1.2667,Y
5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.866667,0.4,1,1,74.0,14,4.8,Y
17,2,0,12,55,12,3,10,13,0.625,404,1.0,0,0.428571,0.158824,2,4,22.529412,7,2.0588,Y
14,1,1,18,17,91,18,0,14,2.0,189,0.0,0,0.0,0.297619,0,0,12.5,1,0.9286,Y
2,2,0,6,4,1,4,2,0,2.0,39,0.0,0,0.916667,0.666667,1,3,18.5,4,2.0,N
6,2,0,4,10,15,1,3,6,2.0,31,0.0,0,0.6153850000000001,0.666667,1,3,4.1666669999999995,1,0.8333,N
1,2,0,14,2,0,11,3,0,2.0,11,0.0,1,1.0,1.0,0,0,9.0,0,0.0,N
12,3,0,7,46,0,1,7,12,0.613636,343,1.0,0,0.592593,0.208333,2,2,27.25,7,1.75,Y
14,1,0,23,35,0,22,1,14,0.5,341,0.5,0,0.0,0.428571,0,0,23.214285999999998,5,2.5714,Y
1,1,0,3,1,0,3,0,0,2.0,87,0.0,0,0.0,0.0,0,0,68.0,0,0.0,N
36,1,0,5,52,282,1,4,7,0.720301,2855,0.21052600000000002,1,0.0,0.40571399999999996,0,0,77.777778,102,7.0556,Y
2,3,0,8,11,0,2,6,0,0.0,106,1.0,0,0.9523809999999999,0.571429,1,1,51.5,1,0.5,Y
6,1,5,25,8,15,24,1,6,2.0,21,0.0,0,0.0,0.583333,0,0,2.5,1,0.8333,N
6,2,0,12,12,1,1,11,6,0.64,173,1.0,6,0.9215690000000001,0.35,0,0,26.166667,6,1.5,N
15,1,0,13,54,41,2,11,10,0.804762,675,0.533333,5,0.0,0.237037,0,0,43.0,3,1.2,N
5,1,0,10,36,2,1,9,0,0.625,319,1.0,3,0.0,0.333333,0,0,62.0,1,0.8,Y
8,3,0,3,19,12,2,2,4,0.666667,125,0.666667,1,0.75,0.3,2,8,14.25,1,0.875,N
13,1,13,45,39,72,42,7,12,0.833333,249,1.0,0,0.0,0.230769,0,0,18.076923,9,1.8462,N
9,2,0,9,32,0,1,8,9,0.291667,340,1.0,2,0.6,0.259259,2,3,36.444444,11,3.0,N
6,2,0,9,28,0,1,8,6,0.0,147,1.0,1,0.705882,0.333333,2,3,23.333333,4,1.5,N
15,3,0,9,29,15,1,8,11,0.6,523,0.7,3,0.214286,0.28571399999999997,1,1,33.2,10,1.7333,N
3,1,1,14,4,0,13,1,2,0.666667,25,0.333333,1,0.0,0.583333,0,0,6.3333330000000005,1,0.6667,N
3,2,3,4,5,1,3,1,1,0.5,17,1.0,0,0.666667,0.666667,0,0,4.3333330000000005,1,0.3333,N
3,1,0,0,8,3,0,0,1,1.0,27,0.0,0,0.0,0.333333,0,0,7.6666669999999995,2,1.0,N
9,1,0,5,18,0,2,3,8,0.5,1224,1.0,0,0.0,0.5,0,0,134.555556,3,1.0,Y
6,1,5,5,18,5,5,0,1,0.6,88,0.5,0,0.0,0.7,0,0,13.333332999999998,1,0.5,N
16,2,0,10,41,10,2,9,15,0.13333299999999998,257,0.0,0,0.5,0.375,0,0,15.0,2,0.875,Y
5,2,5,15,7,10,10,6,4,2.0,14,0.0,0,0.75,0.466667,1,1,1.8,1,0.8,N
10,1,0,8,33,25,1,7,10,0.722222,178,1.0,2,0.0,0.228571,0,0,16.4,1,0.9,Y
5,2,0,6,20,0,1,5,5,0.5,141,1.0,2,0.555556,0.4,1,2,26.6,1,0.8,N
