wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
6,1,0,2,16,3,0,2,5,0.866667,90,0.333333,0,0.0,0.466667,0,0,13.5,2,1.3333,Y
9,1,1,7,17,34,1,6,4,0.6875,93,1.0,2,0.0,0.351852,0,0,9.111111,1,0.8889,Y
5,2,0,10,12,10,4,8,5,2.0,62,0.0,0,0.903226,0.4,1,2,11.4,1,0.6,N
7,3,0,11,31,9,0,11,5,0.5,285,1.0,0,0.571429,0.428571,0,0,39.428571000000005,1,0.8571,Y
7,1,0,8,20,11,0,8,6,0.5,91,0.333333,0,0.0,0.5,0,0,11.571429,2,1.1429,Y
5,2,0,8,12,0,4,6,5,0.25,54,1.0,0,0.903226,0.43333299999999997,0,0,9.6,1,0.6,Y
17,1,2,26,20,96,23,4,17,0.9027780000000001,120,1.0,2,0.0,0.235294,0,0,5.529412000000001,3,1.0588,Y
12,3,0,8,30,64,1,7,11,1.0,93,1.0,0,0.9204549999999999,0.606061,1,2,6.5833330000000005,1,0.5833,N
5,1,0,3,19,2,0,3,3,0.666667,157,1.0,1,0.0,0.333333,0,0,29.8,3,1.0,Y
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.714286,0.666667,1,2,3.0,1,0.6667,Y
6,2,0,8,20,15,0,8,5,1.0,88,0.0,0,0.6875,0.416667,1,1,13.5,2,1.0,N
0,1,0,5,0,0,5,0,0,2.0,53,0.0,0,0.0,0.0,0,0,0.0,0,0.0,Y
3,1,0,1,10,1,1,0,2,0.5,84,0.0,0,0.0,0.5,0,0,26.666666999999997,10,3.3333,N
13,1,0,14,51,16,1,13,6,0.675926,615,1.0,3,0.0,0.369231,0,0,45.615384999999996,12,3.0769,Y
4,2,0,11,22,6,4,9,4,2.0,155,0.0,0,0.933333,0.416667,1,1,37.75,1,0.5,Y
10,2,0,13,39,43,2,11,7,0.777778,276,1.0,0,0.466667,0.246914,0,0,26.5,5,1.5,Y
3,2,0,2,14,0,1,1,3,0.0,42,1.0,0,0.666667,0.555556,0,0,12.666667,1,0.6667,Y
1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
4,3,0,4,21,4,1,3,3,0.555556,206,0.333333,0,0.769231,0.458333,1,1,49.0,21,5.75,Y
6,2,0,6,9,13,4,4,5,0.8,28,1.0,0,0.903226,0.4,0,0,3.5,1,0.5,N
5,1,0,4,5,10,3,1,5,2.0,5,0.0,0,0.0,0.9,0,0,0.0,1,1.0,Y
4,2,0,11,21,6,4,9,4,2.0,170,0.0,0,0.933333,0.416667,1,1,41.5,1,0.5,Y
5,2,0,11,21,10,4,9,5,2.0,154,0.0,0,0.903226,0.4,1,1,29.8,1,0.6,Y
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.714286,0.666667,1,2,3.0,1,0.6667,Y
6,1,0,8,30,0,0,8,4,0.333333,168,1.0,1,0.0,0.416667,0,0,26.5,2,1.3333,N
30,1,43,68,49,359,59,12,30,0.9028209999999999,382,0.909091,7,0.0,0.17666700000000002,1,1,11.366667,4,1.3333,Y
6,1,0,7,20,9,7,0,4,0.7,185,0.25,0,0.0,0.4,0,0,29.166666999999997,6,2.0,Y
5,2,0,9,11,10,5,6,5,2.0,31,0.0,0,0.903226,0.4,1,2,5.2,1,0.6,N
5,2,0,11,21,10,4,9,5,2.0,153,0.0,0,0.903226,0.4,1,1,29.6,1,0.6,Y
2,1,0,5,2,1,5,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,N
11,2,0,8,43,27,0,8,6,0.728571,523,1.0,0,0.52381,0.28571399999999997,0,0,45.909091,5,1.9091,Y
19,2,0,1,29,61,1,0,14,0.7098770000000001,342,0.666667,0,0.464286,0.305556,1,2,16.526316,2,0.8421,N
2,1,0,6,14,1,1,5,2,2.0,49,0.0,0,0.0,0.5,0,0,23.5,1,0.5,Y
3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.965517,0.533333,0,0,4.6666669999999995,1,0.3333,N
8,2,0,8,54,4,0,8,5,0.571429,413,1.0,0,0.611111,0.375,1,1,50.25,9,2.875,Y
5,1,0,4,5,10,2,2,5,2.0,5,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.714286,0.666667,1,2,3.0,1,0.6667,Y
8,2,0,17,42,0,5,14,8,0.52381,219,1.0,1,0.8235290000000001,0.28125,1,1,26.0,1,0.75,Y
12,1,0,21,35,66,6,15,9,2.0,316,0.0,0,0.0,0.295455,0,0,25.333333,3,1.6667,Y
13,2,1,5,17,66,1,4,13,0.75,95,1.0,1,0.5217390000000001,0.461538,0,0,6.2307690000000004,4,1.3846,Y
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.833333000000003,14,2.8333,N
4,2,0,3,17,0,1,2,2,0.555556,109,0.333333,0,0.571429,0.45,0,0,25.5,6,2.0,Y
37,1,0,16,92,0,3,13,34,0.5,438,1.0,1,0.0,0.177778,1,1,10.783783999999999,12,1.1351,N
9,1,1,12,50,0,1,11,6,0.645833,316,0.666667,1,0.0,0.377778,0,0,33.444444,3,1.6667,Y
1,1,0,11,1,0,11,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
5,2,0,11,21,10,4,9,5,2.0,153,0.0,0,0.903226,0.4,1,1,29.6,1,0.6,Y
5,2,0,11,26,10,4,9,5,2.0,210,0.0,0,0.903226,0.4,2,2,41.0,1,0.6,Y
152,1,0,66,245,7900,48,60,50,0.7615890000000001,8177,0.785714,10,0.0,0.145695,0,0,52.611842,12,2.6118,Y
11,1,0,3,19,31,1,2,9,0.8,161,0.5,0,0.0,0.4,0,0,13.272727,5,1.8182,Y
28,1,0,18,68,0,3,15,28,0.0,431,1.0,1,0.0,0.25,0,0,14.357142999999999,2,0.9286,Y
5,1,0,12,5,10,8,4,5,2.0,5,0.0,0,0.0,0.68,0,0,0.0,1,1.0,N
4,1,0,8,14,6,8,0,3,2.0,66,0.0,0,0.0,0.416667,0,0,15.5,5,1.75,Y
2,2,0,2,5,1,1,1,1,2.0,11,0.0,0,0.941176,0.833333,1,2,4.5,1,0.5,N
3,1,0,4,3,3,4,0,3,2.0,3,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
3,2,0,4,8,3,1,3,3,2.0,23,0.0,0,0.984615,0.5,1,1,6.6666669999999995,1,0.3333,N
7,2,0,16,35,9,4,14,5,0.566667,229,0.8,3,0.848485,0.326531,1,1,31.0,1,0.7143,Y
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.714286,0.666667,1,2,3.0,1,0.6667,Y
5,2,0,9,19,10,4,7,5,2.0,84,0.0,0,0.903226,0.4,1,1,15.8,1,0.6,N
12,1,0,2,25,0,1,1,0,0.43636400000000003,218,1.0,0,0.0,0.395833,0,0,16.75,3,1.3333,Y
41,1,0,49,41,820,49,41,41,2.0,41,0.0,0,0.0,0.069767,0,0,0.0,1,1.0,N
5,1,0,30,5,10,30,0,5,2.0,5,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
3,2,0,3,6,3,0,3,3,2.0,17,0.0,0,0.965517,0.533333,0,0,4.6666669999999995,1,0.3333,N
4,4,4,10,7,0,9,1,4,0.666667,35,1.0,0,0.9285709999999999,0.666667,0,0,7.25,1,0.25,Y
