wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
9,3,0,9,34,10,0,9,7,0.729167,214,1.0,0,0.840909,0.3125,1,1,22.111110999999998,6,1.4444,N
10,4,0,16,36,3,4,12,10,0.583333,246,1.0,2,0.795455,0.266667,1,3,23.2,7,2.3,N
10,1,0,10,47,11,1,9,10,0.75,329,1.0,3,0.0,0.2125,0,0,31.1,6,1.5,Y
10,3,0,11,36,0,0,11,10,0.694444,236,1.0,1,0.804348,0.45,1,1,22.2,2,1.4,N
11,1,0,13,48,0,1,13,9,0.633333,360,1.0,2,0.0,0.22222199999999998,0,0,31.181818,11,2.4545,Y
10,1,0,6,31,3,1,6,0,0.611111,806,0.5,3,0.0,0.3125,0,0,79.0,11,2.8,Y
10,1,0,6,30,3,1,6,0,0.611111,807,0.5,3,0.0,0.3125,0,0,79.1,11,2.8,Y
10,1,0,6,30,3,1,6,0,0.611111,807,0.5,3,0.0,0.3125,0,0,79.1,11,2.8,N
10,2,0,3,20,0,1,2,8,0.311111,532,1.0,1,0.590909,0.283333,1,2,51.7,2,1.0,Y
10,5,0,8,53,0,1,7,5,0.883142,1073,1.0,1,0.9545450000000001,0.21111100000000002,2,8,100.5,11,3.4,Y
22,3,0,10,55,0,1,9,21,0.559524,460,1.0,1,0.6875,0.25,2,2,19.363636,1,0.9091,N
18,2,0,7,35,0,3,4,15,0.638655,315,1.0,0,0.52381,0.263889,1,1,16.111110999999998,3,0.7778,Y
21,3,0,4,49,0,0,4,19,0.635714,529,1.0,0,0.5,0.22023800000000002,1,2,23.857143,5,1.1429,Y
21,3,0,3,45,0,0,3,19,0.5,476,1.0,0,0.5,0.22023800000000002,1,2,21.428570999999998,3,1.0476,Y
17,1,0,5,35,0,2,3,17,0.710938,375,1.0,2,0.0,0.34117600000000003,0,0,20.588235,6,2.1176,Y
5,1,1,17,6,10,15,2,5,2.0,8,0.0,0,0.0,0.4,0,0,0.6,1,0.8,N
4,3,2,17,5,6,11,6,4,2.0,7,0.0,0,0.9594590000000001,0.4375,2,4,0.75,1,0.75,N
4,3,2,17,5,6,11,6,4,2.0,7,0.0,0,0.9594590000000001,0.4375,2,4,0.75,1,0.75,N
5,1,12,28,6,10,28,0,5,2.0,19,0.0,0,0.0,0.9,0,0,2.8,1,0.8,N
4,3,2,17,5,6,12,6,4,2.0,7,0.0,0,0.9594590000000001,0.4375,2,4,0.75,1,0.75,Y
3,1,0,15,3,3,14,1,3,2.0,3,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
3,1,0,16,3,3,15,1,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
5,1,0,41,5,10,41,0,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,N
3,1,0,15,3,3,14,1,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
5,1,0,44,5,10,44,0,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,Y
20,1,0,47,45,188,45,2,19,0.947368,326,1.0,0,0.0,0.236842,0,0,15.25,5,1.95,Y
19,1,15,32,38,139,21,11,16,0.8222219999999999,216,1.0,3,0.0,0.175439,1,1,10.105263,5,1.4737,Y
30,1,0,73,92,429,69,4,28,0.896552,693,1.0,1,0.0,0.103448,1,1,22.066667000000002,8,2.7333,Y
15,2,0,13,22,73,10,4,14,0.666667,129,1.0,1,0.478261,0.366667,1,1,7.4,4,1.2,N
19,1,1,32,29,107,29,3,19,0.895833,186,0.875,3,0.0,0.19548900000000002,0,0,8.368421000000001,5,1.2105,Y
12,1,0,1,12,66,1,0,12,2.0,12,0.0,0,0.0,0.44444399999999995,0,0,0.0,1,1.0,Y
12,1,0,1,12,66,1,0,12,2.0,12,0.0,0,0.0,0.44444399999999995,0,0,0.0,1,1.0,N
12,1,0,1,12,66,1,0,12,2.0,12,0.0,0,0.0,0.44444399999999995,0,0,0.0,1,1.0,Y
12,1,0,1,12,66,1,0,12,2.0,12,0.0,0,0.0,0.44444399999999995,0,0,0.0,1,1.0,N
14,1,0,4,14,91,4,0,14,2.0,14,0.0,0,0.0,0.27381,0,0,0.0,1,1.0,N
17,1,0,3,33,0,3,0,17,0.4875,305,1.0,0,0.0,0.264706,0,0,16.647059,4,1.2941,N
17,1,0,3,33,0,3,0,17,0.4875,305,1.0,0,0.0,0.264706,0,0,16.647059,4,1.2941,N
12,1,0,3,24,0,1,3,11,0.30303,222,1.0,1,0.0,0.31666700000000003,0,0,17.0,2,1.0,N
12,1,0,3,21,0,1,0,11,0.30303,222,1.0,1,0.0,0.31666700000000003,0,0,17.0,2,1.0,N
18,2,0,7,35,0,3,4,15,0.638655,315,1.0,0,0.52381,0.263889,1,1,16.111110999999998,3,0.7778,Y
15,1,0,19,32,61,3,17,10,0.8901100000000001,189,1.0,1,0.0,0.1875,0,0,10.733333,1,0.8667,N
18,2,0,28,52,91,6,23,16,0.686275,271,0.666667,0,0.6875,0.22222199999999998,2,3,13.888889,2,1.0,N
18,1,0,29,59,119,4,28,6,0.705882,350,1.0,1,0.0,0.235294,0,0,18.277778,6,1.6111,N
12,3,0,17,29,52,6,16,12,0.681818,140,1.0,2,0.65625,0.191667,1,1,10.5,2,1.0,N
17,2,0,30,51,86,8,23,14,0.729167,257,0.666667,0,0.6875,0.228758,2,3,13.941176,2,1.1176,Y
2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,N
2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,N
2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,N
2,1,0,3,3,1,1,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,Y
2,1,0,1,3,1,0,1,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,Y
18,1,0,13,20,3,13,0,11,0.294118,860,1.0,0,0.0,0.916667,0,0,46.388889,8,3.1111,N
17,1,0,4,24,0,4,0,16,0.653409,621,0.818182,0,0.0,0.291667,0,0,34.882353,10,2.2353,N
17,5,0,13,97,20,1,13,10,0.8125,1504,1.0,4,0.9219510000000001,0.191176,2,8,83.647059,23,3.6471,Y
18,1,0,0,20,3,0,0,10,0.329412,830,1.0,0,0.0,0.685185,0,0,44.833333,8,3.1111,Y
18,1,0,0,20,3,0,0,10,0.329412,830,1.0,0,0.0,0.685185,0,0,44.833333,8,3.1111,Y
15,1,0,4,40,35,1,3,12,0.77381,573,1.0,1,0.0,0.255556,0,0,36.8,5,1.4667,Y
15,1,0,4,40,35,1,3,12,0.77381,573,1.0,1,0.0,0.255556,0,0,36.8,5,1.4667,Y
14,1,0,9,51,27,1,8,10,0.596154,749,0.05,0,0.0,0.162393,0,0,51.071428999999995,9,1.5,N
17,2,4,8,36,30,5,3,6,0.9129459999999999,505,1.0,0,0.704545,0.25,0,0,27.058823999999998,3,1.2353,Y
14,1,0,9,51,27,1,8,10,0.596154,755,0.05,0,0.0,0.162393,0,0,51.5,9,1.5,N
6,4,0,10,33,0,0,10,6,0.6,511,1.0,0,0.939759,0.555556,1,1,83.5,1,0.8333,N
6,3,0,13,51,3,0,13,6,2.0,851,0.0,0,0.6153850000000001,0.388889,2,5,140.833333,5,1.6667,Y
6,3,0,9,37,0,0,9,5,0.76,505,0.4,0,0.6153850000000001,0.375,2,6,82.333333,8,2.3333,Y
6,3,0,12,48,0,0,12,6,0.2,861,1.0,0,0.6153850000000001,0.388889,2,6,142.166667,6,2.0,Y
7,2,0,13,94,0,1,0,5,0.729167,1203,1.0,2,0.7391300000000001,0.357143,1,2,169.71428600000002,1,0.8571,Y
9,1,0,3,24,0,2,2,0,0.892857,353,0.0,1,0.0,0.62963,0,0,37.444444,3,1.4444,Y
9,1,0,3,24,0,2,2,0,0.892857,353,0.0,1,0.0,0.62963,0,0,37.444444,3,1.4444,N
9,1,0,3,24,0,2,2,0,0.892857,353,0.0,1,0.0,0.62963,0,0,37.444444,3,1.4444,N
9,1,0,3,24,0,2,2,0,0.892857,353,0.0,1,0.0,0.62963,0,0,37.444444,3,1.4444,N
10,1,1,6,41,0,3,3,7,0.333333,437,0.666667,1,0.0,0.475,0,0,42.4,1,0.8,Y
16,4,0,30,69,10,5,28,13,0.566667,787,1.0,0,0.8295450000000001,0.232143,2,9,47.9375,16,3.3125,Y
16,4,0,30,70,10,5,28,13,0.566667,790,1.0,0,0.8295450000000001,0.232143,2,9,48.125,17,3.375,Y
16,4,0,37,79,10,5,35,13,0.566667,921,1.0,0,0.8295450000000001,0.232143,2,9,56.3125,18,3.4375,Y
14,3,0,22,46,5,8,17,10,0.653846,414,1.0,0,0.8235290000000001,0.22449000000000002,2,6,28.285714000000002,14,2.5,Y
