wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
24,5,0,28,106,80,15,21,14,0.782609,530,1.0,3,0.9659760000000001,0.147727,1,4,20.791667,9,1.625,N
11,2,0,7,28,25,3,6,9,0.75,161,0.5,0,0.6153850000000001,0.386364,1,2,13.454545000000001,5,2.2727,N
11,2,0,7,28,25,3,6,9,0.75,161,0.5,0,0.6153850000000001,0.386364,1,2,13.454545000000001,5,2.2727,N
17,5,0,25,77,60,14,20,10,0.794643,429,0.857143,1,0.9760840000000001,0.235294,3,12,23.823529,9,1.8824,Y
11,1,0,9,32,29,5,5,8,0.666667,197,0.0,1,0.0,0.283333,0,0,16.636364,4,1.7273,Y
4,4,0,3,12,6,2,1,4,2.0,99,0.0,0,0.9534879999999999,0.357143,1,3,23.75,3,1.0,N
4,2,0,3,20,6,3,0,4,1.333333,146,0.0,0,0.882353,0.75,0,0,34.5,3,1.25,N
4,3,0,3,17,4,0,3,3,0.666667,152,1.0,0,0.925,0.75,1,1,36.75,1,0.75,N
4,2,0,2,12,0,1,0,4,0.0,105,1.0,0,0.8461540000000001,0.55,0,0,24.5,1,0.5,N
4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.857143,0.35,2,2,18.5,1,0.75,N
13,4,16,19,54,22,16,0,12,0.683333,339,1.0,0,0.8382350000000001,0.416667,1,1,24.692307999999997,1,0.8462,N
18,3,2,31,62,0,23,8,16,0.6176470000000001,396,1.0,1,0.652174,0.21527800000000002,1,1,20.777778,5,1.8889,N
10,1,2,14,26,5,9,8,7,0.388889,161,0.0,2,0.0,0.255556,0,0,14.9,3,1.1,N
11,1,0,18,24,11,17,1,9,0.977778,170,1.0,0,0.0,0.1,0,0,13.636364000000002,3,1.7273,N
10,1,0,18,33,7,9,11,5,0.685185,207,0.0,2,0.0,0.257143,0,0,19.1,5,1.9,N
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.75,0.75,0,0,4.0,1,0.5,N
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.75,0.75,0,0,4.0,1,0.5,N
2,3,0,5,4,1,1,4,2,2.0,10,0.0,0,0.857143,0.75,0,0,4.0,1,0.5,N
2,3,0,5,4,1,1,4,2,2.0,10,0.0,0,0.857143,0.75,0,0,4.0,1,0.5,N
2,2,0,8,5,1,2,6,1,1.0,19,0.0,0,0.947368,0.666667,0,0,8.0,1,0.5,N
2,1,0,7,2,1,6,2,2,2.0,2,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,Y
2,1,0,8,2,1,7,1,2,2.0,2,0.0,0,0.0,0.7,0,0,0.0,1,1.0,N
2,1,0,8,2,1,7,1,2,2.0,2,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
1,1,0,8,1,0,7,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
1,1,0,8,1,0,7,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
4,1,0,7,27,4,0,7,2,0.666667,134,0.0,0,0.0,0.333333,0,0,32.25,3,1.5,N
4,1,0,7,27,4,0,7,2,0.666667,134,0.0,0,0.0,0.333333,0,0,32.25,3,1.5,Y
4,1,0,6,22,4,0,6,3,0.833333,118,1.0,0,0.0,0.3,0,0,28.0,5,2.25,N
4,1,0,6,25,6,0,6,3,2.0,124,0.0,0,0.0,0.5,0,0,30.0,6,2.25,N
4,1,0,6,25,6,0,6,3,2.0,124,0.0,0,0.0,0.5,0,0,30.0,6,2.25,N
5,2,0,7,22,4,1,6,3,0.625,93,1.0,0,0.636364,0.6,0,0,17.2,4,1.4,N
4,8,0,14,30,6,3,14,4,2.0,132,0.0,0,0.996516,0.875,0,0,32.0,7,2.25,N
4,1,0,4,16,4,1,4,3,0.666667,67,1.0,0,0.0,0.333333,0,0,15.5,4,2.5,N
4,1,0,7,27,4,0,7,2,0.666667,134,0.0,0,0.0,0.333333,0,0,32.25,3,1.5,N
4,1,0,7,27,4,0,7,2,0.666667,134,0.0,0,0.0,0.333333,0,0,32.25,3,1.5,Y
90,1,0,26,158,3537,11,0,81,0.960356,1560,0.924528,5,0.0,0.175562,0,0,15.744444,8,1.3222,N
56,1,0,49,89,1310,40,0,56,0.9564739999999999,583,1.0,24,0.0,0.1375,0,0,8.821429,5,1.1964,N
105,1,0,55,321,4900,40,51,22,0.959881,2443,0.965517,5,0.0,0.072381,0,0,21.990476,6,1.5238,Y
