wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
15,1,0,11,47,37,1,10,11,0.980952,465,0.13333299999999998,0,0.0,0.193333,0,0,29.0,3,1.1333,N
15,1,0,11,43,37,3,8,11,0.980952,485,0.13333299999999998,0,0.0,0.214815,0,0,30.333333000000003,3,1.1333,Y
19,1,0,11,49,37,4,9,9,0.636364,455,1.0,2,0.0,0.171717,0,0,22.368420999999998,1,0.7895,Y
19,1,0,11,51,37,4,9,9,0.671296,464,0.916667,2,0.0,0.171717,0,0,22.789474,1,0.7895,Y
13,2,0,9,40,28,2,7,10,0.666667,418,0.333333,1,0.571429,0.333333,1,1,30.923077000000003,5,2.2308,Y
17,2,0,10,48,38,3,8,17,0.822917,419,0.666667,1,0.5428569999999999,0.27451,1,5,23.294118,3,1.1765,N
15,2,0,16,42,41,3,13,12,0.7928569999999999,445,1.0,1,0.333333,0.237037,0,0,28.0,3,1.2667,Y
17,2,0,11,48,38,4,8,17,0.822917,421,0.666667,1,0.5428569999999999,0.27451,1,5,23.411765,3,1.1765,Y
14,2,0,7,37,35,3,5,12,0.730769,335,0.5,0,0.478261,0.342857,1,4,22.785714000000002,2,1.3571,Y
15,2,0,19,50,39,3,16,12,0.811688,487,1.0,1,0.333333,0.237037,0,0,30.733333000000002,3,1.2667,Y
5,4,0,12,41,0,1,12,3,0.25,262,1.0,1,0.8709680000000001,0.36,1,1,50.8,1,0.8,N
5,1,0,7,41,2,1,7,5,0.375,250,0.0,3,0.0,0.4,0,0,47.8,3,1.6,N
5,2,0,9,39,4,2,7,5,0.666667,228,1.0,2,0.8260870000000001,0.6,1,1,44.0,1,0.8,N
5,7,0,8,52,2,1,8,4,0.5,364,1.0,1,0.9939120000000001,0.466667,0,0,70.8,3,1.6,N
5,5,1,18,77,10,2,17,3,1.25,482,0.0,0,0.981567,0.48,4,6,95.2,3,1.2,Y
5,2,0,6,63,0,1,6,5,0.541667,435,1.0,2,0.809524,0.4,1,1,84.8,1,0.8,Y
5,7,0,8,52,2,0,8,4,0.5,372,1.0,1,0.9939389999999999,0.466667,0,0,72.4,5,2.0,N
5,7,0,8,50,2,1,8,4,0.5,362,1.0,1,0.9939389999999999,0.466667,0,0,70.4,4,1.8,N
5,2,0,7,33,2,1,6,2,0.55,207,1.0,0,0.5,0.625,0,0,39.4,5,1.6,N
5,7,0,8,52,2,1,8,4,0.5,372,1.0,1,0.9939389999999999,0.466667,0,0,72.4,5,2.0,N
15,3,6,12,33,75,6,6,11,0.8214290000000001,179,1.0,0,0.657143,0.205357,1,1,10.4,3,0.9333,Y
11,1,1,10,16,41,8,2,10,0.883333,94,0.5,1,0.0,0.327273,0,0,7.0,1,0.8182,N
20,1,5,14,44,112,7,7,10,0.614035,255,1.0,1,0.0,0.17727300000000001,0,0,11.6,3,1.2,Y
14,1,0,10,21,59,8,3,13,0.641026,126,1.0,1,0.0,0.375,0,0,7.785714,4,1.2143,Y
10,2,0,7,19,39,3,4,8,0.833333,91,0.5,0,0.578947,0.32,1,4,7.9,2,0.9,Y
11,2,0,6,20,43,2,4,9,0.95,104,0.25,0,0.55,0.309091,1,4,8.090909,2,0.9091,Y
16,1,1,11,43,112,7,4,14,0.6,275,1.0,0,0.0,0.4875,0,0,16.0625,1,0.875,Y
11,2,0,6,20,43,2,4,9,0.98,105,0.2,0,0.55,0.309091,1,4,8.090909,2,0.9091,Y
11,2,0,6,20,43,2,4,9,0.8,102,0.5,0,0.55,0.309091,1,4,8.090909,2,0.9091,Y
