wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,9,16,1,1,9,2,2.0,113,0.0,0,0.933333,0.583333,0,0,55.5,9,4.5,N
4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.857143,0.35,2,2,18.5,1,0.75,N
18,1,0,16,55,0,11,8,13,0.647059,687,1.0,0,0.0,0.426471,0,0,36.888889,12,2.5,Y
6,6,0,4,36,1,1,4,1,0.8875,464,0.6875,0,0.992582,0.5,3,5,73.666667,7,2.1667,N
4,1,0,26,29,6,25,1,3,2.0,213,0.0,0,0.0,0.291667,0,0,52.25,15,4.75,N
5,2,2,22,6,10,17,5,5,2.0,26,0.0,0,0.636364,0.9,0,0,4.2,1,0.8,N
5,1,1,14,13,10,4,10,5,1.0,34,1.0,1,0.0,0.292308,0,0,5.6,1,0.8,N
51,4,0,22,125,1041,10,17,41,0.948333,1243,0.833333,6,0.928161,0.10049,3,20,22.666667,30,2.1569,N
2,2,0,11,11,1,5,6,1,2.0,53,0.0,0,0.9444440000000001,0.625,0,0,25.5,1,0.5,N
89,2,0,141,269,3550,119,43,66,0.9612299999999999,2699,0.5882350000000001,2,0.570732,0.10362,1,10,28.943820000000002,35,3.2135,N
2,2,0,7,7,1,1,6,1,2.0,32,0.0,0,0.9444440000000001,0.625,1,1,15.0,1,0.5,N
4,1,0,2,15,0,1,1,3,0.333333,54,1.0,0,0.0,0.75,0,0,12.25,4,1.5,N
9,1,3,16,14,28,16,2,8,0.916667,50,0.333333,1,0.0,0.296296,1,1,4.222222,3,1.1111,N
11,4,0,0,26,55,0,0,11,1.1,173,1.0,0,0.886076,0.257576,1,1,14.636364000000002,4,1.4545,N
7,1,0,8,15,1,4,4,7,0.416667,62,1.0,0,0.0,0.52381,0,0,7.571428999999999,3,1.2857,N
8,1,0,6,8,28,6,0,8,2.0,8,0.0,0,0.0,0.325,0,0,0.0,1,1.0,N
4,1,0,4,9,0,4,0,3,0.555556,49,1.0,0,0.0,0.555556,0,0,10.5,2,0.75,N
9,2,4,16,56,24,6,11,3,1.0625,601,0.3,3,0.428571,0.174603,0,0,63.555556,1,0.8889,N
18,2,0,6,36,153,1,5,18,1.058824,84,0.0,0,0.5,0.268519,1,5,3.611111,1,0.9444,N
3,1,0,7,3,3,5,3,3,2.0,3,0.0,0,0.0,0.5,0,0,0.0,1,1.0,N
