wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,2,0,4,22,4,1,3,4,0.767857,273,1.0,2,0.708333,0.291667,1,2,31.125,6,2.375,Y
1,1,0,7,1,0,6,1,1,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
7,1,0,6,30,17,0,6,2,0.75,144,0.0,1,0.0,0.277778,0,0,19.285714000000002,2,0.8571,Y
2,1,0,2,4,1,1,1,1,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,Y
8,1,0,6,22,22,0,6,8,0.714286,157,0.0,2,0.0,0.33928600000000003,0,0,18.25,2,1.125,Y
10,1,0,9,16,29,6,3,0,0.777778,94,1.0,1,0.0,0.25,0,0,7.6,1,0.8,Y
17,2,0,8,30,114,1,7,13,0.828125,200,1.0,0,0.642857,0.3625,1,1,10.294118,4,0.8235,Y
2,1,0,3,22,1,1,2,2,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5,Y
6,2,0,3,8,15,0,3,6,1.0,34,0.0,0,0.818182,0.5,1,1,4.3333330000000005,2,0.8333,Y
5,1,0,0,16,0,0,0,2,0.208333,268,0.0,0,0.0,0.333333,0,0,51.4,4,2.0,Y
19,1,0,4,40,159,0,4,14,0.8194440000000001,198,0.5,2,0.0,0.203947,0,0,9.210526,2,1.1053,Y
6,1,6,10,10,7,8,2,2,0.72,174,0.0,1,0.0,0.44,0,0,27.166666999999997,6,1.8333,Y
5,1,0,1,17,10,0,1,4,2.0,58,0.0,0,0.0,0.666667,0,0,10.6,1,0.8,Y
2,1,0,3,4,1,0,3,2,1.0,12,0.0,1,0.0,0.666667,0,0,4.5,1,0.5,Y
10,3,0,8,42,0,0,8,5,0.866667,435,0.2,1,0.825,0.311111,1,1,41.0,6,1.6,Y
5,1,0,9,31,10,0,9,2,0.875,151,0.0,0,0.0,0.3,0,0,28.8,4,1.6,Y
4,7,0,5,25,0,4,4,3,0.666667,125,0.5,0,0.996865,0.45,0,0,29.75,3,1.0,Y
10,1,0,3,17,0,2,1,9,0.555556,249,0.0,1,0.0,0.466667,0,0,23.4,5,2.1,Y
18,1,0,62,55,99,52,11,12,0.8851540000000001,395,0.47618999999999995,4,0.0,0.20915,0,0,19.777778,5,1.5556,Y
3,6,0,4,13,1,1,3,2,0.75,59,1.0,0,0.996992,0.44444399999999995,1,1,18.0,2,1.0,Y
2,1,0,4,15,0,1,3,2,0.25,77,0.0,1,0.0,0.666667,0,0,35.5,2,1.0,N
4,3,0,6,7,6,2,4,4,2.0,30,0.0,0,0.9454549999999999,0.875,1,1,6.5,2,1.0,Y
1,7,0,4,14,0,3,2,1,2.0,56,0.0,0,1.0,1.0,0,0,55.0,0,0.0,Y
5,2,0,4,20,8,1,3,3,0.75,121,1.0,1,0.8709680000000001,0.333333,1,3,22.8,2,1.4,Y
2,1,0,2,9,1,2,0,2,2.0,59,0.0,0,0.0,0.5,0,0,28.5,6,3.0,Y
