wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10,3,0,13,42,7,1,12,9,0.638889,280,0.5,0,0.72,0.28571399999999997,3,4,26.6,6,1.4,Y
10,1,1,4,21,0,1,3,1,0.6190479999999999,477,1.0,1,0.0,0.5,0,0,45.3,2,1.0,Y
17,2,0,11,42,0,2,10,15,0.5625,393,0.333333,0,0.5862069999999999,0.352941,1,5,21.941176000000002,2,0.8824,Y
5,2,5,17,7,10,12,6,4,2.0,14,0.0,0,0.75,0.466667,1,1,1.8,1,0.8,N
4,1,0,23,4,6,22,1,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,Y
14,1,6,16,19,79,15,1,11,0.7230770000000001,133,1.0,0,0.0,0.785714,0,0,8.142857000000001,3,1.0,Y
12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333,0,0,0.0,1,1.0,N
14,1,0,2,25,3,1,1,13,0.602564,237,0.0,0,0.0,0.404762,0,0,15.5,1,0.9286,N
14,1,0,22,29,67,9,22,12,0.897436,199,0.333333,12,0.0,0.403846,0,0,12.357142999999999,1,0.8571,Y
2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,N
18,1,0,12,44,0,8,4,4,0.678733,981,0.461538,1,0.0,0.243056,0,0,52.777778000000005,4,1.3333,Y
15,2,2,4,30,21,3,1,9,0.705357,438,0.625,0,0.538462,0.328571,1,4,27.666666999999997,7,1.2667,Y
6,1,0,9,29,0,2,7,0,0.45,395,0.666667,5,0.0,0.479167,0,0,62.833332999999996,1,0.6667,Y
8,2,0,3,15,0,1,2,0,0.571429,158,1.0,0,0.5625,0.425,1,3,17.875,1,0.875,N
16,2,1,22,53,0,2,21,14,0.466667,577,1.0,1,0.594595,0.23125,1,5,34.875,6,1.25,N
11,1,0,18,11,55,6,12,11,2.0,11,0.0,0,0.0,0.26363600000000004,0,0,0.0,1,1.0,Y
17,2,0,12,55,12,3,10,13,0.625,407,1.0,0,0.428571,0.158824,2,4,22.705882,7,2.0588,Y
15,1,2,19,18,105,19,0,15,2.0,196,0.0,0,0.0,0.311111,0,0,12.066667,1,0.9333,Y
4,1,0,2,17,6,2,0,4,2.0,147,0.0,0,0.0,0.333333,0,0,35.75,1,0.75,N
8,1,0,6,19,0,3,3,8,0.666667,160,1.0,2,0.0,0.34375,0,0,18.25,3,1.125,N
2,3,0,4,5,1,1,3,2,2.0,21,0.0,0,0.8,0.75,0,0,9.5,1,0.5,Y
28,2,0,17,61,0,1,16,17,0.6825399999999999,664,1.0,1,0.697674,0.15773800000000002,1,9,22.464285999999998,6,1.3929,Y
7,2,1,7,25,0,2,5,5,0.520833,201,1.0,2,0.571429,0.30952399999999997,1,3,26.571429,1,0.8571,Y
12,3,0,8,47,0,2,8,12,0.590909,353,1.0,0,0.592593,0.208333,2,2,28.083333000000003,7,1.75,N
17,1,0,24,39,0,22,2,17,0.5,415,0.5,0,0.0,0.426471,0,0,23.294118,5,2.5882,Y
12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333,0,0,0.0,1,1.0,Y
5,1,0,6,12,0,5,1,0,0.678571,95,0.0,2,0.0,0.533333,0,0,16.6,1,0.8,N
4,3,0,9,19,0,3,7,0,0.555556,326,1.0,1,0.8695649999999999,0.34375,1,1,79.75,4,1.5,Y
20,1,0,18,51,164,12,6,16,0.940789,482,0.25,0,0.0,0.26111100000000004,0,0,22.7,8,1.5,Y
1,1,0,18,1,0,17,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
6,1,0,6,39,0,1,5,5,0.6,339,1.0,1,0.0,0.333333,0,0,54.666667000000004,4,1.3333,Y
4,2,0,4,13,0,1,4,4,0.0,52,1.0,1,0.25,0.5,0,0,11.75,1,0.75,Y
15,1,0,13,54,41,2,11,10,0.804762,675,0.533333,5,0.0,0.237037,0,0,43.0,3,1.2,Y
2,3,0,7,12,1,0,7,1,2.0,52,0.0,0,0.947368,0.833333,0,0,25.0,5,2.5,N
18,1,0,17,61,69,2,16,0,0.806723,745,1.0,4,0.0,0.23737399999999997,0,0,40.0,5,1.3333,Y
12,1,9,12,13,0,12,0,8,0.454545,275,1.0,0,0.0,0.44444399999999995,0,0,21.666667,7,2.0833,Y
13,1,15,51,39,72,48,7,12,0.833333,249,1.0,0,0.0,0.230769,0,0,18.076923,9,1.8462,N
13,1,0,8,36,58,1,7,13,0.791667,191,1.0,2,0.0,0.201923,0,0,13.384615,1,0.9231,Y
5,2,0,6,20,0,1,5,5,0.5,141,1.0,2,0.555556,0.4,1,2,26.6,1,0.8,N
64,1,1,34,151,1520,1,33,40,0.8930459999999999,3329,0.595238,12,0.0,0.112169,0,0,50.359375,23,2.4844,Y
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.666667,0.666667,0,0,4.0,1,0.5,N
5,2,0,6,21,0,3,3,0,0.375,274,0.0,1,0.733333,0.5,1,3,53.4,18,5.0,Y
8,2,4,8,12,8,4,4,8,0.5,68,1.0,1,0.416667,0.3125,2,2,7.25,5,1.375,Y
27,2,0,19,64,171,12,11,22,0.769231,443,1.0,0,0.333333,0.10256400000000002,2,6,15.222222,12,1.5926,Y
5,1,0,8,6,0,8,0,0,0.125,100,0.0,0,0.0,0.55,0,0,18.2,1,0.4,N
12,1,0,71,21,0,71,0,9,0.136364,138,0.0,0,0.0,0.291667,1,1,10.333333,6,1.3333,Y
2,1,1,6,16,0,1,5,1,0.0,66,1.0,1,0.0,0.666667,0,0,31.5,1,0.5,N
8,2,0,15,22,0,10,6,6,0.14285699999999998,100,1.0,1,0.631579,0.232143,2,2,11.375,4,1.375,Y
4,3,2,4,8,4,2,2,2,0.857143,122,1.0,0,0.571429,0.583333,0,0,27.75,1,0.75,Y
1,4,0,28,2,0,28,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
11,2,0,9,31,23,0,9,5,0.55,410,1.0,0,0.8695649999999999,0.313131,1,5,36.090909,1,0.8182,Y
3,2,0,5,9,3,2,3,0,2.0,47,0.0,0,0.8461540000000001,0.555556,1,3,14.666667000000002,4,1.6667,N
18,1,3,36,33,141,32,4,18,0.8235290000000001,177,1.0,1,0.0,0.296296,0,0,8.777778,1,0.9444,Y
27,1,0,1,43,13,1,0,13,0.600962,1174,1.0,0,0.0,0.25308600000000003,0,0,42.185185,26,5.7407,Y
23,1,3,40,28,247,29,14,22,0.909091,131,1.0,1,0.0,0.273913,0,0,4.652174,1,0.9565,Y
3,4,0,5,7,3,1,5,2,2.0,38,0.0,0,0.923077,0.5,1,1,11.666667,4,1.6667,Y
3,1,6,13,4,3,12,1,3,2.0,8,0.0,0,0.0,0.666667,0,0,1.666667,1,0.6667,Y
6,2,0,4,17,3,1,3,4,0.2,102,1.0,0,0.571429,0.611111,0,0,15.833332999999998,2,0.6667,Y
12,2,1,7,37,0,2,5,9,0.454545,357,1.0,1,0.44444399999999995,0.416667,1,3,28.083333000000003,1,0.8333,N
11,1,0,4,25,0,1,3,6,0.52,241,1.0,1,0.0,0.24285700000000002,0,0,20.454545,3,1.4545,N
10,2,1,2,12,17,1,1,8,0.555556,185,0.75,0,0.608696,0.36,1,3,17.1,1,0.9,N
9,1,0,7,10,2,7,0,8,0.666667,83,0.666667,1,0.0,0.5,1,1,7.888889,5,1.1111,N
