wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1,2,0,5,2,0,2,3,1,2.0,6,0.0,0,1.0,1.0,0,0,5.0,0,0.0,N
1,2,0,8,2,0,3,5,1,2.0,10,0.0,0,0.0,1.0,0,0,9.0,0,0.0,Y
1,2,0,5,2,0,3,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,2,0,3,2,0,1,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,2,0,3,2,0,1,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
6,1,0,2,15,15,0,2,5,2.0,44,0.0,0,0.0,0.333333,0,0,6.3333330000000005,1,0.8333,N
8,1,0,4,20,26,0,4,7,0.714286,83,1.0,1,0.0,0.25,0,0,9.25,2,1.0,N
8,1,0,4,20,26,0,4,7,0.714286,83,1.0,1,0.0,0.25,0,0,9.25,2,1.0,N
8,1,0,3,20,28,1,2,4,2.0,89,0.0,0,0.0,0.203125,0,0,10.125,4,2.125,Y
15,3,0,8,38,49,3,6,14,0.428571,164,1.0,0,0.729167,0.28,2,8,9.866667,3,1.2667,N
7,1,0,4,29,17,0,4,2,0.666667,154,0.0,1,0.0,0.333333,0,0,20.714285999999998,2,1.0,Y
7,7,1,7,41,21,3,5,6,2.0,220,0.0,0,0.995448,0.5,2,2,30.428571,1,0.4286,N
7,1,0,8,31,19,3,5,5,0.833333,159,0.0,0,0.0,0.208333,0,0,21.571429000000002,5,1.8571,N
7,1,0,5,34,15,1,5,4,0.833333,189,0.5,0,0.0,0.23333299999999998,0,0,25.714285999999998,2,0.8571,N
7,1,0,2,32,15,0,2,1,0.625,168,0.0,1,0.0,0.277778,0,0,22.428570999999998,2,1.1429,Y
27,2,3,8,49,207,4,4,22,0.711538,363,1.0,1,0.783784,0.171717,1,7,12.296296,3,1.0,Y
22,1,0,3,56,221,1,2,20,0.9642860000000001,385,1.0,1,0.0,0.143939,0,0,16.318182,2,1.0,N
35,3,0,14,77,323,8,7,35,0.205882,571,1.0,0,0.859649,0.234921,0,0,15.285714000000002,16,2.0286,N
27,4,2,21,53,257,8,15,23,0.8028850000000001,454,0.625,4,0.7475729999999999,0.138889,1,4,15.518519,5,1.5926,N
17,2,0,8,30,114,1,7,13,0.828125,200,1.0,0,0.642857,0.3625,1,1,10.294118,4,0.8235,Y
1,4,1,5,2,0,2,4,1,2.0,11,0.5,1,1.0,1.0,0,0,8.0,0,0.0,N
1,2,0,3,2,0,1,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,2,0,3,2,0,1,2,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,N
1,2,0,7,4,0,3,5,1,2.0,12,0.0,0,1.0,1.0,0,0,11.0,0,0.0,Y
1,2,0,7,4,0,3,5,1,2.0,12,0.0,0,1.0,1.0,0,0,11.0,0,0.0,Y
7,1,0,14,14,19,6,8,6,0.966667,63,0.4,2,0.0,0.3,0,0,7.285714,2,1.1429,N
5,1,0,8,11,8,3,5,5,0.25,39,1.0,0,0.0,0.7,0,0,6.6,1,0.8,N
8,2,0,20,21,26,11,9,6,0.428571,89,0.0,0,0.708333,0.4375,1,1,10.0,1,0.875,N
4,1,0,8,10,6,4,4,3,2.0,31,0.0,0,0.0,0.3125,0,0,6.75,1,0.75,N
6,2,0,11,10,9,7,6,5,0.733333,48,1.0,1,0.9047620000000001,0.366667,0,0,6.5,1,0.6667,N
17,6,1,9,59,92,3,8,0,0.8472219999999999,417,1.0,0,0.976642,0.323529,2,4,23.0,6,1.5882,N
24,2,0,10,83,132,3,8,14,0.882353,596,0.705882,0,0.371429,0.193237,1,1,23.125,8,1.4167,N
21,5,0,20,99,130,6,19,5,0.816667,596,1.0,3,0.971182,0.32381,2,5,26.666666999999997,10,1.7143,N
19,1,0,10,85,171,8,2,12,2.0,720,0.0,0,0.0,0.276316,0,0,36.894737,11,2.6316,Y
15,7,0,8,62,81,4,8,5,0.8412700000000001,368,0.8888889999999999,1,0.980568,0.253333,0,0,22.933332999999998,3,1.0,N
6,1,0,8,14,13,1,7,6,0.4,54,1.0,0,0.0,0.43333299999999997,0,0,7.8333330000000005,2,1.0,N
7,2,0,10,15,17,2,9,4,0.666667,61,1.0,0,0.684211,0.261905,1,1,7.428571000000001,1,0.8571,N
6,3,0,6,15,13,1,6,4,0.4,54,1.0,1,0.782609,0.44444399999999995,1,1,7.8333330000000005,1,0.8333,N
6,1,2,6,14,15,2,4,5,2.0,50,0.0,0,0.0,0.541667,0,0,7.3333330000000005,2,1.0,Y
4,1,0,3,5,4,1,2,3,0.666667,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,N
2,3,0,6,7,0,1,6,2,0.0,24,1.0,1,0.956522,0.6,0,0,10.5,1,0.5,N
2,3,0,6,7,0,1,6,2,0.0,24,0.0,1,0.956522,0.6,0,0,10.5,1,0.5,Y
2,3,0,7,5,0,2,7,2,0.666667,27,0.666667,0,0.9523809999999999,0.6,0,0,11.0,1,0.5,N
2,3,0,8,8,1,2,7,2,2.0,31,0.0,0,0.9523809999999999,0.625,0,0,14.5,2,1.0,Y
2,3,0,8,8,1,2,7,2,2.0,31,0.0,0,0.9523809999999999,0.625,0,0,14.5,2,1.0,Y
18,2,0,7,35,0,3,4,15,0.638655,315,1.0,0,0.52381,0.263889,1,1,16.111110999999998,3,0.7778,Y
10,3,0,5,23,0,1,4,10,0.611111,172,1.0,0,0.652174,0.375,1,1,15.8,5,1.2,Y
21,3,0,3,45,0,0,3,19,0.5,476,1.0,0,0.5,0.22023800000000002,1,2,21.428570999999998,3,1.0476,Y
9,0,0,5,24,0,1,4,9,0.0,213,1.0,1,0.0,0.37037,0,0,22.555556,1,0.8889,N
9,0,0,5,24,0,1,4,9,0.0,213,1.0,0,0.0,0.37037,0,0,22.555556,1,0.8889,N
11,2,0,6,39,21,2,4,10,0.92,256,1.0,0,0.6153850000000001,0.409091,1,2,21.818182,4,2.2727,N
15,5,0,10,47,27,1,10,10,0.690476,274,1.0,1,0.723404,0.22222199999999998,1,1,16.866667,3,1.0,N
10,6,0,7,47,19,4,5,4,0.592593,254,1.0,1,0.9878600000000001,0.271429,2,2,23.8,4,1.3,N
15,2,0,9,43,19,1,9,15,0.8214290000000001,279,0.0,3,0.5625,0.255556,1,2,17.2,5,1.2667,Y
12,2,0,5,30,18,1,5,11,0.6545449999999999,205,0.8,1,0.642857,0.333333,1,2,15.666667000000002,6,1.4167,Y
1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
20,2,1,16,74,68,2,15,11,0.864662,537,0.714286,3,0.41935500000000003,0.173684,1,1,25.15,12,1.55,Y
