wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,4,0,8,21,10,0,8,3,1.0,110,0.0,0,0.947368,0.5,3,3,20.6,5,1.4,N
8,6,0,10,31,18,0,10,4,0.809524,149,1.0,1,0.9625,0.357143,3,9,17.25,2,0.875,N
7,6,0,8,31,13,0,8,4,0.75,151,1.0,0,0.9625,0.4,4,9,20.285714000000002,2,1.0,N
7,6,0,9,32,13,0,9,4,0.75,150,1.0,0,0.9625,0.4,4,9,20.142857,2,1.0,Y
5,2,0,7,18,10,1,6,4,1.0,95,0.0,0,0.764706,0.5,0,0,17.8,1,0.8,Y
14,1,0,7,82,65,0,7,1,0.8165680000000001,1253,0.8461540000000001,0,0.0,0.16964300000000002,0,0,87.57142900000001,4,2.1429,Y
17,4,0,10,83,70,1,10,10,0.965517,1273,1.0,0,0.829787,0.17647100000000002,2,2,72.17647099999999,8,2.1765,N
10,3,0,7,61,37,0,7,3,0.9,758,0.6,0,0.804348,0.28571399999999997,0,0,73.8,7,2.1,N
10,3,0,7,60,41,0,7,3,0.9,748,0.6,0,0.804348,0.28571399999999997,0,0,72.8,7,2.1,Y
17,4,0,7,81,40,4,3,10,0.8214290000000001,1159,0.9047620000000001,8,0.516129,0.25,2,4,65.941176,2,0.9412,N
16,1,0,13,74,50,0,13,12,0.9370370000000001,635,1.0,1,0.0,0.288889,0,0,37.5625,9,2.6875,N
12,3,0,12,37,32,0,12,12,0.8585860000000001,310,1.0,1,0.770833,0.458333,0,0,24.083333,3,1.4167,N
15,3,0,16,77,69,0,16,10,0.8265309999999999,504,1.0,0,0.72549,0.23333299999999998,1,1,32.133333,6,1.4,N
15,3,0,16,78,69,0,16,10,0.8265309999999999,502,1.0,0,0.72549,0.23333299999999998,1,1,32.0,6,1.4,Y
15,1,0,8,71,55,4,5,9,0.793651,616,1.0,0,0.0,0.219048,0,0,39.466667,3,0.8667,Y
2,1,0,7,22,1,2,5,2,2.0,222,0.0,0,0.0,0.5,0,0,110.0,12,6.0,Y
2,2,0,9,28,1,1,8,2,2.0,268,0.0,0,0.958333,1.0,1,1,133.0,1,0.5,Y
2,2,0,9,26,1,1,8,2,2.0,248,0.0,0,0.958333,1.0,1,1,123.0,1,0.5,N
2,2,0,9,24,1,1,8,2,2.0,222,0.0,0,0.958333,1.0,1,1,110.0,1,0.5,N
2,1,0,1,8,1,1,0,2,2.0,75,0.0,0,0.0,0.5,0,0,36.5,9,4.5,Y
6,4,0,8,34,0,0,8,6,0.6,493,1.0,0,0.939759,0.555556,1,1,80.5,1,0.8333,Y
5,4,0,11,46,10,0,11,1,2.0,587,0.0,0,0.9523809999999999,0.6,4,6,116.4,18,5.8,N
5,4,0,10,42,10,0,10,1,2.0,481,0.0,0,0.9523809999999999,0.6,4,6,95.2,15,5.2,Y
6,4,0,10,33,0,0,10,6,0.6,511,1.0,0,0.939759,0.555556,1,1,83.5,1,0.8333,N
6,4,0,10,33,0,0,10,6,0.6,511,1.0,0,0.939759,0.555556,1,1,83.5,1,0.8333,Y
2,2,0,1,6,1,0,1,1,2.0,20,0.0,0,0.875,0.75,1,1,9.0,1,0.5,N
2,2,0,1,6,1,0,1,1,2.0,20,0.0,0,0.875,0.75,1,1,9.0,1,0.5,N
2,2,0,1,6,1,0,1,1,2.0,20,0.0,0,0.875,0.75,1,1,9.0,1,0.5,N
2,3,0,3,8,1,0,3,2,2.0,28,0.0,0,0.967742,0.75,0,0,13.0,2,1.0,N
2,3,0,3,8,1,0,3,2,2.0,28,0.0,0,0.967742,0.75,0,0,13.0,2,1.0,Y
2,1,0,5,29,0,0,5,0,0.0,176,1.0,2,0.0,0.6,0,0,85.5,10,5.0,N
2,1,0,5,29,0,0,5,0,0.0,176,1.0,2,0.0,0.6,0,0,85.5,10,5.0,N
2,1,0,5,30,0,0,5,0,0.0,189,1.0,2,0.0,0.6,0,0,92.0,10,5.0,N
2,1,0,5,30,0,0,5,0,0.0,186,1.0,2,0.0,0.6,0,0,90.5,10,5.0,N
2,4,0,5,14,1,0,5,1,2.0,66,0.0,0,0.980392,1.0,1,2,32.0,4,2.0,N
9,6,0,7,33,28,0,7,6,0.8125,163,1.0,0,0.950617,0.4,4,6,16.888889000000002,2,1.0,N
9,6,0,8,33,28,0,8,6,0.8125,163,1.0,0,0.950617,0.4,4,9,16.888889000000002,2,1.0,N
9,1,0,4,18,14,3,1,4,0.65625,88,1.0,0,0.0,0.518519,0,0,8.333333,1,0.8889,N
