@relation 'testPoi-1.5-weka.filters.unsupervised.attribute.Remove-R1-4,8-9,12-13,15-16'

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
44,128,1,0.948864,429,0.333333,6,15.28,2,0.92,Y
36,138,1,0.84689,336,0.28,2,15.25,1,0.9,Y
48,235,2,0.924242,379,0.354839,5,15.086957,6,1.4783,Y
41,159,2,0.702381,325,0.366667,6,13.590909,6,1.4545,Y
8,6,2,2,20,1,0,4,0,0,Y
20,9,2,0.833333,173,0,0,22.857143,2,1,Y
24,37,2,0.833333,151,0.368421,2,9.357143,1,0.8571,N
21,49,2,0.933333,107,0.578947,6,8.454545,2,0.8182,N
22,43,1,0.85,117,0.578947,6,9.454545,2,0.8182,Y
49,0,0,0,492,0,0,121,8,2,Y
27,120,1,2,105,0.625,0,5.5625,1,0.9375,Y
34,43,3,0.717949,346,0.5,6,23.5,2,1.1429,Y
21,43,2,0.85,117,0.578947,6,9.454545,2,1,N
6,10,0,1,18,0.7,2,2.4,1,0.6,Y
21,49,2,0.933333,106,0.578947,6,8.363636,2,0.8182,N
123,32,0,0.75,1079,0,0,118.666667,89,11.1111,Y
25,24,6,0.863636,319,0,0,25.25,3,1.25,N
16,10,4,2,50,0.555556,0,9,1,0.8,N
39,39,1,0.772727,382,0.354839,6,15.26087,2,0.913,Y
1,0,5,2,1,0,0,0,1,1,N
17,0,2,0.571429,134,0,0,15.375,3,1.375,N
12,24,1,0.9375,48,0.5,2,3.888889,1,0.7778,Y
21,3,0,2,112,0,0,36.333333,4,2.3333,N
21,49,2,1,109,0.578947,6,8.454545,2,0.8182,Y
33,4,1,0.7,252,0.44,6,13.529412,2,0.8824,Y
4,6,6,2,4,0,0,0,1,1,N
15,9,2,0.8,218,0,0,34.833333,3,1.1667,Y
1,0,6,2,1,0,0,0,1,1,N
30,198,2,0.921429,234,0.37931,4,9.809524,6,1.5714,Y
18,0,1,0.222222,129,0,1,30.5,6,2.5,N
16,4,1,0.333333,82,0,0,19.25,3,1.25,N
22,43,1,0.85,117,0.578947,6,9.454545,2,0.8182,Y
21,43,2,0.85,117,0.578947,6,9.454545,2,1,N
21,49,2,0.933333,107,0.578947,6,8.454545,2,0.8182,N
0,0,0,2,7,0,0,0,0,0,N
7,21,4,2,7,0,0,0,1,1,Y
58,115,1,0.858553,697,0.234043,6,16.461538,2,0.9487,N
88,0,3,1,329,0,0,5.761905,1,0.9762,Y
17,2,4,0.6875,145,0.611111,6,14.666667,3,1.1111,Y
13,28,3,1.142857,56,0.538462,2,5.75,1,0.75,Y
6,10,1,1.25,18,0.7,2,2.2,1,0.6,Y
7,4,3,0.5,29,0.944444,0,4.6,1,0.2,Y
34,141,3,0.814815,253,0.407407,6,12,2,0.8947,Y
20,0,10,0.25,294,0,1,31.444444,7,1.8889,N
6,2,3,0.75,36,0,0,5.4,1,0.8,N
60,257,13,0.958418,671,0,0,20.233333,3,1.1333,Y
13,4,4,0.333333,46,0,0,10,2,0.75,N
27,72,1,0.916667,221,0.52381,5,15.846154,4,1.0769,Y
117,3214,5,0.981195,1478,0.106796,6,13.46875,3,0.9896,Y
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,Y
10,0,5,0.25,78,0,0,24.333333,1,0.6667,Y
22,43,0,0.85,117,0.578947,6,9.454545,2,0.8182,Y
21,43,2,0.85,116,0.578947,6,9.363636,2,1,Y
21,43,2,0.85,116,0.578947,6,9.363636,2,1,Y
11,4,1,0.833333,108,0.5,1,25.5,3,1.25,N
56,9,4,0.722222,663,0,0,93.285714,8,2,Y
274,1888,4,0.880784,2248,0,0,28.355263,17,1.8421,Y
1,0,6,2,1,0,0,0,1,1,N
3,1,1,2,10,0.75,1,3.5,1,0.5,N
12,0,1,0.2,266,0,0,43.166667,5,2,Y
12,3,2,2,121,0,0,39.333333,1,0.6667,Y
63,193,3,0.879348,856,0.2,6,16.787234,3,1,Y
25,66,2,0.777778,175,0.52381,6,12.230769,3,1.1538,Y
82,0,2,0.723077,553,0,0,19.296296,5,1.4815,Y
52,479,2,0.898649,536,0.244444,6,12.684211,2,0.9211,N
41,217,2,0.864,341,0.333333,6,11.730769,2,0.8846,Y
14,19,3,0.611111,71,0,0,5.9,3,1.3,N
3,3,10,1.5,6,0,0,0,1,1,Y
21,9,2,0.25,92,0,0,7.181818,1,0.6364,N
30,119,1,0.824074,281,0.407407,6,13.473684,2,0.8947,Y
4,6,4,2,4,0,0,0,1,1,N
34,174,4,0.961765,285,0.37931,6,11.761905,2,0.9048,Y
21,49,2,0.85,112,0.578947,6,9,2,0.9091,Y
15,21,1,0.533333,90,0,0,6.909091,1,0.6364,N
21,49,2,0.85,112,0.578947,6,9,2,0.9091,N
15,15,1,1.177143,275,0.915254,2,39,2,1.1667,Y
6,6,4,2,15,0,0,2.75,1,0.75,N
25,43,2,0.8,182,0.578947,6,15.363636,2,1.0909,N
3,1,3,2,10,0.75,1,3.5,1,0.5,N
1,0,9,2,1,0,0,0,1,1,N
17,36,3,1.125,72,0.647059,6,6.888889,2,0.7778,Y
10,1,1,2,82,0,0,40,1,0.5,N
13,30,1,0.90625,106,0.5,2,9.888889,1,0.7778,Y
55,217,0,0.923274,642,0.255814,6,16.685714,2,0.9429,Y
17,9,4,0.25,85,0,0,6.545455,1,0.6364,N
22,35,1,0.8,119,0.578947,6,9.636364,2,0.8182,Y
29,28,21,2,166,0,0,19.75,15,2.625,Y
21,66,3,1.090909,97,0.4375,2,6.833333,5,1.0833,Y
4,0,1,0,14,0,0,5.5,1,0.5,N
22,43,0,0.85,117,0.578947,6,9.454545,2,0.8182,Y
30,171,1,2,126,0.581395,0,5.631579,1,0.9474,Y
33,87,2,0.871429,230,0.478261,5,14,2,1,N
