wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,4,0,1,4,1,0,1,2,1.4285709999999998,1872,0.0,0,0.97619,1.0,0,0,618.333333,1,0.3333,Y
5,3,0,20,33,0,0,20,4,0.5,176,1.0,1,0.933333,0.333333,2,7,33.8,6,1.8,N
13,1,0,11,54,76,1,10,9,0.875,371,0.5,1,0.0,0.208333,0,0,27.230769,5,1.9231,Y
28,3,0,12,104,222,1,11,17,0.855967,2480,0.8888889999999999,5,0.866667,0.196296,2,26,87.25,3,1.1429,Y
4,7,0,7,13,6,0,7,3,2.0,81,0.0,0,0.96,0.5,3,8,19.25,1,0.75,Y
31,3,2,22,78,239,11,13,26,0.733333,1095,0.4,2,0.641975,0.180108,2,9,34.16129,17,3.0645,Y
0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,N
8,4,9,18,21,8,9,9,4,2.0,110,0.0,0,0.872727,0.5,2,5,12.75,2,1.125,Y
3,4,0,1,4,1,0,1,2,1.4230770000000001,3769,0.0,0,0.97619,1.0,0,0,1251.0,1,0.3333,N
74,3,2,47,119,2539,37,17,70,0.966051,1136,0.913043,4,0.728625,0.073443,3,19,14.040541000000001,16,1.8378,Y
6,1,0,17,51,15,0,17,3,1.2,368,1.0,0,0.0,0.5,0,0,60.166667000000004,1,0.8333,Y
2,3,2,10,8,1,7,5,1,2.0,44,0.0,0,0.9861110000000001,0.5,0,0,21.0,3,1.5,N
2,3,0,3,6,0,0,3,2,0.0,28,1.0,1,0.9523809999999999,0.666667,1,2,12.5,3,1.5,N
4,3,0,8,8,6,1,7,3,1.0,30,1.0,0,0.9523809999999999,0.4,2,4,6.0,1,0.75,N
41,3,0,3,56,814,2,1,41,2.0,161,0.0,0,0.74,0.153846,2,6,2.926829,1,0.9512,N
32,4,2,17,84,354,6,12,28,0.8817200000000001,656,1.0,2,0.8669530000000001,0.180556,3,19,19.21875,10,1.8438,Y
8,2,0,17,29,0,17,0,8,0.28571399999999997,119,0.0,0,0.666667,0.34375,0,0,13.75,2,1.0,N
7,4,0,19,38,7,0,19,5,0.458333,275,1.0,1,0.941176,0.28571399999999997,3,13,37.714286,12,3.2857,N
25,3,0,6,49,0,4,3,25,0.520833,161,0.5,1,0.8909090000000001,0.253333,1,1,5.36,2,1.0,Y
2,1,0,13,31,0,1,13,0,0.14285699999999998,217,0.9285709999999999,9,0.0,1.0,0,0,100.5,3,1.5,N
4,1,0,2,6,0,2,0,4,0.416667,87,1.0,0,0.0,1.0,0,0,19.75,2,1.0,Y
13,1,1,13,35,58,10,3,13,0.666667,260,0.0,0,0.0,0.307692,0,0,18.923077,11,2.0,Y
107,1,1,2,117,5671,1,1,107,2.0,648,0.0,0,0.0,0.19107000000000002,0,0,5.056075,1,0.9907,Y
3,4,0,1,4,1,0,1,2,1.3,875,0.0,0,0.97619,1.0,0,0,289.0,1,0.3333,N
1,1,0,5,1,0,3,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
9,1,0,8,12,0,8,0,7,0.40625,117,1.0,0,0.0,0.5,1,2,11.555556,4,1.1111,N
5,3,18,19,16,8,19,0,3,1.223684,424,0.0,0,0.9268290000000001,0.416667,0,0,80.0,3,1.0,Y
6,3,0,21,39,0,0,21,5,0.4,201,1.0,2,0.918033,0.361111,1,7,32.166667,3,1.6667,Y
3,1,0,10,46,3,0,10,3,2.0,257,0.0,0,0.0,0.466667,0,0,84.666667,1,0.6667,Y
6,4,0,34,48,1,10,28,5,2.0,282,0.0,0,0.9382719999999999,0.4,2,13,46.0,8,3.6667,Y
3,1,0,2,6,0,0,2,3,0.0,24,0.0,1,0.0,0.666667,0,0,6.6666669999999995,1,0.6667,N
55,1,5,97,116,1101,74,43,10,0.9120370000000001,1105,1.0,6,0.0,0.14969100000000002,0,0,18.872726999999998,18,2.1818,N
28,3,0,42,61,370,13,34,26,1.0,533,0.0,0,0.564516,0.18154800000000001,1,3,18.0,10,1.8214,N
3,3,0,6,7,1,1,5,3,2.0,42,0.0,0,0.9534879999999999,0.833333,1,6,13.0,1,0.6667,N
3,4,0,13,5,3,13,0,3,2.0,16,0.0,0,1.0,0.555556,0,0,4.3333330000000005,0,0.0,N
15,1,0,13,26,1,12,2,14,0.553571,477,1.0,1,0.0,0.383333,0,0,30.533333000000002,6,2.4667,N
11,2,1,10,29,53,7,3,11,0.8,125,1.0,0,0.714286,0.327273,1,5,10.272727,4,1.4545,Y
3,4,0,10,34,3,1,9,1,2.0,169,0.0,0,0.990566,0.666667,1,1,55.333332999999996,1,0.6667,N
1,4,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,Y
10,4,0,9,23,23,1,8,10,0.555556,89,0.0,1,0.9052629999999999,0.28,3,22,7.8,2,1.0,N
3,7,0,15,26,0,0,15,2,0.0,171,0.75,3,0.9851850000000001,0.44444399999999995,3,4,54.666667000000004,6,3.0,Y
45,2,0,60,112,932,23,41,15,0.568182,1178,0.6,1,0.328125,0.175926,1,1,25.066667000000002,12,1.2222,Y
24,1,0,4,30,0,4,0,21,0.543478,481,1.0,0,0.0,0.31666700000000003,0,0,18.875,8,1.6667,Y
3,4,0,1,4,1,0,1,2,1.3,875,0.0,0,0.97619,1.0,0,0,289.0,1,0.3333,N
65,1,0,7,135,508,6,4,59,0.7375,2297,0.85,12,0.0,0.151563,0,0,34.030769,18,1.8462,Y
4,2,0,2,6,6,0,2,4,1.0,26,0.0,1,0.966667,0.5625,0,0,5.25,1,0.25,N
6,5,0,26,27,15,1,25,4,2.0,226,0.0,0,0.9770639999999999,0.533333,2,4,36.666667,6,1.6667,Y
6,3,0,9,26,15,0,9,6,2.0,160,0.0,0,0.975124,0.44444399999999995,2,6,25.666667,4,1.3333,Y
2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,0.666667,0,0,0.0,1,1.0,N
3,4,0,18,31,1,1,17,3,2.0,152,0.0,0,0.974359,0.5,2,3,49.666667,8,3.0,Y
6,3,0,24,31,0,2,22,6,0.333333,213,1.0,2,0.934211,0.305556,2,7,34.0,4,1.3333,N
41,3,0,4,66,742,2,2,40,0.95,337,1.0,0,0.74,0.14821800000000002,3,14,7.1951220000000005,3,1.0,N
13,1,0,2,27,0,1,1,13,0.694444,168,0.0,1,0.0,0.4,0,0,11.692308,6,1.6923,Y
5,1,0,5,7,10,1,4,5,2.0,30,0.0,0,0.0,0.25,0,0,5.0,1,0.8,N
9,1,0,12,32,0,12,0,8,0.6875,276,1.0,0,0.0,0.555556,0,0,29.0,5,2.1111,Y
10,3,0,23,59,7,1,22,7,0.6444439999999999,505,1.0,2,0.8615379999999999,0.3,1,9,49.0,13,3.9,Y
5,1,0,6,5,10,6,0,5,2.0,5,0.0,0,0.0,0.333333,0,0,0.0,1,1.0,N
