@relation trainLog4j-1.2

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
9,1,0,13,73,10,3,11,2,0.796875,922,0.958333,4,0,0.25,0,0,98.777778,14,2.6667,N
9,1,0,10,55,14,3,9,4,0.675,607,0.2,1,0,0.138889,0,0,65.888889,12,5.7778,Y
9,1,0,2,17,2,1,1,6,0.678571,236,1,0,0,1,0,0,24.444444,5,2.8889,N
9,1,0,2,17,2,1,1,6,0.678571,234,1,0,0,1,0,0,24.222222,5,2.8889,N
9,2,0,15,64,6,3,13,2,0.788043,727,0.956522,4,0.461538,0.25,0,0,77.222222,14,3.1111,Y
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,N
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,Y
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,N
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,N
1,1,0,7,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,N
8,2,0,8,39,24,2,7,5,0.857143,193,1,2,0.695652,0.375,0,0,22.875,1,0.875,Y
7,1,0,8,31,19,3,5,5,0.833333,159,0,0,0,0.208333,0,0,21.571429,5,1.8571,N
8,7,0,12,41,22,2,11,7,0.542857,212,1,3,0.994206,0.46875,1,1,24.875,8,1.5,N
8,7,0,12,41,22,2,11,7,0.542857,212,1,3,0.994206,0.46875,1,1,24.875,8,1.5,N
7,4,1,4,25,19,2,3,4,0.333333,130,0,1,0.953488,0.326531,1,3,17.428571,1,0.5714,N
2,2,0,3,4,1,1,2,2,2,10,0,0,0.833333,0.666667,0,0,4,1,0.5,N
2,2,0,2,3,1,2,2,2,2,8,0,0,0.888889,0.625,0,0,3,1,0.5,N
2,2,0,1,5,1,0,1,2,2,14,0,0,0.923077,0.75,0,0,6,1,0.5,N
2,2,0,1,5,1,0,1,2,2,14,0,0,0.923077,0.75,0,0,6,1,0.5,N
2,2,0,1,5,1,0,1,2,2,14,0,0,0.923077,0.75,0,0,6,1,0.5,N
11,2,0,6,28,31,1,5,7,0.8,223,1,1,0.565217,0.333333,1,3,18.545455,8,2.2727,N
12,1,0,9,24,26,4,5,7,0.75,182,0,2,0,0.333333,0,0,13.5,3,0.8333,N
15,3,0,15,54,59,0,15,15,0.880952,398,1,1,0.72549,0.373333,0,0,24.733333,3,1.3333,Y
7,2,0,4,21,15,1,4,4,0.833333,141,0.5,0,0.886364,0.458333,1,2,18.857143,5,1.5714,N
11,2,0,7,28,25,3,6,9,0.75,161,0.5,0,0.615385,0.386364,1,2,13.454545,5,2.2727,N
13,1,3,13,34,52,10,4,10,0.8125,168,0.5,0,0,0.178571,1,1,11.615385,4,1.4615,N
9,1,2,10,12,28,6,4,6,0.75,91,1,3,0,0.37037,0,0,8.777778,3,1.3333,N
15,6,0,14,47,79,11,11,6,0.897959,230,1,1,0.978947,0.191667,0,0,13.866667,2,1,N
9,1,2,8,12,28,4,4,6,0.75,91,1,3,0,0.37037,0,0,8.777778,3,1.3333,N
14,3,11,16,49,69,11,7,3,0.807692,255,1,0,0.755102,0.285714,0,0,17.071429,4,1.9286,Y
25,4,0,14,65,234,2,13,20,0.904167,402,1,0,0.671233,0.37,1,2,14.68,1,0.96,Y
27,1,0,3,63,297,1,2,10,0.778846,527,0,2,0,0.37963,0,0,18.222222,11,1.4444,N
40,4,0,14,106,606,5,14,36,0.929231,1100,0.88,3,0.943066,0.125,3,17,25.875,31,2.1,Y
23,2,1,3,51,195,3,1,13,0.809091,300,1,0,0.241379,0.166008,0,0,11.826087,7,1.5652,N
22,1,2,21,52,201,15,6,19,0.947619,411,0.9,1,0,0.2,0,0,17.227273,6,1.9545,N
2,1,0,5,29,0,0,5,0,0,176,1,2,0,0.6,0,0,85.5,10,5,N
2,1,0,5,22,1,2,3,2,2,138,0,0,0,0.5,0,0,68,1,0.5,Y
2,5,0,4,24,0,2,2,0,0.333333,148,1,1,0.998471,0.75,0,0,71.5,4,2,N
2,1,0,3,8,0,1,2,0,0,51,1,0,0,0.833333,0,0,24,2,1,N
2,1,0,4,9,0,1,3,1,0,59,1,1,0,0.75,0,0,27.5,2,1,N
9,1,0,7,15,36,0,7,9,2,84,0,0,0,0.333333,0,0,8.333333,1,0.8889,N
