@relation 'trainPoi-1.5-weka.filters.unsupervised.attribute.Remove-R1-4,8-9,12-13,15-16'

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
26,57,6,0.821429,200,0.848837,6,11.8,2,1.5333,N
27,57,6,0.821429,200,0.858696,8,11.8,2,1.5333,N
102,417,9,0.817568,1440,0.556962,16,36.789474,16,2.7368,N
70,229,13,0.97619,681,0,0,29.863636,8,2.6364,Y
84,177,0,0.928571,565,0.637931,1,24.136364,5,1.1364,N
37,133,2,0.882353,302,0,0,15.666667,4,1.3889,Y
36,133,2,0.764706,298,0,0,15.5,4,1.3889,N
122,568,2,0.902128,1384,0.737143,9,27.625,3,1.0625,Y
122,462,8,0.899522,1143,0.936232,18,23.977778,12,2.0889,Y
124,608,2,0.9,1409,0.737143,9,27.55102,3,1.0408,Y
42,190,2,1,284,0.831858,0,13.15,4,2,N
42,190,2,1,284,0.831858,0,13.15,4,2,N
126,740,2,0.908217,1257,0,0,22.301887,3,1.0189,Y
132,925,44,0.776471,1458,0,0,27.254902,33,1.6667,N
69,246,0,0.804762,436,0,0,10.944444,2,1.1389,N
36,128,1,2,263,0.777778,10,14.470588,6,1.8824,N
47,152,0,0.915789,325,0,0,14.75,10,1.4,Y
36,133,2,0.764706,298,0,0,15.5,4,1.3889,N
37,133,2,0.882353,302,0,0,15.666667,4,1.3889,Y
22,100,5,0.91875,199,0,0,10.117647,4,1.4118,Y
11,10,0,2,30,0.959184,0,5,1,0.8,N
11,10,0,2,30,0.959184,0,5,1,0.8,N
10,10,0,2,28,0.959184,0,4.6,1,0.8,N
10,10,0,2,28,0.959184,0,4.6,1,0.8,N
8,10,0,2,28,0.959184,0,4.6,1,0.8,N
27,17,1,0.766667,207,0.444444,0,27.857143,1,0.7143,N
17,4,3,0.653061,184,0,0,21.125,2,1.5,N
17,4,3,0.653061,184,0,0,21.125,2,1.5,N
28,15,0,0.5,258,0.571429,0,35.571429,1,0.8571,Y
35,12,0,0.5,262,0.588235,0,31.5,6,2,Y
26,57,6,0.821429,200,0.848837,6,11.8,2,1.5333,N
27,57,6,0.821429,200,0.858696,8,11.8,2,1.5333,N
15,28,0,0.375,106,0.8,0,10.333333,1,0.5556,N
15,28,0,0.375,106,0.8,0,10.333333,1,0.5556,N
80,117,0,0.929412,534,0.685185,1,28.111111,4,1.1111,Y
35,112,1,2,261,0.788732,10,15.3125,6,1.9375,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
36,128,1,2,263,0.777778,10,14.470588,6,1.8824,N
37,133,2,0.882353,302,0,0,15.666667,4,1.3889,Y
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
29,43,3,0.944444,115,0.897727,8,10.3,6,1.5,Y
29,43,3,0.944444,115,0.890244,6,10.3,6,1.5,N
46,102,10,0.933333,288,0.849462,18,16.875,11,2.375,Y
32,0,1,0.575758,313,0.995601,0,74.5,11,4,Y
30,6,0,2,272,0.727273,1,67,1,0.75,Y
45,2,1,0.916667,359,0.947368,6,86.75,1,0.75,N
21,6,1,1,279,0.857143,1,68.5,4,2.25,N
20,0,5,0.555556,301,0,0,73.5,2,1,N
27,136,0,2,123,0.854545,0,6.235294,3,1.1765,N
27,136,0,2,123,0.854545,0,6.235294,3,1.1765,N
16,78,1,2,72,0.886792,0,4.538462,1,0.9231,N
16,78,1,2,72,0.886792,0,4.538462,1,0.9231,N
16,78,0,2,72,0.87234,4,4.538462,1,0.9231,N
34,37,5,0.760684,324,0.824324,0,21.5,8,1.7143,Y
26,43,2,0.703297,309,0,0,20.571429,5,2.2143,Y
45,61,3,0.769231,425,0,0,29.142857,8,2.4286,N
26,43,2,0.703297,300,0,0,19.928571,5,2.2143,Y
28,47,5,0.720588,357,0,0,18.388889,3,1.7778,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
46,102,10,0.933333,288,0.849462,18,16.875,11,2.375,Y
29,43,3,0.944444,115,0.897727,8,10.3,6,1.5,Y
29,43,3,0.944444,115,0.890244,6,10.3,6,1.5,N
10,21,0,2,39,0.931818,4,4.571429,1,0.8571,N
10,21,0,2,39,0.931818,4,4.571429,1,0.8571,N
12,21,0,2,39,0.94,0,4.571429,1,0.8571,N
12,21,0,2,39,0.94,0,4.571429,1,0.8571,N
10,21,0,2,39,0.931818,6,4.571429,1,0.8571,N
35,112,1,2,261,0.788732,10,15.3125,6,1.9375,N
36,128,1,2,263,0.777778,10,14.470588,6,1.8824,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
47,152,0,0.915789,325,0,0,14.75,10,1.4,Y
37,2,1,0.428571,264,0,0,31.75,1,0.875,Y
40,3,3,0.72,252,0.5,1,40.166667,10,2.3333,Y
39,8,0,0.5,274,0.611111,0,33,7,2.25,Y
44,18,3,0.761905,360,0,0,43.625,1,0.875,Y
24,6,4,0.375,174,0,0,18.222222,6,1.8889,N
43,30,7,0.861111,498,0,0,35.923077,6,1.4615,Y
38,38,1,0.863636,470,0.541667,3,36.5,12,3.3333,Y
42,50,1,0.710227,728,0.285714,0,58.333333,1,0.8333,N
47,42,2,0.701389,688,0,0,38.941176,12,2.7647,Y
39,46,1,0.8,510,0,0,41.083333,11,3.5,Y
11,8,4,0.875,37,0.903226,0,6,1,0.6,N
12,8,4,0.75,38,0.9,0,6.4,1,0.6,Y
10,6,1,2,34,0,0,7.5,1,0.75,N
10,6,1,2,34,0,0,7.5,1,0.75,Y
13,8,4,0.75,41,0.903226,0,7,1,0.6,N
75,80,12,0.738095,665,0.745283,13,21.827586,11,2.7931,Y
28,47,5,0.720588,357,0,0,18.388889,3,1.7778,N
28,47,5,0.720588,357,0,0,18.388889,3,1.7778,N
34,37,5,0.760684,324,0.824324,0,21.5,8,1.7143,Y
30,52,1,0.673684,378,0.448276,2,17.4,4,1,Y
1,0,5,2,1,0,0,0,1,1,Y
1,0,4,2,1,0,0,0,1,1,Y
1,0,4,2,1,0,0,0,1,1,Y
1,0,4,2,1,0,0,0,1,1,Y
1,0,7,2,1,0,0,0,1,1,Y
19,0,2,0.285714,157,0.695652,2,18.5,2,1.375,N
16,3,1,0.809524,115,0.7,1,14.428571,3,1.4286,Y
15,0,4,0.428571,139,0,0,16,5,1.375,N
20,0,2,0.285714,174,0.695652,2,20.625,2,1.375,N
24,6,4,0.375,174,0,0,18.222222,6,1.8889,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
15,37,0,0.777778,64,0,0,5,1,0.8,N
33,3,1,1,176,0.996947,0,57.333333,1,0.6667,Y
33,3,2,2,162,0.996947,0,53,1,0.6667,Y
21,3,1,2,102,0.875,2,33,3,1,Y
14,3,0,2,102,0,0,33,1,0.6667,N
14,3,0,2,102,0,0,33,1,0.6667,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
35,112,1,2,261,0.788732,10,15.3125,6,1.9375,N
36,128,1,2,263,0.777778,10,14.470588,6,1.8824,N
37,133,2,0.882353,302,0,0,15.666667,4,1.3889,Y
36,0,1,0.791444,375,0.375,2,19.222222,1,0.8333,Y
30,4,0,0.733333,238,0,0,16.923077,4,1.4615,N
30,4,0,0.733333,238,0,0,16.923077,4,1.4615,N
24,0,0,0.30303,178,0,0,13.583333,2,1.25,N
24,0,0,0.30303,178,0,0,13.583333,2,1.25,N
4,6,5,2,4,0,0,0,1,1,N
4,6,5,2,4,0,0,0,1,1,Y
4,6,8,2,4,0,0,0,1,1,N
3,3,4,2,3,0,0,0,1,1,N
3,3,4,2,3,0,0,0,1,1,N
26,15,0,2,342,0.907407,2,56,1,0.8333,N
27,15,1,0.740741,393,0.444444,1,53.857143,1,0.7143,N
27,15,1,0.75,380,0.444444,1,52.142857,1,0.7143,N
29,17,1,0.75,374,0.444444,0,51.285714,1,0.7143,N
30,17,1,0.740741,608,0.444444,0,84.571429,1,0.7143,N
1,0,7,2,1,0,0,0,1,1,Y
1,0,5,2,1,0,0,0,1,1,Y
1,0,5,2,1,0,0,0,1,1,N
1,0,4,2,1,0,0,0,1,1,Y
1,0,4,2,1,0,0,0,1,1,Y
112,730,3,0.836777,844,0,0,17.511111,4,1.2667,Y
65,300,1,2,351,0,0,13.04,8,1.28,Y
175,1183,21,0.930334,1425,0.926241,12,24.907407,11,2.1296,Y
39,234,7,1.023551,268,0,0,9.166667,2,0.9583,N
39,234,7,1.023551,268,0,0,9.166667,2,0.9583,N
17,0,1,0.555556,121,0.571429,0,28.5,7,2.25,Y
17,0,1,0.555556,109,0.571429,0,25.5,6,2,Y
14,0,1,0.5,92,0,0,21.5,3,1.25,Y
32,0,1,0.575758,313,0.995601,0,74.5,11,4,Y
7,0,1,0.222222,62,0,0,13.75,3,1.75,N
17,0,0,0.333333,90,0,0,20.75,3,1.5,Y
27,8,0,0.75,154,0.636364,0,29,1,0.8,Y
23,4,2,0.25,118,0.571429,0,22.4,2,0.8,Y
16,0,1,0.166667,86,0.666667,0,20,1,0.5,Y
20,6,4,2,131,0.931034,1,31.75,1,0.5,Y
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
29,43,3,0.944444,115,0.897727,8,10.3,6,1.5,Y
29,43,3,0.944444,115,0.890244,6,10.3,6,1.5,N
46,102,10,0.933333,288,0.849462,18,16.875,11,2.375,Y
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
46,102,10,0.933333,288,0.849462,18,16.875,11,2.375,Y
29,43,3,0.944444,115,0.897727,8,10.3,6,1.5,Y
29,43,3,0.944444,115,0.890244,6,10.3,6,1.5,N
35,112,1,2,261,0.788732,10,15.3125,6,1.9375,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,N
15,37,4,0.933333,93,0.897727,6,7.8,2,1.6,Y
36,128,1,2,263,0.777778,10,14.470588,6,1.8824,N
37,133,2,0.882353,302,0,0,15.666667,4,1.3889,Y
1,0,0,2,17,0,0,0,1,1,Y
1,0,0,2,17,0,0,0,1,1,N
2,0,0,2,121,0,0,3,0,0,N
2,0,0,2,132,0,0,3,0,0,Y
0,0,5,2,53,0,0,0,0,0,Y
6,15,3,2,6,0,0,0,1,1,N
6,15,3,2,6,0,0,0,1,1,N
8,28,4,2,8,0,0,0,1,1,Y
8,28,7,2,8,0,0,0,1,1,N
8,28,7,2,8,0,0,0,1,1,N
29,61,1,0.709877,342,0.464286,2,16.526316,2,0.8421,N
30,52,1,0.673684,378,0.448276,2,17.4,4,1,Y
28,47,5,0.720588,357,0,0,18.388889,3,1.7778,N
28,47,5,0.720588,357,0,0,18.388889,3,1.7778,N
88,177,0,0.882033,887,0,0,27.933333,4,1.2333,N
52,0,1,0.672727,245,0,0,9.434783,4,1.1739,Y
92,0,3,0.5,438,0,1,10.783784,12,1.1351,N
21,0,2,0,93,0,0,8.2,2,1.1,N
92,0,3,0.5,438,0,1,10.783784,13,1.1622,Y
24,0,2,0.5,112,0,0,9,2,1.2727,N
19,0,2,0.285714,157,0.695652,2,18.5,2,1.375,N
20,0,2,0.285714,174,0.695652,2,20.625,2,1.375,N
29,3,4,0.333333,189,0.666667,2,17.8,4,1.9,N
15,0,4,0.428571,139,0,0,16,5,1.375,N
37,0,0,0.716667,332,0,0,28.636364,1,0.9091,N
15,26,1,0.785714,56,0.4,0,5.75,1,0.75,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
11,21,0,2,43,0.94,0,5.142857,1,0.8571,N
10,21,0,2,39,0.931818,4,4.571429,1,0.8571,N
10,21,0,2,39,0.931818,4,4.571429,1,0.8571,N
12,21,0,2,39,0.94,0,4.571429,1,0.8571,N
12,21,0,2,39,0.94,0,4.571429,1,0.8571,N
10,21,0,2,39,0.931818,6,4.571429,1,0.8571,N
8,4,4,0.5,56,0,0,9.6,2,0.8,N
6,2,5,0.75,36,0.809524,1,5.4,1,0.8,N
18,15,1,0.5,102,0,0,8.090909,1,0.9091,N
18,15,1,0.5,102,0,0,8.090909,1,0.9091,N
15,9,2,0.722222,64,0.454545,1,7.714286,1,0.8571,N
37,136,0,2,254,0,0,13.941176,1,0.9412,N
73,337,7,0.927203,628,0.957037,18,19.333333,20,1.9,Y
69,246,0,0.804762,436,0,0,10.944444,2,1.1389,N
69,246,0,0.804762,436,0,0,10.944444,2,1.1389,N
29,91,2,1,172,0.878505,0,11.214286,4,1.7857,N
13,0,7,0.767857,284,0.5625,2,33.5,2,1,N
13,0,7,0.767857,284,0.5625,2,33.5,2,1,N
22,0,3,0.530303,332,0,0,26.166667,8,2.75,N
22,0,3,0.530303,332,0,0,26.166667,8,2.75,N
41,0,2,0.654545,580,0,0,50.727273,11,2.1818,Y
9,1,6,0.972222,70,0.6,0,7.285714,1,0.8571,N
8,0,6,0.981818,62,0.642857,0,7.5,1,0.8333,Y
12,3,6,0.763636,90,0,1,12.166667,1,0.6667,N
10,0,7,0.65,57,0,0,7.833333,2,1,Y
8,4,4,0.5,56,0,0,9.6,2,0.8,N
74,274,12,0.956522,731,0,0,29.416667,8,2.5833,Y
122,568,2,0.902128,1384,0.737143,9,27.625,3,1.0625,Y
122,462,8,0.899522,1143,0.936232,18,23.977778,12,2.0889,Y
109,630,12,2,1557,0,0,42.25,30,3.1111,N
60,378,43,2,950,0,0,32.928571,14,3.7143,Y
19,10,4,2,84,0.9,1,15.8,1,0.6,Y
19,10,4,2,84,0.903226,1,15.8,1,0.6,N
13,4,2,0.833333,47,0.666667,1,7.8,1,0.6,N
12,6,4,2,42,0.931034,1,9.5,1,0.5,Y
12,6,4,2,42,0.933333,1,9.5,1,0.5,Y
70,229,13,0.97619,681,0,0,29.863636,8,2.6364,Y
