@relation trainPoi-2.0

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
32,3,7,16,77,236,8,11,14,0.650538,1240,0.833333,3,0.625,0.180556,2,25,37.5625,11,2.3438,N
30,7,0,22,137,315,7,20,4,0.83014,1603,0.888889,5,0.958884,0.233333,2,2,51.533333,11,2.0333,Y
19,1,0,1,50,149,1,0,11,0.96732,709,0.941176,0,0,0.233333,0,0,35.421053,15,2.8421,N
19,1,0,1,49,149,1,0,10,0.96732,703,0.941176,0,0,0.233333,0,0,35.105263,15,2.7895,N
21,2,0,12,94,198,5,9,19,0.94,981,0.6,0,0.525,0.375,2,4,45.47619,16,3.1905,Y
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,N
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,Y
10,4,1,6,29,43,3,4,9,0.944444,115,0.5,0,0.890244,0.325,1,6,10.3,6,1.5,N
16,4,2,13,46,102,10,6,14,0.933333,288,0.5,0,0.849462,0.34375,3,18,16.875,11,2.375,Y
10,4,1,6,29,43,3,4,9,0.944444,115,0.5,0,0.897727,0.325,2,8,10.3,6,1.5,Y
14,2,0,8,34,37,5,4,11,0.760684,324,1,1,0.824324,0.22449,0,0,21.5,8,1.7143,Y
14,1,0,4,26,43,2,3,7,0.703297,309,1,1,0,0.346154,0,0,20.571429,5,2.2143,Y
16,2,1,13,47,48,8,10,14,0.780952,443,1,2,0.166667,0.241071,0,0,26.25,14,2.625,Y
18,1,1,6,28,47,5,1,18,0.720588,357,1,1,0,0.179012,0,0,18.388889,3,1.7778,N
18,1,1,6,28,47,5,1,18,0.720588,357,1,1,0,0.179012,0,0,18.388889,3,1.7778,N
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,N
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,Y
16,4,2,13,46,102,10,6,14,0.933333,288,0.5,0,0.849462,0.34375,3,18,16.875,11,2.375,Y
10,4,1,6,29,43,3,4,9,0.944444,115,0.5,0,0.897727,0.325,2,8,10.3,6,1.5,Y
10,4,1,6,29,43,3,4,9,0.944444,115,0.5,0,0.890244,0.325,1,6,10.3,6,1.5,N
4,1,0,10,24,0,1,9,4,0.166667,178,1,1,0,0.5,0,0,43,2,1,Y
4,2,0,10,21,2,2,8,3,0.555556,174,0.333333,0,0.857143,0.5,1,1,41.75,1,0.75,N
4,1,0,11,25,0,2,9,3,0.611111,145,0.833333,3,0,0.583333,0,0,33.75,3,1,Y
4,2,0,11,22,6,4,9,4,2,155,0,0,0.933333,0.416667,1,1,37.75,1,0.5,Y
4,2,0,9,22,6,4,7,4,2,157,0,0,0.933333,0.416667,1,1,38.25,1,0.5,Y
10,1,0,0,15,37,0,0,10,0.777778,64,1,0,0,0.375,0,0,5,1,0.8,N
10,1,0,0,15,37,0,0,10,0.777778,64,1,0,0,0.375,0,0,5,1,0.8,N
11,1,1,0,21,55,0,0,10,2,99,0,0,0,0.246753,0,0,8,1,0.9091,Y
12,4,0,3,22,66,0,3,12,2,97,0,0,0.895238,0.316667,1,1,7.083333,3,1.25,N
12,4,0,3,22,66,0,3,12,2,97,0,0,0.895238,0.316667,1,1,7.083333,3,1.25,N
15,4,1,9,26,57,6,4,14,0.821429,200,0.875,3,0.848837,0.383333,2,6,11.8,2,1.5333,N
15,4,1,9,27,57,6,4,14,0.821429,200,0.875,3,0.858696,0.383333,2,8,11.8,2,1.5333,N
41,2,0,13,77,280,2,11,35,0.903947,1231,1,10,0.487179,0.30662,1,7,28.560976,3,1.1951,N
29,4,4,17,70,124,12,9,24,0.75,598,0.666667,1,0.73,0.337931,2,11,19.517241,6,2.4828,Y
41,2,0,11,75,280,2,9,35,0.903947,1225,1,10,0.487179,0.30662,1,7,28.414634,3,1.1951,N
22,1,1,9,48,41,6,3,9,0.843537,579,0.857143,1,0,0.227273,0,0,25,7,2.2727,Y
22,1,1,8,49,41,6,2,9,0.843537,596,0.857143,1,0,0.227273,0,0,25.772727,11,2.4545,N
17,1,0,11,47,42,2,10,6,0.701389,688,1,2,0,0.364706,0,0,38.941176,12,2.7647,Y
18,5,0,16,62,31,5,14,16,0.794118,551,0.583333,5,0.976084,0.317647,0,0,28.944444,7,1.9444,Y
15,2,0,16,42,41,3,13,12,0.792857,445,1,1,0.333333,0.237037,0,0,28,3,1.2667,Y
15,4,1,9,27,57,6,4,14,0.821429,200,0.875,3,0.858696,0.383333,2,8,11.8,2,1.5333,N
15,4,1,9,26,57,6,4,14,0.821429,200,0.875,3,0.848837,0.383333,2,6,11.8,2,1.5333,N
22,3,0,12,84,177,0,12,20,0.928571,565,1,0,0.637931,0.309091,1,1,24.136364,5,1.1364,N
17,6,0,14,59,94,13,9,8,0.898438,334,1,1,0.976012,0.213235,3,6,18.176471,5,1.3529,Y
18,3,0,13,80,117,0,13,16,0.929412,534,1,0,0.685185,0.3,1,1,28.111111,4,1.1111,Y
55,1,3,10,125,811,3,7,36,0.787654,1901,0.933333,3,0,0.127273,0,0,33.290909,13,2.9273,N
49,2,1,10,124,608,2,8,41,0.9,1409,1,6,0.737143,0.131944,2,9,27.55102,3,1.0408,Y
56,1,3,10,124,864,3,7,37,0.778182,1899,0.933333,4,0,0.135989,0,0,32.642857,13,2.9464,Y
48,2,1,10,122,568,2,8,41,0.902128,1384,1,6,0.737143,0.141337,2,9,27.625,3,1.0625,Y
36,1,0,23,109,630,12,14,14,2,1557,0,0,0,0.155983,0,0,42.25,30,3.1111,N
24,1,0,12,74,274,12,0,23,0.956522,731,1,0,0,0.168478,0,0,29.416667,8,2.5833,Y
22,1,0,13,70,229,13,0,21,0.97619,681,1,0,0,0.172619,0,0,29.863636,8,2.6364,Y
25,1,0,7,78,194,2,5,17,0.878788,530,0.727273,3,0,0.261905,0,0,19.76,3,1.04,N
25,1,0,6,76,194,2,4,17,0.878788,508,0.727273,3,0,0.261905,0,0,18.88,5,1.16,Y
18,3,0,10,62,149,0,10,6,1.019608,417,0.444444,1,0.6,0.338235,1,2,21.666667,5,1.1111,N
16,1,0,11,52,112,11,0,12,0.826667,854,0.533333,0,0,0.226667,0,0,51.4375,18,4.5625,Y
14,1,0,4,26,43,2,3,7,0.703297,309,1,1,0,0.346154,0,0,20.571429,5,2.2143,Y
14,1,0,5,26,43,2,4,7,0.703297,300,1,1,0,0.346154,0,0,19.928571,5,2.2143,Y
17,1,0,8,54,134,7,3,5,0.9375,867,0,1,0,0.2125,0,0,49.882353,19,4.7059,N
17,1,0,8,54,134,7,3,5,0.9375,867,0,1,0,0.2125,0,0,49.882353,19,4.7059,N
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,N
10,4,1,5,15,37,4,2,10,0.933333,93,0.8,0,0.897727,0.4,2,6,7.8,2,1.6,Y
16,4,2,13,46,102,10,6,14,0.933333,288,0.5,0,0.849462,0.34375,3,18,16.875,11,2.375,Y
25,1,0,7,78,194,2,5,17,0.878788,530,0.727273,3,0,0.261905,0,0,19.76,3,1.04,N
25,1,0,6,76,194,2,4,17,0.878788,508,0.727273,3,0,0.261905,0,0,18.88,5,1.16,Y
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,N
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,N
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,N
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.75,0,0,0,1,1,N
