wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10,1,0,4,31,3,1,3,9,0.22222199999999998,183,0.0,0,0.0,0.333333,0,0,17.2,2,1.3,Y
8,2,0,3,25,0,1,2,6,0.714286,139,1.0,2,0.730769,0.35,1,1,15.875,1,0.875,Y
5,2,0,1,14,4,0,1,4,0.25,94,1.0,0,0.764706,0.533333,0,0,17.6,1,0.8,Y
6,1,0,7,22,3,1,6,6,0.75,111,1.0,2,0.0,0.333333,0,0,16.833333,1,0.8333,N
8,2,0,2,32,10,1,2,7,1.040816,223,0.214286,0,0.5882350000000001,0.46875,1,1,25.125,6,1.5,N
14,2,0,10,38,71,3,7,10,0.717949,219,1.0,2,0.2,0.214286,0,0,14.214285999999998,6,1.2857,Y
10,2,0,9,24,37,2,7,9,0.740741,123,1.0,3,0.272727,0.3,0,0,11.0,1,0.8,Y
15,2,0,8,34,87,3,5,12,0.8714290000000001,230,0.8,0,0.478261,0.516667,1,5,14.0,2,1.0,Y
11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947,0.522727,1,6,9.454545,2,0.8182,Y
11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947,0.522727,1,6,9.454545,2,0.8182,Y
6,4,0,13,16,13,2,11,4,0.9,82,1.0,1,0.9545450000000001,0.5,2,2,12.333333,2,0.5,Y
6,2,0,12,19,15,6,6,6,2.0,82,0.0,0,0.733333,0.30952399999999997,1,1,12.666667,2,0.8333,Y
5,4,0,11,17,10,6,5,5,2.0,80,0.0,0,0.909091,0.314286,0,0,15.0,1,0.6,Y
7,3,0,9,21,15,2,7,4,0.666667,97,1.0,1,0.851852,0.388889,2,4,12.714286,2,0.7143,Y
6,3,2,9,21,15,6,4,6,1.2,90,0.0,0,0.9152540000000001,0.333333,1,4,13.833332999999998,2,1.1667,Y
9,1,0,13,38,10,2,11,5,0.767857,309,0.571429,0,0.0,0.28571399999999997,0,0,32.555556,2,1.1111,N
7,1,0,14,56,9,4,10,5,0.722222,663,1.0,0,0.0,0.166667,0,0,93.285714,8,2.0,Y
7,2,0,8,29,17,1,7,6,0.75,374,1.0,2,0.44444399999999995,0.333333,0,0,51.285714,1,0.7143,N
7,1,0,7,20,9,2,5,7,0.833333,173,1.0,5,0.0,0.571429,0,0,22.857143,2,1.0,Y
7,1,0,12,29,1,7,6,1,0.0,257,1.0,1,0.0,0.514286,0,0,35.571428999999995,2,0.7143,N
7,3,0,9,21,15,2,7,4,0.666667,97,1.0,1,0.851852,0.388889,2,4,12.714286,2,0.7143,Y
9,1,0,7,28,16,2,5,7,0.375,110,1.0,1,0.0,0.377778,0,0,11.111111,1,0.7778,Y
8,2,0,20,59,20,2,19,4,0.8214290000000001,267,1.0,4,0.416667,0.666667,1,1,31.875,1,0.875,N
7,2,0,8,21,17,1,7,6,0.791667,134,0.75,3,0.44444399999999995,0.333333,0,0,17.571429000000002,1,0.7143,Y
6,4,0,7,19,15,2,5,5,1.133333,80,0.333333,0,0.909091,0.314286,0,0,11.833333,1,0.5,Y
8,2,3,11,23,0,7,4,8,0.14285699999999998,115,1.0,0,0.571429,0.375,1,1,13.25,5,1.25,N
4,1,0,5,5,0,3,2,3,0.666667,28,1.0,2,0.0,0.4375,0,0,5.25,1,0.75,N
4,1,0,5,5,0,3,2,3,0.666667,28,1.0,2,0.0,0.4375,0,0,5.25,1,0.75,N
5,3,0,10,16,4,2,8,3,0.5,87,1.0,1,0.8846149999999999,0.43333299999999997,2,3,16.2,2,0.8,Y
5,1,0,7,21,2,1,6,5,0.75,103,1.0,2,0.0,0.36,0,0,18.8,1,0.8,Y
18,1,0,34,19,107,34,0,18,0.382353,170,1.0,0,0.0,0.43333299999999997,0,0,8.333333,2,1.2222,N
12,1,2,15,13,42,15,0,12,0.818182,62,0.0,0,0.0,0.708333,0,0,3.833333,1,0.8333,N
18,1,0,25,19,107,25,0,18,0.382353,170,1.0,0,0.0,0.43333299999999997,0,0,8.333333,2,1.2222,N
11,3,0,9,14,41,5,4,11,0.916667,66,0.0,1,0.642857,0.327273,0,0,4.4545449999999995,1,0.9091,N
10,2,0,5,15,45,2,3,10,1.111111,59,0.333333,0,0.272727,0.32,0,0,4.6,1,0.8,Y
12,4,0,3,22,66,0,3,12,2.0,97,0.0,0,0.8952379999999999,0.31666700000000003,1,1,7.0833330000000005,3,1.25,Y
12,4,0,3,22,66,0,3,12,2.0,97,0.0,0,0.8952379999999999,0.31666700000000003,1,1,7.0833330000000005,3,1.25,N
12,4,0,3,22,66,0,3,12,2.0,97,0.0,0,0.8952379999999999,0.31666700000000003,1,1,7.0833330000000005,3,1.25,N
9,4,0,2,15,36,0,2,9,2.0,52,0.0,0,0.9215690000000001,0.416667,0,0,4.777778,1,0.8889,Y
9,4,0,2,15,36,0,2,9,2.0,52,0.0,0,0.9215690000000001,0.416667,0,0,4.777778,1,0.8889,N
