wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
16,3,0,6,52,112,1,5,11,0.777778,509,1.0,0,0.74,0.34444400000000003,2,8,30.625,1,0.8125,N
21,3,0,12,62,134,7,6,15,0.6,630,1.0,0,0.6,0.272109,1,1,28.809524,9,3.0,N
19,3,0,11,61,121,7,5,15,0.75,503,0.5,0,0.6382979999999999,0.29473699999999997,2,2,25.157895,5,2.0,N
25,3,0,23,103,210,12,13,20,0.916667,979,0.357143,0,0.465116,0.199074,1,2,37.6,17,1.76,Y
23,3,0,19,75,167,7,14,20,0.909091,797,0.22222199999999998,0,0.48780500000000004,0.207071,1,2,33.260870000000004,17,1.6087,Y
12,2,14,23,23,0,17,8,12,0.363636,149,1.0,2,0.731707,0.21875,1,7,11.25,5,1.5833,N
12,2,14,22,23,0,17,7,12,0.363636,149,1.0,2,0.731707,0.21875,1,7,11.25,5,1.5833,Y
12,2,14,22,23,0,17,7,12,0.363636,149,1.0,2,0.731707,0.21875,1,7,11.25,5,1.5833,N
12,2,14,22,23,0,17,7,12,0.606061,150,0.666667,2,0.731707,0.21875,1,7,11.25,5,1.5833,Y
11,3,15,22,20,0,15,7,10,0.7,114,0.0,1,0.791667,0.345455,2,4,9.181818,6,1.5455,Y
53,1,0,34,150,1362,22,15,49,1.001603,2089,0.375,0,0.0,0.125,0,0,37.962264000000005,49,4.3962,Y
45,1,0,3,86,990,0,3,37,1.022727,1528,0.0,0,0.0,0.17222200000000001,0,0,32.755556,10,1.6,Y
45,1,0,3,84,990,0,3,37,1.022727,1526,0.0,0,0.0,0.17222200000000001,0,0,32.711110999999995,10,1.6,Y
63,2,0,70,205,1711,28,54,48,0.958456,2600,0.818182,7,0.465517,0.095238,2,6,39.746032,12,2.381,Y
45,1,0,3,83,990,0,3,37,1.022727,1528,0.0,0,0.0,0.17222200000000001,0,0,32.755556,10,1.6,Y
49,3,2,43,100,1176,34,12,46,1.0,743,0.0,1,0.606838,0.122222,3,21,14.142857000000001,16,1.8571,N
49,3,2,43,100,1176,34,12,46,1.0,740,0.0,1,0.606838,0.122222,3,21,14.081632999999998,16,1.8571,Y
49,3,2,42,100,1176,33,12,46,1.0,740,0.0,1,0.606838,0.122222,3,21,14.081632999999998,16,1.8571,Y
52,4,8,46,84,1030,28,22,45,0.8513069999999999,658,0.833333,4,0.616,0.14510499999999998,2,9,11.423077000000001,10,1.3846,Y
52,4,8,37,84,1016,21,20,45,0.8513069999999999,665,0.833333,4,0.616,0.14510499999999998,2,9,11.557692,12,1.4231,Y
1,1,0,5,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,6,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,Y
1,1,0,6,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,6,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
1,1,0,6,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,N
