@relation CM1-weka.filters.unsupervised.attribute.NumericTransform-R1-40-Cjava.lang.Math-Mlog

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PATHOLOGICAL_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
1.791759,2.197225,0.693147,0,?,2.772589,1.609438,-1.609438,2.079442,0.693147,1.098612,-0.510826,2.833213,0,?,3.178054,1.098612,?,?,3.48247,2.251292,7.985066,-2.302585,4.143135,-2.207275,5.09467,5.733762,-1.609438,1.386294,2.079442,2.639057,-1.832581,2.944439,3.78419,2.70805,2.70805,3.465736,0,1.386294,3.218876,N
2.70805,1.94591,1.098612,0,2.944439,2.484907,1.386294,-2.040221,1.791759,0.693147,0.693147,-0.693147,2.833213,0,?,3.433987,0,?,?,3.651956,3.068983,9.789545,-1.272966,4.94876,-2.995732,6.899179,6.720763,-1.386294,1.098612,1.791759,2.70805,-2.813411,3.931826,4.49981,3.465736,3.295837,4.204693,0,3.669187,3.465736,Y
3.295837,2.197225,0,1.386294,3.091042,2.772589,1.609438,-1.89712,2.079442,0.693147,1.098612,-0.510826,2.890372,0,?,3.367296,?,?,?,3.95182,2.512035,8.976475,-1.560648,4.70953,-2.525729,6.086093,6.464168,-1.609438,1.386294,2.079442,2.70805,-2.813411,3.610918,4.304065,3.496508,3.091042,4.418841,0,3.855876,3.496508,Y
0,0,0.693147,?,?,?,0,-1.966113,?,?,0,0,1.098612,0,?,1.94591,0,?,?,2.858193,0.693147,4.244774,-4.60517,2.397895,-0.693147,1.353255,3.551627,0,?,?,1.386294,-2.207275,1.609438,1.791759,1.609438,1.386294,2.197225,0,?,1.94591,N
1.94591,1.098612,0.693147,?,?,1.386294,0.693147,-1.771957,0.693147,0.693147,0.693147,0,1.791759,0,?,2.484907,0.693147,?,?,2.68239,1.860975,6.40417,-3.506558,3.135494,-1.832581,3.513931,4.543401,-0.693147,0,0.693147,1.791759,-2.302585,2.197225,2.639057,1.94591,2.302585,2.995732,0,?,2.484907,N
3.931826,3.218876,2.564949,?,2.639057,3.871201,2.564949,-2.120264,3.178054,0.693147,2.397895,-0.162519,4.564348,0,?,4.663439,0.693147,?,?,4.618185,3.297317,11.213034,-0.094311,6.042633,-3.218876,8.322661,7.915633,-2.525729,2.484907,3.178054,4.442651,-2.525729,5.257495,5.433722,4.26268,2.995732,5.147494,0,2.457021,4.663439,N
1.098612,1.609438,0.693147,?,?,2.079442,1.098612,-1.609438,1.386294,0.693147,1.098612,0,2.484907,0,?,2.70805,0,?,?,2.100469,2.890372,7.881817,-2.995732,3.583519,-2.813411,4.991452,4.991452,-1.108663,0.693147,1.386294,2.397895,-1.832581,2.70805,3.044522,1.609438,2.484907,2.944439,0,?,2.70805,N
2.564949,2.197225,1.609438,2.484907,2.772589,2.772589,1.609438,-1.966113,2.079442,0.693147,1.609438,0,3.044522,1.609438,0,3.218876,1.386294,?,?,3.650918,2.656757,8.964551,-1.714798,4.672829,-2.65926,6.074173,6.307789,0,1.386294,2.079442,2.890372,-2.65926,3.637586,4.234107,2.995732,2.70805,4.204693,0,3.967079,3.610918,N
3.091042,3.367296,?,2.079442,3.555348,3.78419,2.70805,-1.272966,2.772589,1.011601,0,-2.65926,3.806662,1.098612,-1.966113,3.828641,?,?,?,4.112512,3.104587,10.321472,-0.798508,5.476464,-3.218876,7.431098,7.21701,-1.609438,2.639057,3.091042,3.465736,-2.040221,4.70048,4.859812,3.610918,2.70805,4.718499,0,3.877639,3.988984,N
2.772589,2.197225,0.693147,2.397895,3.332205,2.484907,1.609438,-2.207275,1.386294,1.098612,0,-1.609438,3.044522,1.609438,0,3.526361,0.693147,?,?,3.719409,3.033028,9.78544,-1.237874,5.043425,-2.995732,6.895065,6.752446,0,1.386294,1.791759,2.890372,-2.813411,4.077537,4.564348,3.295837,2.944439,4.49981,0,3.978185,3.806662,N
