@relation PC4-weka.filters.unsupervised.attribute.NumericTransform-R1-40-Cjava.lang.Math-Mlog

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PATHOLOGICAL_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
3.091042,2.70805,2.197225,1.386294,2.397895,3.258097,2.079442,-1.514128,2.484907,0.774727,1.609438,-0.462035,3.555348,0,?,3.465736,?,?,?,3.77092,2.681706,9.134057,-1.560648,4.787492,-2.65926,6.243681,6.452443,-2.040221,1.94591,2.564949,3.367296,-2.207275,3.73767,4.356709,3.135494,2.772589,4.26268,0,3.462919,3.583519,Y
1.94591,0,0.693147,?,0.693147,?,0,-1.966113,?,?,0,0,1.098612,0,?,1.94591,?,?,?,2.672078,2.302585,7.277103,-2.995732,3.637586,-2.302585,4.386765,4.974524,0,?,?,1.386294,-2.813411,2.079442,3.401197,1.386294,2.302585,2.890372,0,3.100993,1.94591,N
2.302585,1.098612,0.693147,?,0.693147,1.386294,0.693147,-1.609438,0.693147,0.693147,0.693147,0,2.197225,0,?,2.302585,?,?,?,2.877512,2.197225,7.271843,-2.995732,3.610918,-2.207275,4.381527,5.074611,-0.693147,0,0.693147,2.197225,-2.525729,2.484907,3.218876,2.079442,2.484907,3.178054,0,2.813611,2.302585,N
2.197225,1.098612,0.693147,?,1.791759,1.386294,0.693147,-1.609438,0.693147,0.693147,0.693147,0,2.197225,0,?,2.302585,?,?,?,2.904165,2.197225,7.298513,-2.995732,3.637586,-2.207275,4.408182,5.101268,-0.693147,0,0.693147,2.197225,-2.65926,2.484907,3.258097,2.079442,2.484907,3.295837,0,3.624341,2.302585,N
1.098612,0,?,?,?,?,0,-1.386294,?,?,0,0,0,0,?,1.386294,?,?,?,2.144761,1.541159,5.225908,-4.60517,2.484907,-1.560648,2.335052,3.685373,0,?,?,0.693147,-2.302585,1.386294,2.079442,1.098612,1.94591,2.302585,0,?,1.386294,N
2.197225,0,1.386294,?,1.098612,?,0,-2.040221,?,?,0,0,1.609438,0,?,2.079442,0,?,?,3.08603,1.386294,5.858733,-3.506558,3.135494,-1.386294,2.968361,4.472438,0,?,?,1.791759,-2.995732,2.079442,2.70805,1.94591,1.94591,3.091042,0,3.305787,2.079442,N
2.079442,1.098612,1.386294,2.197225,1.609438,1.386294,0.693147,-2.207275,0.693147,0.693147,0.693147,0,2.079442,0,?,2.302585,0,?,?,3.504957,2.299581,8.1035,-2.207275,4.234107,-2.302585,5.213141,5.804261,-0.693147,0,0.693147,2.079442,-2.813411,3.135494,3.828641,2.70805,2.564949,3.526361,0,4.066117,2.944439,Y
1.609438,0,0,?,0,?,0,-1.771957,?,?,0,0,0.693147,0,?,1.791759,0,?,?,2.791165,1.406097,5.605729,-3.912023,2.890372,-1.427116,2.715357,4.198855,0,?,?,1.098612,-2.65926,1.94591,2.397895,1.791759,1.94591,2.639057,0,2.65956,1.791759,N
1.609438,0,0,?,0,?,0,-1.966113,?,?,0,0,0.693147,0,?,1.94591,0,?,?,2.918851,1.909543,6.738022,-3.218876,3.465736,-1.89712,3.847591,4.828474,0,?,?,1.098612,-2.65926,2.197225,3.135494,1.791759,2.197225,2.70805,0,2.525729,1.94591,N
1.791759,1.609438,0,0,0,1.791759,1.098612,-1.771957,0.693147,1.098612,0,-1.108663,2.197225,1.098612,0,2.833213,0,?,?,3.034953,2.618855,8.27292,-2.302585,4.158883,-2.65926,5.382567,5.653892,0,0.693147,1.098612,2.079442,-2.207275,2.944439,3.806662,2.197225,2.564949,3.295837,0,2.354228,2.890372,N
